#      Natural abundances
#  Z  A  El   abundance  uncert.
#               [%]       [%]
#-------------------------------
  34  74 Se   0.860000  0.030000
  34  76 Se   9.230000  0.070000
  34  77 Se   7.600000  0.070000
  34  78 Se  23.690000  0.220000
  34  80 Se  49.800000  0.360000
  34  82 Se   8.820000  0.150000
  35  79 Br  50.650000  0.090000
  35  81 Br  49.350000  0.090000
  36  78 Kr   0.355000  0.003000
  36  80 Kr   2.286000  0.010000
  36  82 Kr  11.593000  0.031000
  36  83 Kr  11.500000  0.019000
  36  84 Kr  56.987000  0.015000
  36  86 Kr  17.279000  0.041000
  37  85 Rb  72.170000  0.020000
  37  87 Rb  27.830000  0.020000
  38  84 Sr  00.560000  0.020000
  38  86 Sr   9.860000  0.200000
  38  87 Sr   7.000000  0.200000
  38  88 Sr  82.580000  0.350000
  39  89 Y  100.000000  0.000000
  40  90 Zr  51.450000  0.040000
  40  91 Zr  11.220000  0.050000
  40  92 Zr  17.150000  0.030000
  40  94 Zr  17.380000  0.040000
  40  96 Zr   2.800000  0.020000
  41  93 Nb 100.000000  0.000000
  42  92 Mo  14.649000  0.106000
  42  94 Mo   9.187000  0.033000
  42  95 Mo  15.873000  0.030000
  42  96 Mo  16.673000  0.008000
  42  97 Mo   9.582000  0.015000
  42  98 Mo  24.292000  0.080000
  42 100 Mo   9.744000  0.065000
  44  96 Ru   5.540000  0.140000
  44  98 Ru   1.870000  0.030000
  44  99 Ru  12.760000  0.140000
  44 100 Ru  12.600000  0.070000
  44 101 Ru  17.060000  0.020000
  44 102 Ru  31.550000  0.140000
  44 104 Ru  18.620000  0.270000
  45 103 Rh 100.000000  0.000000
  46 102 Pd   1.020000  0.010000
  46 104 Pd  11.140000  0.080000
  46 105 Pd  22.330000  0.080000
  46 106 Pd  27.330000  0.030000
  46 108 Pd  26.460000  0.090000
  46 110 Pd  11.720000  0.090000
  47 107 Ag  51.839000  0.008000
  47 109 Ag  48.161000  0.008000
  48 106 Cd   1.245000  0.022000
  48 108 Cd   0.888000  0.011000
  48 110 Cd  12.470000  0.061000
  48 111 Cd  12.795000  0.012000
  48 112 Cd  24.109000  0.007000
  48 113 Cd  12.227000  0.007000
  48 114 Cd  28.754000  0.081000
  48 116 Cd   7.512000  0.054000
  49 113 In   4.281000  0.052000
  49 115 In  95.719000  0.052000
  50 112 Sn   0.970000  0.010000
  50 114 Sn   0.660000  0.010000
  50 115 Sn   0.340000  0.010000
