                    *********************************************************************************
                    *  Z= 61 A=148: Positive-Parity Spin-dependent Level Density [MeV-1] for PM148  *
   2.25  0.409  3.25E+02 5.83E+02 4.40E+03 7.42E+01 5.59E+01 1.07E+02 9.06E+01 1.10E+02 5.57E+01 3.94E+01 1.49E+01 1.95E+01 1.12E+01 4.50E+00 5.00E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.431  5.09E+02 8.96E+02 6.78E+03 9.69E+01 9.13E+01 1.80E+02 1.39E+02 1.53E+02 1.02E+02 6.47E+01 2.48E+01 2.20E+01 1.22E+01 8.51E+00 2.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.452  8.32E+02 1.68E+03 1.31E+04 1.65E+02 1.45E+02 3.20E+02 2.85E+02 3.11E+02 1.82E+02 1.42E+02 5.89E+01 3.78E+01 1.73E+01 1.20E+01 5.00E+00 5.00E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.472  1.37E+03 2.60E+03 2.08E+04 2.14E+02 2.20E+02 4.88E+02 4.30E+02 4.85E+02 3.08E+02 2.45E+02 1.04E+02 5.68E+01 2.10E+01 1.57E+01 8.01E+00 3.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.491  2.28E+03 4.71E+03 3.93E+04 3.56E+02 3.55E+02 8.20E+02 7.37E+02 8.98E+02 6.03E+02 4.87E+02 2.35E+02 1.28E+02 4.80E+01 2.40E+01 1.38E+01 6.01E+00 5.00E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.510  3.72E+03 6.83E+03 5.86E+04 4.80E+02 4.70E+02 1.17E+03 1.04E+03 1.26E+03 9.27E+02 7.39E+02 3.83E+02 2.11E+02 8.19E+01 3.74E+01 2.08E+01 9.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.528  6.02E+03 1.16E+04 1.03E+05 7.82E+02 7.78E+02 1.85E+03 1.71E+03 2.07E+03 1.50E+03 1.36E+03 7.27E+02 4.68E+02 2.00E+02 7.52E+01 2.97E+01 1.37E+01 4.50E+00 5.00E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.545  9.52E+03 1.64E+04 1.48E+05 1.09E+03 1.12E+03 2.64E+03 2.35E+03 2.82E+03 2.08E+03 1.94E+03 1.12E+03 7.63E+02 3.10E+02 1.30E+02 4.59E+01 2.14E+01 7.01E+00 2.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.562  1.50E+04 2.73E+04 2.52E+05 1.68E+03 1.78E+03 4.27E+03 3.77E+03 4.66E+03 3.41E+03 3.20E+03 2.00E+03 1.44E+03 6.36E+02 2.82E+02 9.29E+01 3.49E+01 1.43E+01 4.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.578  2.32E+04 3.82E+04 3.58E+05 2.21E+03 2.39E+03 5.93E+03 5.27E+03 6.50E+03 4.83E+03 4.43E+03 2.81E+03 2.11E+03 1.00E+03 4.56E+02 1.65E+02 5.99E+01 2.07E+01 8.51E+00 5.00E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.594  3.59E+04 6.34E+04 6.04E+05 3.59E+03 3.90E+03 9.50E+03 8.65E+03 1.08E+04 7.98E+03 7.40E+03 4.59E+03 3.58E+03 1.91E+03 9.52E+02 3.76E+02 1.26E+02 3.89E+01 1.48E+01 2.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.610  5.50E+04 8.94E+04 8.58E+05 4.99E+03 5.45E+03 1.34E+04 1.21E+04 1.50E+04 1.13E+04 1.04E+04 6.51E+03 5.06E+03 2.82E+03 1.53E+03 6.12E+02 2.11E+02 5.99E+01 2.12E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.639  1.30E+05 2.12E+05 2.06E+06 1.18E+04 1.26E+04 3.12E+04 2.82E+04 3.48E+04 2.65E+04 2.45E+04 1.58E+04 1.22E+04 6.89E+03 4.15E+03 1.91E+03 7.68E+02 2.33E+02 7.94E+01 2.50E+01 5.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.668  3.06E+05 4.93E+05 4.89E+06 2.64E+04 2.83E+04 7.04E+04 6.43E+04 8.01E+04 6.15E+04 5.78E+04 3.78E+04 2.94E+04 1.71E+04 1.04E+04 5.29E+03 2.54E+03 8.95E+02 2.89E+02 8.12E+01 2.23E+01 3.83E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.695  7.09E+05 1.12E+06 1.14E+07 5.70E+04 6.13E+04 1.54E+05 1.42E+05 1.80E+05 1.40E+05 1.33E+05 8.85E+04 7.04E+04 4.17E+04 2.59E+04 1.37E+04 7.07E+03 2.93E+03 1.05E+03 3.13E+02 1.04E+02 2.85E+01 4.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.721  1.61E+06 2.48E+06 2.57E+07 1.23E+05 1.32E+05 3.33E+05 3.06E+05 3.88E+05 3.07E+05 2.96E+05 2.03E+05 1.64E+05 9.97E+04 6.32E+04 3.42E+04 1.82E+04 8.52E+03 3.48E+03 1.17E+03 3.83E+02 1.23E+02 3.83E+01 4.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.747  3.59E+06 5.44E+06 5.74E+07 2.63E+05 2.81E+05 7.14E+05 6.58E+05 8.40E+05 6.68E+05 6.45E+05 4.50E+05 3.74E+05 2.32E+05 1.51E+05 8.42E+04 4.62E+04 2.26E+04 1.03E+04 3.82E+03 1.31E+03 4.28E+02 1.38E+02 3.53E+01 5.83E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.771  7.90E+06 1.18E+07 1.27E+08 5.52E+05 5.85E+05 1.51E+06 1.40E+06 1.80E+06 1.44E+06 1.40E+06 9.86E+05 8.28E+05 5.26E+05 3.54E+05 2.02E+05 1.13E+05 5.77E+04 2.75E+04 1.17E+04 4.53E+03 1.53E+03 5.31E+02 1.48E+02 3.03E+01 5.83E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.795  1.73E+07 2.56E+07 2.79E+08 1.18E+06 1.25E+06 3.23E+06 2.99E+06 3.86E+06 3.09E+06 3.03E+06 2.16E+06 1.83E+06 1.17E+06 8.05E+05 4.78E+05 2.77E+05 1.46E+05 7.22E+04 3.23E+04 1.41E+04 5.18E+03 1.61E+03 4.76E+02 1.68E+02 4.78E+01 1.17E+01 1.17E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.818  3.75E+07 5.52E+07 6.09E+08 2.48E+06 2.62E+06 6.82E+06 6.33E+06 8.22E+06 6.63E+06 6.54E+06 4.70E+06 4.02E+06 2.60E+06 1.81E+06 1.10E+06 6.59E+05 3.60E+05 1.84E+05 8.63E+04 4.01E+04 1.56E+04 4.98E+03 1.67E+03 5.83E+02 2.10E+02 5.60E+01 1.05E+01 2.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.840  8.07E+07 1.18E+08 1.31E+09 5.15E+06 5.44E+06 1.42E+07 1.32E+07 1.73E+07 1.40E+07 1.39E+07 1.01E+07 8.73E+06 5.73E+06 4.05E+06 2.49E+06 1.53E+06 8.65E+05 4.58E+05 2.23E+05 1.08E+05 3.83E+04 1.44E+04 5.37E+03 1.95E+03 7.36E+02 2.53E+02 8.40E+01 4.06E+01 3.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.862  1.72E+08 2.48E+08 2.81E+09 1.07E+07 1.12E+07 2.94E+07 2.74E+07 3.59E+07 2.93E+07 2.93E+07 2.15E+07 1.88E+07 1.25E+07 8.90E+06 5.57E+06 3.48E+06 2.02E+06 1.11E+06 5.62E+05 2.39E+05 9.26E+04 3.82E+04 1.62E+04 6.62E+03 2.55E+03 9.51E+02 3.42E+02 9.68E+01 5.64E+01 3.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.904  8.35E+08 1.08E+09 1.25E+10 4.48E+07 4.70E+07 1.24E+08 1.16E+08 1.53E+08 1.26E+08 1.27E+08 9.44E+07 8.36E+07 5.69E+07 4.17E+07 2.69E+07 1.74E+07 1.06E+07 5.49E+06 2.43E+06 1.12E+06 5.15E+05 2.45E+05 1.19E+05 5.64E+04 2.58E+04 1.08E+04 4.18E+03 1.50E+03 5.39E+02 1.64E+02 3.38E+01 5.83E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.944  3.65E+09 4.55E+09 5.32E+10 1.84E+08 1.93E+08 5.10E+08 4.79E+08 6.35E+08 5.26E+08 5.36E+08 4.04E+08 3.62E+08 2.51E+08 1.87E+08 1.24E+08 7.84E+07 3.91E+07 1.94E+07 9.65E+06 5.05E+06 2.67E+06 1.45E+06 7.71E+05 4.01E+05 2.00E+05 9.54E+04 4.28E+04 1.77E+04 6.67E+03 2.40E+03 8.40E+02 2.48E+02 7.70E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.983  1.52E+10 1.85E+10 2.14E+11 7.55E+08 7.89E+08 2.07E+09 1.94E+09 2.59E+09 2.17E+09 2.21E+09 1.68E+09 1.53E+09 1.08E+09 7.58E+08 4.11E+08 2.33E+08 1.25E+08 7.09E+07 3.92E+07 2.30E+07 1.34E+07 7.96E+06 4.59E+06 2.58E+06 1.39E+06 7.14E+05 3.50E+05 1.63E+05 7.16E+04 2.91E+04 1.10E+04 3.84E+03 1.89E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.020  5.84E+10 6.81E+10 7.50E+11 2.96E+09 3.09E+09 8.13E+09 7.66E+09 1.02E+10 8.60E+09 8.87E+09 6.19E+09 4.84E+09 2.80E+09 1.87E+09 1.07E+09 6.79E+08 3.92E+08 2.52E+08 1.55E+08 1.00E+08 6.33E+07 3.99E+07 2.44E+07 1.45E+07 8.34E+06 4.59E+06 2.42E+06 1.21E+06 5.79E+05 2.64E+05 1.14E+05 4.53E+04 2.55E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.056  1.48E+11 1.12E+11 1.10E+12 6.66E+09 6.93E+09 1.89E+10 1.60E+10 1.82E+10 1.09E+10 1.15E+10 6.45E+09 5.76E+09 3.03E+09 2.51E+09 1.51E+09 1.12E+09 7.21E+08 5.13E+08 3.43E+08 2.38E+08 1.59E+08 1.05E+08 6.71E+07 4.15E+07 2.48E+07 1.42E+07 7.84E+06 4.15E+06 2.09E+06 1.01E+06 4.65E+05 2.01E+05 1.30E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
