                    *********************************************************************************
                    *  Z= 65 A=160: Positive-Parity Spin-dependent Level Density [MeV-1] for TB160  *
   2.25  0.393  1.63E+03 4.07E+03 4.62E+04 1.87E+02 1.60E+02 4.87E+02 4.29E+02 6.37E+02 4.36E+02 5.42E+02 3.32E+02 3.20E+02 1.86E+02 1.30E+02 8.08E+01 6.57E+01 3.03E+01 2.43E+01 1.21E+01 1.21E+01 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.415  2.95E+03 6.45E+03 7.50E+04 2.44E+02 2.43E+02 7.21E+02 6.88E+02 9.69E+02 7.16E+02 8.25E+02 5.81E+02 5.47E+02 3.25E+02 2.39E+02 1.23E+02 9.60E+01 5.34E+01 3.49E+01 1.68E+01 1.82E+01 6.07E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.435  5.25E+03 1.20E+04 1.46E+05 4.03E+02 4.13E+02 1.22E+03 1.16E+03 1.65E+03 1.32E+03 1.52E+03 1.15E+03 1.11E+03 7.06E+02 5.71E+02 3.12E+02 1.98E+02 1.01E+02 7.60E+01 3.20E+01 2.58E+01 1.21E+01 6.07E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.454  9.02E+03 1.82E+04 2.27E+05 5.96E+02 6.02E+02 1.78E+03 1.69E+03 2.41E+03 1.96E+03 2.24E+03 1.75E+03 1.70E+03 1.16E+03 9.51E+02 5.51E+02 3.74E+02 1.71E+02 1.16E+02 5.76E+01 4.11E+01 9.10E+00 1.21E+01 4.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.473  1.54E+04 3.31E+04 4.23E+05 1.13E+03 1.08E+03 3.19E+03 2.95E+03 4.18E+03 3.46E+03 4.04E+03 3.14E+03 2.96E+03 2.20E+03 1.86E+03 1.18E+03 8.58E+02 4.01E+02 2.59E+02 1.17E+02 7.77E+01 3.20E+01 1.36E+01 1.21E+01 3.03E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.491  2.57E+04 4.87E+04 6.32E+05 1.62E+03 1.51E+03 4.50E+03 4.18E+03 6.12E+03 5.07E+03 5.78E+03 4.55E+03 4.47E+03 3.33E+03 2.74E+03 1.86E+03 1.36E+03 7.27E+02 4.69E+02 1.83E+02 1.16E+02 5.66E+01 2.73E+01 1.21E+01 9.10E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.508  4.25E+04 8.61E+04 1.14E+06 2.76E+03 2.60E+03 7.72E+03 7.23E+03 1.06E+04 8.67E+03 1.02E+04 8.01E+03 7.89E+03 5.91E+03 5.02E+03 3.40E+03 2.62E+03 1.52E+03 1.05E+03 4.42E+02 2.42E+02 1.08E+02 6.07E+01 2.28E+01 1.83E+01 6.07E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.524  6.92E+04 1.27E+05 1.70E+06 3.97E+03 3.82E+03 1.13E+04 1.07E+04 1.57E+04 1.28E+04 1.47E+04 1.18E+04 1.16E+04 8.77E+03 7.40E+03 5.19E+03 3.95E+03 2.39E+03 1.68E+03 8.07E+02 4.47E+02 1.61E+02 8.97E+01 3.51E+01 1.99E+01 1.21E+01 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.541  1.13E+05 2.25E+05 3.04E+06 6.72E+03 6.64E+03 1.97E+04 1.89E+04 2.69E+04 2.21E+04 2.61E+04 2.09E+04 2.05E+04 1.54E+04 1.33E+04 9.39E+03 7.19E+03 4.47E+03 3.28E+03 1.73E+03 1.06E+03 3.98E+02 1.88E+02 7.95E+01 4.47E+01 1.06E+01 1.21E+01 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.556  1.83E+05 3.29E+05 4.50E+06 9.59E+03 9.39E+03 2.80E+04 2.69E+04 3.93E+04 3.28E+04 3.78E+04 3.03E+04 3.01E+04 2.27E+04 1.97E+04 1.40E+04 1.08E+04 6.71E+03 5.05E+03 2.76E+03 1.74E+03 7.39E+02 3.63E+02 1.39E+02 7.64E+01 2.43E+01 1.82E+01 6.07E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.571  2.95E+05 5.73E+05 7.96E+06 1.63E+04 1.60E+04 4.78E+04 4.59E+04 6.63E+04 5.52E+04 6.56E+04 5.35E+04 5.28E+04 4.02E+04 3.52E+04 2.52E+04 1.96E+04 1.24E+04 9.37E+03 5.36E+03 3.47E+03 1.69E+03 8.86E+02 3.30E+02 1.53E+02 6.10E+01 3.08E+01 1.38E+01 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.586  4.70E+05 8.23E+05 1.16E+07 2.27E+04 2.25E+04 6.68E+04 6.41E+04 9.43E+04 7.95E+04 9.36E+04 7.61E+04 7.59E+04 5.91E+04 5.11E+04 3.70E+04 2.92E+04 1.85E+04 1.42E+04 8.08E+03 5.33E+03 2.86E+03 1.54E+03 5.50E+02 2.48E+02 9.81E+01 5.37E+01 1.38E+01 6.07E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.615  1.18E+06 2.00E+06 2.88E+07 5.33E+04 5.28E+04 1.57E+05 1.51E+05 2.23E+05 1.89E+05 2.22E+05 1.82E+05 1.85E+05 1.45E+05 1.28E+05 9.47E+04 7.60E+04 4.98E+04 3.82E+04 2.26E+04 1.53E+04 8.57E+03 5.16E+03 2.45E+03 1.17E+03 4.19E+02 1.78E+02 5.78E+01 2.17E+01 1.11E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.642  2.87E+06 4.77E+06 6.99E+07 1.24E+05 1.22E+05 3.62E+05 3.49E+05 5.18E+05 4.41E+05 5.22E+05 4.31E+05 4.39E+05 3.49E+05 3.10E+05 2.34E+05 1.91E+05 1.27E+05 1.00E+05 6.11E+04 4.26E+04 2.45E+04 1.49E+04 7.94E+03 4.31E+03 1.82E+03 7.30E+02 2.58E+02 1.12E+02 3.74E+01 1.56E+01 4.16E-01 3.00E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.668  6.88E+06 1.13E+07 1.68E+08 2.82E+05 2.80E+05 8.31E+05 8.04E+05 1.19E+06 1.02E+06 1.21E+06 1.02E+06 1.03E+06 8.27E+05 7.41E+05 5.65E+05 4.66E+05 3.15E+05 2.53E+05 1.59E+05 1.13E+05 6.75E+04 4.25E+04 2.32E+04 1.30E+04 6.46E+03 3.11E+03 1.21E+03 4.41E+02 1.71E+02 7.52E+01 3.07E+01 7.27E+00 1.50E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.694  1.63E+07 2.62E+07 3.97E+08 6.38E+05 6.34E+05 1.88E+06 1.83E+06 2.71E+06 2.34E+06 2.77E+06 2.35E+06 2.40E+06 1.94E+06 1.76E+06 1.35E+06 1.12E+06 7.66E+05 6.22E+05 3.98E+05 2.90E+05 1.79E+05 1.16E+05 6.58E+04 3.79E+04 2.00E+04 1.08E+04 5.04E+03 2.02E+03 7.46E+02 3.39E+02 1.19E+02 4.51E+01 1.24E+01 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.718  3.79E+07 6.02E+07 9.24E+08 1.43E+06 1.42E+06 4.22E+06 4.09E+06 6.10E+06 5.27E+06 6.28E+06 5.34E+06 5.49E+06 4.47E+06 4.07E+06 3.16E+06 2.65E+06 1.84E+06 1.50E+06 9.79E+05 7.25E+05 4.58E+05 3.04E+05 1.79E+05 1.07E+05 5.89E+04 3.26E+04 1.64E+04 7.76E+03 3.35E+03 1.46E+03 5.76E+02 2.30E+02 1.05E+02 1.52E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.742  8.68E+07 1.36E+08 2.12E+09 3.09E+06 3.06E+06 9.11E+06 8.84E+06 1.34E+07 1.17E+07 1.40E+07 1.20E+07 1.24E+07 1.01E+07 9.29E+06 7.28E+06 6.16E+06 4.33E+06 3.58E+06 2.37E+06 1.77E+06 1.14E+06 7.71E+05 4.66E+05 2.87E+05 1.65E+05 9.42E+04 4.98E+04 2.48E+04 1.21E+04 5.80E+03 2.51E+03 1.07E+03 2.82E+02 5.00E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.764  1.97E+08 3.04E+08 4.81E+09 6.76E+06 6.71E+06 2.00E+07 1.94E+07 2.95E+07 2.59E+07 3.10E+07 2.66E+07 2.75E+07 2.27E+07 2.10E+07 1.65E+07 1.41E+07 1.00E+07 8.36E+06 5.63E+06 4.26E+06 2.80E+06 1.92E+06 1.19E+06 7.41E+05 4.40E+05 2.61E+05 1.44E+05 7.44E+04 3.81E+04 2.00E+04 9.47E+03 2.91E+03 7.89E+02 1.29E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.787  4.41E+08 6.74E+08 1.08E+10 1.47E+07 1.46E+07 4.35E+07 4.23E+07 6.44E+07 5.66E+07 6.80E+07 5.89E+07 6.08E+07 5.05E+07 4.68E+07 3.71E+07 3.20E+07 2.29E+07 1.93E+07 1.31E+07 1.00E+07 6.73E+06 4.67E+06 2.95E+06 1.88E+06 1.15E+06 6.96E+05 3.97E+05 2.14E+05 1.15E+05 6.26E+04 2.40E+04 7.27E+03 2.34E+03 4.22E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.808  9.80E+08 1.48E+09 2.41E+10 3.17E+07 3.15E+07 9.37E+07 9.13E+07 1.39E+08 1.23E+08 1.48E+08 1.28E+08 1.33E+08 1.11E+08 1.04E+08 8.27E+07 7.17E+07 5.16E+07 4.38E+07 3.02E+07 2.34E+07 1.59E+07 1.12E+07 7.18E+06 4.65E+06 2.91E+06 1.80E+06 1.06E+06 5.90E+05 3.28E+05 1.33E+05 4.99E+04 1.69E+04 5.81E+03 1.13E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.829  2.16E+09 3.23E+09 5.30E+10 6.77E+07 6.72E+07 2.00E+08 1.95E+08 2.99E+08 2.64E+08 3.18E+08 2.78E+08 2.89E+08 2.42E+08 2.27E+08 1.82E+08 1.59E+08 1.15E+08 9.85E+07 6.84E+07 5.36E+07 3.69E+07 2.62E+07 1.72E+07 1.13E+07 7.21E+06 4.55E+06 2.75E+06 1.48E+06 6.71E+05 2.65E+05 1.08E+05 3.87E+04 1.49E+04 3.21E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.870  1.13E+10 1.50E+10 2.50E+11 3.02E+08 3.00E+08 8.95E+08 8.75E+08 1.34E+09 1.19E+09 1.44E+09 1.27E+09 1.32E+09 1.12E+09 1.06E+09 8.59E+08 7.56E+08 5.57E+08 4.82E+08 3.42E+08 2.72E+08 1.91E+08 1.39E+08 9.34E+07 6.32E+07 4.18E+07 2.30E+07 1.14E+07 5.53E+06 2.65E+06 1.14E+06 4.98E+05 1.99E+05 9.48E+04 2.17E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.908  5.21E+10 6.68E+10 1.13E+12 1.31E+09 1.30E+09 3.89E+09 3.81E+09 5.84E+09 5.21E+09 6.33E+09 5.59E+09 5.89E+09 5.01E+09 4.77E+09 3.91E+09 3.47E+09 2.59E+09 2.26E+09 1.63E+09 1.32E+09 9.45E+08 7.00E+08 4.33E+08 2.57E+08 1.40E+08 7.66E+07 3.92E+07 1.99E+07 9.52E+06 4.49E+06 2.06E+06 9.10E+05 5.15E+05 1.14E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.945  2.29E+11 2.88E+11 4.82E+12 5.69E+09 5.66E+09 1.69E+10 1.65E+10 2.51E+10 2.23E+10 2.72E+10 2.41E+10 2.56E+10 2.19E+10 2.10E+10 1.74E+10 1.55E+10 1.17E+10 1.03E+10 7.28E+09 5.36E+09 3.21E+09 2.15E+09 1.22E+09 7.78E+08 4.13E+08 2.42E+08 1.22E+08 6.65E+07 3.22E+07 1.65E+07 7.85E+06 3.82E+06 2.62E+06 5.00E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.981  9.34E+11 1.12E+12 1.78E+13 2.35E+10 2.34E+10 6.98E+10 6.84E+10 1.04E+11 9.29E+10 1.13E+11 1.01E+11 1.08E+11 9.26E+10 8.64E+10 6.56E+10 5.44E+10 3.80E+10 2.99E+10 1.80E+10 1.26E+10 7.47E+09 5.19E+09 3.07E+09 2.07E+09 1.08E+09 6.40E+08 3.27E+08 1.95E+08 9.89E+07 5.29E+07 2.71E+07 1.44E+07 1.23E+07 1.85E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.016  2.47E+12 1.95E+12 2.67E+13 5.48E+10 5.45E+10 1.63E+11 1.60E+11 2.51E+11 2.11E+11 2.40E+11 1.80E+11 1.52E+11 1.21E+11 1.07E+11 6.58E+10 5.93E+10 3.87E+10 3.38E+10 1.90E+10 1.47E+10 7.81E+09 6.19E+09 3.41E+09 2.51E+09 1.26E+09 8.04E+08 4.01E+08 2.55E+08 1.34E+08 7.65E+07 4.36E+07 2.66E+07 2.95E+07 2.72E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
