                    *********************************************************************************
                    *  Z= 91 A=232: Positive-Parity Spin-dependent Level Density [MeV-1] for PA232  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   2.25  0.327  4.84E+03 1.38E+04 1.83E+05 4.39E+02 4.06E+02 1.23E+03 1.12E+03 1.84E+03 1.33E+03 1.63E+03 1.30E+03 1.28E+03 8.29E+02 8.23E+02 4.74E+02 4.45E+02 2.37E+02 1.78E+02 6.23E+01 5.78E+01 2.43E+01 3.34E+01 1.52E+01 1.22E+01 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.344  9.45E+03 2.31E+04 3.14E+05 6.83E+02 6.45E+02 1.95E+03 1.83E+03 2.95E+03 2.21E+03 2.73E+03 2.20E+03 2.13E+03 1.46E+03 1.42E+03 8.61E+02 8.01E+02 4.37E+02 3.48E+02 1.72E+02 9.27E+01 4.87E+01 3.80E+01 2.13E+01 2.28E+01 9.12E+00 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.361  1.83E+04 4.77E+04 6.74E+05 1.31E+03 1.27E+03 3.78E+03 3.58E+03 5.78E+03 4.38E+03 5.43E+03 4.47E+03 4.55E+03 3.17E+03 3.12E+03 1.98E+03 1.84E+03 1.10E+03 8.46E+02 4.41E+02 3.25E+02 1.57E+02 8.36E+01 3.80E+01 3.80E+01 1.67E+01 1.52E+01 4.56E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.377  3.40E+04 7.82E+04 1.12E+06 2.11E+03 2.08E+03 6.09E+03 5.69E+03 9.31E+03 7.24E+03 8.80E+03 7.33E+03 7.19E+03 5.17E+03 5.16E+03 3.39E+03 3.14E+03 1.90E+03 1.48E+03 8.00E+02 5.84E+02 3.04E+02 2.28E+02 6.23E+01 5.78E+01 1.98E+01 2.43E+01 9.12E+00 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.393  6.38E+04 1.60E+05 2.34E+06 4.11E+03 4.07E+03 1.20E+04 1.14E+04 1.86E+04 1.43E+04 1.76E+04 1.48E+04 1.50E+04 1.09E+04 1.06E+04 7.26E+03 6.65E+03 4.31E+03 3.32E+03 1.93E+03 1.40E+03 7.51E+02 5.49E+02 2.40E+02 1.60E+02 5.17E+01 4.26E+01 1.82E+01 1.52E+01 7.60E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.407  1.16E+05 2.56E+05 3.79E+06 6.41E+03 6.26E+03 1.86E+04 1.76E+04 2.87E+04 2.28E+04 2.82E+04 2.39E+04 2.37E+04 1.75E+04 1.72E+04 1.21E+04 1.10E+04 7.04E+03 5.61E+03 3.38E+03 2.39E+03 1.38E+03 9.72E+02 4.41E+02 3.25E+02 1.16E+02 6.54E+01 2.43E+01 2.58E+01 1.22E+01 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.422  2.11E+05 5.06E+05 7.65E+06 1.22E+04 1.20E+04 3.56E+04 3.39E+04 5.52E+04 4.33E+04 5.39E+04 4.64E+04 4.73E+04 3.55E+04 3.50E+04 2.47E+04 2.27E+04 1.52E+04 1.19E+04 7.39E+03 5.43E+03 3.15E+03 2.28E+03 1.13E+03 8.06E+02 3.31E+02 2.04E+02 5.32E+01 3.95E+01 1.98E+01 1.52E+01 4.56E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.435  3.73E+05 7.91E+05 1.21E+07 1.86E+04 1.83E+04 5.42E+04 5.16E+04 8.43E+04 6.77E+04 8.43E+04 7.26E+04 7.29E+04 5.54E+04 5.49E+04 3.97E+04 3.69E+04 2.44E+04 1.95E+04 1.25E+04 8.92E+03 5.36E+03 3.95E+03 1.94E+03 1.40E+03 6.28E+02 3.89E+02 1.40E+02 6.99E+01 2.43E+01 2.58E+01 9.12E+00 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.449  6.62E+05 1.52E+06 2.36E+07 3.51E+04 3.47E+04 1.03E+05 9.77E+04 1.60E+05 1.26E+05 1.57E+05 1.36E+05 1.40E+05 1.07E+05 1.07E+05 7.75E+04 7.27E+04 5.00E+04 4.02E+04 2.60E+04 1.92E+04 1.17E+04 8.52E+03 4.54E+03 3.20E+03 1.49E+03 9.21E+02 3.66E+02 2.43E+02 6.08E+01 3.95E+01 1.82E+01 1.67E+01 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.462  1.15E+06 2.35E+06 3.69E+07 5.29E+04 5.21E+04 1.54E+05 1.47E+05 2.41E+05 1.96E+05 2.45E+05 2.13E+05 2.15E+05 1.64E+05 1.64E+05 1.22E+05 1.15E+05 7.81E+04 6.37E+04 4.24E+04 3.10E+04 1.94E+04 1.45E+04 7.54E+03 5.44E+03 2.61E+03 1.65E+03 7.04E+02 4.47E+02 1.57E+02 6.99E+01 2.43E+01 2.43E+01 9.12E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.475  2.00E+06 4.47E+06 7.10E+07 9.90E+04 9.79E+04 2.90E+05 2.78E+05 4.54E+05 3.64E+05 4.53E+05 3.94E+05 4.09E+05 3.17E+05 3.19E+05 2.34E+05 2.19E+05 1.55E+05 1.26E+05 8.43E+04 6.35E+04 4.05E+04 3.00E+04 1.66E+04 1.17E+04 5.85E+03 3.72E+03 1.66E+03 1.04E+03 4.14E+02 2.43E+02 5.32E+01 3.95E+01 1.67E+01 9.12E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
