                    *********************************************************************************
                    *  Z= 91 A=232: Positive-Parity Spin-dependent Level Density [MeV-1] for PA232  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.109  1.00E+00 7.73E+00 7.67E+01 0.00E+00 0.00E+00 1.67E+00 1.52E+00 1.52E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.154  5.00E+00 1.85E+01 1.74E+02 1.67E+00 1.52E+00 3.18E+00 3.03E+00 3.03E+00 1.52E+00 1.52E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.188  1.10E+01 3.06E+01 3.71E+02 1.67E+00 3.18E+00 3.03E+00 3.03E+00 3.03E+00 3.03E+00 3.03E+00 3.03E+00 3.03E+00 1.52E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.217  2.10E+01 5.07E+01 5.95E+02 1.52E+00 4.88E+00 7.88E+00 7.58E+00 6.07E+00 4.55E+00 3.03E+00 3.03E+00 3.03E+00 3.03E+00 3.03E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.243  4.30E+01 1.26E+02 1.39E+03 8.20E+00 1.27E+01 1.88E+01 1.82E+01 1.38E+01 1.53E+01 1.06E+01 7.58E+00 6.07E+00 3.03E+00 3.03E+00 3.03E+00 3.03E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.266  8.80E+01 2.28E+02 2.58E+03 1.14E+01 2.03E+01 3.14E+01 3.38E+01 2.60E+01 2.76E+01 2.29E+01 1.67E+01 1.21E+01 7.58E+00 6.07E+00 3.03E+00 3.03E+00 3.03E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.287  1.87E+02 5.69E+02 6.64E+03 2.20E+01 4.99E+01 6.82E+01 7.96E+01 6.88E+01 6.57E+01 5.95E+01 5.32E+01 3.19E+01 2.73E+01 1.67E+01 9.10E+00 6.07E+00 3.03E+00 3.03E+00 3.03E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.307  3.71E+02 9.06E+02 1.12E+04 3.11E+01 6.84E+01 9.58E+01 1.10E+02 1.10E+02 1.16E+02 9.58E+01 8.22E+01 6.22E+01 5.31E+01 3.19E+01 1.82E+01 1.21E+01 9.10E+00 3.03E+00 3.03E+00 3.03E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.326  7.03E+02 1.74E+03 2.21E+04 7.20E+01 1.27E+02 1.81E+02 2.14E+02 1.93E+02 1.92E+02 1.66E+02 1.55E+02 1.31E+02 1.09E+02 7.74E+01 5.16E+01 3.19E+01 1.82E+01 1.06E+01 6.07E+00 3.03E+00 3.03E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.344  1.26E+03 2.70E+03 3.50E+04 1.06E+02 1.86E+02 2.71E+02 3.14E+02 2.96E+02 3.03E+02 2.80E+02 2.31E+02 1.81E+02 1.58E+02 1.29E+02 9.10E+01 6.22E+01 3.79E+01 2.28E+01 1.21E+01 6.07E+00 3.03E+00 3.03E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.360  2.24E+03 5.14E+03 6.78E+04 1.81E+02 3.57E+02 4.99E+02 6.01E+02 5.70E+02 5.75E+02 5.12E+02 4.49E+02 3.60E+02 3.06E+02 2.18E+02 1.62E+02 1.30E+02 9.10E+01 6.07E+01 3.19E+01 1.67E+01 7.58E+00 3.03E+00 3.03E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.376  3.87E+03 7.94E+03 1.06E+05 2.79E+02 5.36E+02 7.57E+02 9.15E+02 8.72E+02 8.91E+02 7.98E+02 6.99E+02 5.73E+02 4.61E+02 3.55E+02 2.52E+02 1.80E+02 1.40E+02 1.02E+02 6.22E+01 3.19E+01 1.67E+01 7.58E+00 3.03E+00 3.03E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.392  6.85E+03 1.59E+04 2.11E+05 5.49E+02 1.08E+03 1.53E+03 1.88E+03 1.74E+03 1.79E+03 1.59E+03 1.40E+03 1.13E+03 9.26E+02 6.91E+02 4.81E+02 3.63E+02 2.52E+02 1.74E+02 1.30E+02 8.19E+01 5.31E+01 2.73E+01 1.06E+01 3.03E+00 3.03E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.406  1.20E+04 2.56E+04 3.42E+05 8.34E+02 1.69E+03 2.37E+03 2.91E+03 2.85E+03 2.93E+03 2.68E+03 2.28E+03 1.84E+03 1.49E+03 1.12E+03 7.98E+02 5.80E+02 4.00E+02 2.94E+02 1.80E+02 1.30E+02 8.19E+01 5.31E+01 2.28E+01 9.10E+00 3.03E+00 3.03E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.421  2.16E+04 5.13E+04 6.94E+05 1.65E+03 3.25E+03 4.63E+03 5.74E+03 5.59E+03 5.79E+03 5.31E+03 4.79E+03 3.89E+03 3.17E+03 2.35E+03 1.63E+03 1.18E+03 8.01E+02 5.45E+02 3.63E+02 2.34E+02 1.58E+02 1.09E+02 6.07E+01 2.88E+01 1.21E+01 3.03E+00 3.03E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.435  3.81E+04 8.05E+04 1.11E+06 2.49E+03 4.84E+03 6.99E+03 8.71E+03 8.76E+03 9.06E+03 8.35E+03 7.50E+03 6.33E+03 5.14E+03 3.90E+03 2.76E+03 1.96E+03 1.29E+03 8.99E+02 5.79E+02 3.63E+02 2.34E+02 1.58E+02 1.02E+02 5.16E+01 2.73E+01 9.10E+00 3.03E+00 3.03E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.448  6.73E+04 1.53E+05 2.14E+06 4.62E+03 8.91E+03 1.29E+04 1.61E+04 1.59E+04 1.66E+04 1.54E+04 1.43E+04 1.22E+04 1.02E+04 7.88E+03 5.73E+03 4.16E+03 2.80E+03 1.87E+03 1.18E+03 7.40E+02 4.63E+02 3.08E+02 1.74E+02 1.12E+02 6.22E+01 2.88E+01 1.06E+01 3.03E+00 3.03E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.461  1.16E+05 2.33E+05 3.31E+06 6.73E+03 1.33E+04 1.90E+04 2.39E+04 2.43E+04 2.55E+04 2.40E+04 2.16E+04 1.84E+04 1.57E+04 1.23E+04 9.05E+03 6.78E+03 4.56E+03 3.19E+03 1.97E+03 1.19E+03 7.40E+02 4.63E+02 2.94E+02 1.62E+02 1.09E+02 5.16E+01 2.28E+01 7.58E+00 3.03E+00 3.03E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.474  1.99E+05 4.36E+05 6.27E+06 1.25E+04 2.44E+04 3.52E+04 4.44E+04 4.46E+04 4.65E+04 4.32E+04 4.06E+04 3.50E+04 2.97E+04 2.33E+04 1.75E+04 1.33E+04 9.20E+03 6.52E+03 4.20E+03 2.58E+03 1.55E+03 9.43E+02 5.45E+02 3.19E+02 1.80E+02 1.12E+02 6.07E+01 2.73E+01 7.58E+00 3.03E+00 3.03E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.486  3.37E+05 6.67E+05 9.65E+06 1.86E+04 3.66E+04 5.26E+04 6.65E+04 6.82E+04 7.18E+04 6.76E+04 6.17E+04 5.28E+04 4.50E+04 3.62E+04 2.69E+04 2.03E+04 1.45E+04 1.04E+04 6.86E+03 4.24E+03 2.58E+03 1.55E+03 8.99E+02 4.81E+02 3.08E+02 1.62E+02 1.02E+02 5.31E+01 1.67E+01 6.07E+00 3.03E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.510  9.83E+05 1.92E+06 2.81E+07 5.14E+04 1.01E+05 1.46E+05 1.86E+05 1.92E+05 2.04E+05 1.94E+05 1.79E+05 1.54E+05 1.32E+05 1.07E+05 7.96E+04 6.00E+04 4.30E+04 3.13E+04 2.08E+04 1.37E+04 8.67E+03 5.43E+03 3.20E+03 1.65E+03 9.43E+02 4.81E+02 2.94E+02 1.58E+02 8.19E+01 3.19E+01 1.06E+01 3.03E+00 3.03E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.532  2.81E+06 5.38E+06 8.05E+07 1.39E+05 2.72E+05 3.95E+05 5.04E+05 5.26E+05 5.63E+05 5.39E+05 5.05E+05 4.40E+05 3.81E+05 3.12E+05 2.36E+05 1.79E+05 1.29E+05 9.38E+04 6.24E+04 4.12E+04 2.65E+04 1.70E+04 1.04E+04 5.85E+03 3.34E+03 1.65E+03 8.99E+02 4.63E+02 2.34E+02 1.30E+02 6.07E+01 2.28E+01 6.07E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.554  7.84E+06 1.48E+07 2.25E+08 3.64E+05 7.17E+05 1.04E+06 1.33E+06 1.40E+06 1.51E+06 1.46E+06 1.37E+06 1.22E+06 1.07E+06 8.81E+05 6.81E+05 5.25E+05 3.83E+05 2.82E+05 1.89E+05 1.25E+05 8.01E+04 5.10E+04 3.18E+04 1.82E+04 1.09E+04 5.85E+03 3.20E+03 1.55E+03 7.37E+02 3.63E+02 1.74E+02 1.02E+02 3.19E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.575  2.15E+07 3.99E+07 6.18E+08 9.56E+05 1.88E+06 2.74E+06 3.52E+06 3.72E+06 4.02E+06 3.89E+06 3.68E+06 3.31E+06 2.91E+06 2.42E+06 1.89E+06 1.49E+06 1.10E+06 8.18E+05 5.60E+05 3.76E+05 2.45E+05 1.55E+05 9.64E+04 5.52E+04 3.32E+04 1.83E+04 1.04E+04 5.43E+03 2.56E+03 1.18E+03 5.45E+02 2.94E+02 1.30E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.595  5.82E+07 1.07E+08 1.68E+09 2.49E+06 4.90E+06 7.16E+06 9.21E+06 9.78E+06 1.06E+07 1.03E+07 9.86E+06 8.90E+06 7.88E+06 6.62E+06 5.21E+06 4.12E+06 3.08E+06 2.31E+06 1.61E+06 1.10E+06 7.26E+05 4.66E+05 2.94E+05 1.70E+05 1.01E+05 5.53E+04 3.19E+04 1.70E+04 8.61E+03 4.20E+03 1.87E+03 8.96E+02 3.70E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.615  1.55E+08 2.81E+08 4.49E+09 6.21E+06 1.22E+07 1.79E+07 2.31E+07 2.50E+07 2.73E+07 2.70E+07 2.59E+07 2.35E+07 2.10E+07 1.78E+07 1.42E+07 1.13E+07 8.52E+06 6.45E+06 4.53E+06 3.11E+06 2.09E+06 1.36E+06 8.71E+05 5.14E+05 3.10E+05 1.71E+05 9.72E+04 5.13E+04 2.63E+04 1.36E+04 6.54E+03 3.19E+03 1.21E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.633  4.08E+08 7.31E+08 1.19E+10 1.58E+07 3.11E+07 4.55E+07 5.88E+07 6.40E+07 7.01E+07 6.95E+07 6.70E+07 6.14E+07 5.46E+07 4.69E+07 3.77E+07 3.04E+07 2.32E+07 1.77E+07 1.26E+07 8.76E+06 5.91E+06 3.89E+06 2.51E+06 1.52E+06 9.20E+05 5.19E+05 2.99E+05 1.58E+05 8.03E+04 4.13E+04 2.01E+04 1.04E+04 4.32E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.652  1.06E+09 1.89E+09 3.10E+10 3.97E+07 7.83E+07 1.15E+08 1.49E+08 1.62E+08 1.78E+08 1.77E+08 1.72E+08 1.59E+08 1.42E+08 1.23E+08 9.95E+07 8.06E+07 6.18E+07 4.79E+07 3.44E+07 2.42E+07 1.66E+07 1.10E+07 7.16E+06 4.37E+06 2.67E+06 1.54E+06 8.95E+05 4.82E+05 2.49E+05 1.27E+05 6.10E+04 3.18E+04 1.40E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.670  2.74E+09 4.83E+09 8.03E+10 9.91E+07 1.96E+08 2.87E+08 3.72E+08 4.08E+08 4.49E+08 4.49E+08 4.37E+08 4.06E+08 3.65E+08 3.17E+08 2.59E+08 2.12E+08 1.64E+08 1.28E+08 9.27E+07 6.57E+07 4.56E+07 3.05E+07 2.02E+07 1.25E+07 7.68E+06 4.49E+06 2.62E+06 1.44E+06 7.53E+05 3.91E+05 1.89E+05 9.69E+04 4.26E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.687  7.01E+09 1.22E+10 2.06E+11 2.45E+08 4.84E+08 7.12E+08 9.24E+08 1.01E+09 1.12E+09 1.12E+09 1.10E+09 1.03E+09 9.26E+08 8.10E+08 6.67E+08 5.48E+08 4.28E+08 3.36E+08 2.47E+08 1.77E+08 1.24E+08 8.30E+07 5.57E+07 3.51E+07 2.18E+07 1.29E+07 7.61E+06 4.20E+06 2.23E+06 1.18E+06 5.80E+05 3.01E+05 1.33E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.721  5.13E+10 7.63E+10 1.31E+12 1.46E+09 2.90E+09 4.27E+09 5.55E+09 6.12E+09 6.80E+09 6.86E+09 6.75E+09 6.35E+09 5.79E+09 5.12E+09 4.27E+09 3.55E+09 2.82E+09 2.25E+09 1.68E+09 1.22E+09 8.76E+08 5.98E+08 4.09E+08 2.64E+08 1.67E+08 1.02E+08 6.17E+07 3.50E+07 1.90E+07 1.02E+07 5.20E+06 2.72E+06 1.25E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.753  3.20E+11 4.60E+11 8.07E+12 8.49E+09 1.68E+10 2.48E+10 3.23E+10 3.58E+10 3.99E+10 4.05E+10 4.02E+10 3.80E+10 3.50E+10 3.12E+10 2.63E+10 2.21E+10 1.78E+10 1.44E+10 1.09E+10 8.10E+09 5.90E+09 4.09E+09 2.85E+09 1.89E+09 1.22E+09 7.68E+08 4.74E+08 2.75E+08 1.54E+08 8.53E+07 4.48E+07 2.39E+07 1.13E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.783  1.91E+12 2.72E+12 4.85E+13 4.92E+10 9.75E+10 1.44E+11 1.88E+11 2.06E+11 2.30E+11 2.33E+11 2.32E+11 2.21E+11 2.07E+11 1.85E+11 1.57E+11 1.34E+11 1.08E+11 8.87E+10 6.82E+10 5.14E+10 3.81E+10 2.68E+10 1.90E+10 1.29E+10 8.50E+09 5.48E+09 3.46E+09 2.06E+09 1.19E+09 6.80E+08 3.69E+08 2.02E+08 9.86E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.813  8.11E+12 9.69E+12 2.21E+14 2.96E+10 5.76E+10 8.41E+10 1.27E+11 2.62E+11 3.77E+11 5.35E+11 7.17E+11 9.40E+11 1.16E+12 1.06E+12 9.06E+11 7.74E+11 6.40E+11 5.28E+11 4.11E+11 3.15E+11 2.36E+11 1.69E+11 1.22E+11 8.40E+10 5.66E+10 3.73E+10 2.41E+10 1.47E+10 8.77E+09 5.16E+09 2.90E+09 1.64E+09 8.26E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.842  1.77E+13 9.43E+12 2.85E+14 3.88E+10 7.86E+10 1.05E+11 1.13E+11 8.61E+10 8.85E+10 2.91E+11 2.51E+11 2.78E+11 3.04E+11 1.88E+11 3.81E+09 3.76E+11 8.90E+11 1.46E+12 1.31E+12 1.01E+12 7.73E+11 5.58E+11 4.06E+11 2.86E+11 1.94E+11 1.31E+11 8.57E+10 5.39E+10 3.27E+10 1.94E+10 1.12E+10 6.48E+09 3.38E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
