                    *********************************************************************************
                    *  Z= 69 A=170: Positive-Parity Spin-dependent Level Density [MeV-1] for TM170  *
   2.25  0.382  1.19E+03 2.80E+03 3.45E+04 1.38E+02 1.02E+02 2.98E+02 2.42E+02 3.55E+02 2.70E+02 3.54E+02 2.56E+02 2.59E+02 1.51E+02 1.50E+02 7.67E+01 5.84E+01 3.88E+01 2.00E+01 1.39E+01 1.07E+01 3.07E+00 1.53E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.402  2.11E+03 4.55E+03 5.60E+04 2.16E+02 1.48E+02 4.87E+02 4.18E+02 5.99E+02 4.43E+02 5.29E+02 4.16E+02 4.33E+02 2.68E+02 2.35E+02 1.14E+02 1.00E+02 6.04E+01 3.99E+01 1.41E+01 1.23E+01 7.67E+00 4.60E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.422  3.75E+03 8.59E+03 1.13E+05 2.96E+02 2.44E+02 7.79E+02 7.35E+02 1.08E+03 8.26E+02 1.06E+03 7.75E+02 8.51E+02 5.79E+02 5.25E+02 3.02E+02 2.33E+02 1.25E+02 8.47E+01 4.94E+01 2.15E+01 1.38E+01 1.07E+01 1.53E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.441  6.44E+03 1.29E+04 1.73E+05 4.35E+02 3.48E+02 1.10E+03 1.04E+03 1.54E+03 1.29E+03 1.54E+03 1.19E+03 1.28E+03 8.86E+02 8.07E+02 5.26E+02 3.90E+02 2.04E+02 1.48E+02 6.95E+01 5.07E+01 1.53E+01 1.23E+01 4.60E+00 4.60E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.459  1.11E+04 2.48E+04 3.35E+05 8.15E+02 7.45E+02 2.20E+03 2.02E+03 2.85E+03 2.33E+03 2.85E+03 2.25E+03 2.43E+03 1.70E+03 1.59E+03 1.02E+03 8.38E+02 5.08E+02 2.98E+02 1.51E+02 9.40E+01 4.60E+01 2.30E+01 1.23E+01 6.14E+00 1.53E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.476  1.89E+04 3.76E+04 5.16E+05 1.13E+03 1.03E+03 3.18E+03 3.03E+03 4.39E+03 3.63E+03 4.24E+03 3.42E+03 3.62E+03 2.62E+03 2.39E+03 1.57E+03 1.33E+03 8.36E+02 5.45E+02 2.76E+02 1.79E+02 6.79E+01 4.00E+01 1.88E+01 1.08E+01 4.74E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.493  3.21E+04 6.74E+04 9.58E+05 1.83E+03 1.76E+03 5.30E+03 5.08E+03 7.35E+03 6.23E+03 7.66E+03 6.21E+03 6.71E+03 4.88E+03 4.55E+03 3.17E+03 2.58E+03 1.59E+03 1.11E+03 6.83E+02 3.92E+02 1.74E+02 9.62E+01 3.75E+01 2.46E+01 9.34E+00 4.60E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.509  5.28E+04 9.87E+04 1.42E+06 2.64E+03 2.54E+03 7.64E+03 7.29E+03 1.06E+04 9.08E+03 1.09E+04 8.98E+03 9.65E+03 7.28E+03 6.68E+03 4.69E+03 3.95E+03 2.54E+03 1.76E+03 1.10E+03 7.16E+02 3.22E+02 1.95E+02 7.89E+01 3.39E+01 1.38E+01 1.07E+01 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.524  8.70E+04 1.75E+05 2.55E+06 4.66E+03 4.47E+03 1.35E+04 1.30E+04 1.85E+04 1.54E+04 1.86E+04 1.55E+04 1.69E+04 1.27E+04 1.21E+04 8.63E+03 7.21E+03 4.83E+03 3.48E+03 2.21E+03 1.46E+03 7.98E+02 4.33E+02 1.91E+02 7.88E+01 3.12E+01 1.41E+01 4.60E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.540  1.41E+05 2.54E+05 3.77E+06 6.42E+03 6.29E+03 1.88E+04 1.82E+04 2.68E+04 2.28E+04 2.75E+04 2.24E+04 2.41E+04 1.85E+04 1.75E+04 1.27E+04 1.09E+04 7.31E+03 5.40E+03 3.50E+03 2.33E+03 1.31E+03 7.67E+02 3.36E+02 1.56E+02 7.46E+01 3.18E+01 9.32E+00 4.87E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.554  2.27E+05 4.37E+05 6.61E+06 1.06E+04 1.07E+04 3.17E+04 3.05E+04 4.42E+04 3.76E+04 4.62E+04 3.88E+04 4.23E+04 3.22E+04 3.04E+04 2.25E+04 1.94E+04 1.33E+04 9.93E+03 6.75E+03 4.59E+03 2.67E+03 1.69E+03 8.56E+02 4.17E+02 1.81E+02 8.65E+01 2.52E+01 1.75E+01 4.87E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.569  3.60E+05 6.29E+05 9.58E+06 1.52E+04 1.49E+04 4.46E+04 4.30E+04 6.33E+04 5.44E+04 6.58E+04 5.49E+04 6.00E+04 4.63E+04 4.41E+04 3.23E+04 2.81E+04 1.97E+04 1.50E+04 1.01E+04 7.01E+03 4.23E+03 2.66E+03 1.49E+03 7.77E+02 3.59E+02 1.56E+02 6.08E+01 3.21E+01 1.42E+01 1.80E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.597  9.00E+05 1.53E+06 2.38E+07 3.54E+04 3.52E+04 1.05E+05 1.02E+05 1.51E+05 1.31E+05 1.59E+05 1.32E+05 1.44E+05 1.12E+05 1.08E+05 8.10E+04 7.07E+04 4.99E+04 3.86E+04 2.72E+04 1.95E+04 1.23E+04 8.24E+03 4.71E+03 2.86E+03 1.54E+03 7.62E+02 3.41E+02 1.76E+02 7.49E+01 2.33E+01 8.39E+00 2.64E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.623  2.19E+06 3.65E+06 5.78E+07 8.17E+04 8.15E+04 2.43E+05 2.36E+05 3.50E+05 3.02E+05 3.69E+05 3.10E+05 3.41E+05 2.69E+05 2.60E+05 1.97E+05 1.72E+05 1.25E+05 9.82E+04 6.96E+04 5.08E+04 3.35E+04 2.30E+04 1.39E+04 8.88E+03 5.13E+03 2.83E+03 1.49E+03 7.50E+02 3.77E+02 1.53E+02 6.96E+01 3.59E+01 2.59E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.649  5.25E+06 8.55E+06 1.38E+08 1.86E+05 1.85E+05 5.50E+05 5.35E+05 7.99E+05 6.95E+05 8.54E+05 7.26E+05 8.00E+05 6.31E+05 6.14E+05 4.68E+05 4.17E+05 3.04E+05 2.41E+05 1.74E+05 1.29E+05 8.68E+04 6.07E+04 3.83E+04 2.52E+04 1.55E+04 8.89E+03 5.15E+03 2.89E+03 1.51E+03 7.07E+02 3.71E+02 1.84E+02 8.33E+01 2.76E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.673  1.23E+07 1.98E+07 3.24E+08 4.21E+05 4.18E+05 1.24E+06 1.21E+06 1.81E+06 1.58E+06 1.93E+06 1.65E+06 1.83E+06 1.45E+06 1.43E+06 1.10E+06 9.84E+05 7.24E+05 5.81E+05 4.27E+05 3.19E+05 2.19E+05 1.57E+05 1.00E+05 6.81E+04 4.31E+04 2.58E+04 1.58E+04 9.25E+03 5.26E+03 2.70E+03 1.46E+03 7.88E+02 3.85E+02 2.07E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.697  2.85E+07 4.50E+07 7.48E+08 9.32E+05 9.26E+05 2.76E+06 2.69E+06 4.03E+06 3.53E+06 4.35E+06 3.73E+06 4.14E+06 3.31E+06 3.25E+06 2.53E+06 2.28E+06 1.70E+06 1.37E+06 1.02E+06 7.74E+05 5.40E+05 3.90E+05 2.56E+05 1.77E+05 1.14E+05 7.08E+04 4.48E+04 2.73E+04 1.60E+04 8.84E+03 4.94E+03 2.77E+03 1.51E+03 8.20E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.719  6.49E+07 1.01E+08 1.70E+09 2.01E+06 1.99E+06 5.94E+06 5.80E+06 8.83E+06 7.78E+06 9.61E+06 8.27E+06 9.22E+06 7.41E+06 7.33E+06 5.76E+06 5.21E+06 3.92E+06 3.19E+06 2.40E+06 1.84E+06 1.30E+06 9.52E+05 6.35E+05 4.46E+05 2.95E+05 1.85E+05 1.21E+05 7.53E+04 4.61E+04 2.63E+04 1.55E+04 8.86E+03 5.03E+03 2.39E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.742  1.46E+08 2.23E+08 3.82E+09 4.36E+06 4.33E+06 1.29E+07 1.26E+07 1.93E+07 1.70E+07 2.11E+07 1.82E+07 2.02E+07 1.64E+07 1.63E+07 1.29E+07 1.17E+07 8.94E+06 7.32E+06 5.53E+06 4.28E+06 3.08E+06 2.28E+06 1.54E+06 1.10E+06 7.39E+05 4.74E+05 3.15E+05 2.00E+05 1.25E+05 7.42E+04 4.46E+04 2.61E+04 1.19E+04 4.18E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.763  3.25E+08 4.93E+08 8.52E+09 9.43E+06 9.37E+06 2.79E+07 2.73E+07 4.18E+07 3.70E+07 4.59E+07 3.99E+07 4.43E+07 3.60E+07 3.60E+07 2.85E+07 2.61E+07 2.01E+07 1.65E+07 1.26E+07 9.86E+06 7.14E+06 5.36E+06 3.69E+06 2.66E+06 1.81E+06 1.18E+06 7.99E+05 5.16E+05 3.28E+05 2.00E+05 1.22E+05 5.96E+04 2.23E+04 8.59E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.784  7.17E+08 1.07E+09 1.88E+10 2.01E+07 2.00E+07 5.97E+07 5.84E+07 8.94E+07 7.95E+07 9.88E+07 8.61E+07 9.61E+07 7.85E+07 7.87E+07 6.27E+07 5.76E+07 4.46E+07 3.69E+07 2.84E+07 2.24E+07 1.64E+07 1.24E+07 8.67E+06 6.29E+06 4.36E+06 2.88E+06 1.98E+06 1.29E+06 8.41E+05 5.21E+05 2.55E+05 1.10E+05 4.55E+04 1.67E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.804  1.57E+09 2.32E+09 4.10E+10 4.28E+07 4.25E+07 1.27E+08 1.24E+08 1.90E+08 1.69E+08 2.11E+08 1.85E+08 2.06E+08 1.69E+08 1.70E+08 1.36E+08 1.26E+08 9.81E+07 8.15E+07 6.32E+07 5.01E+07 3.71E+07 2.83E+07 2.00E+07 1.47E+07 1.03E+07 6.91E+06 4.81E+06 3.19E+06 1.96E+06 1.06E+06 4.40E+05 1.89E+05 8.45E+04 3.01E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.844  8.00E+09 1.05E+10 1.89E+11 1.88E+08 1.87E+08 5.57E+08 5.47E+08 8.40E+08 7.51E+08 9.38E+08 8.25E+08 9.25E+08 7.65E+08 7.74E+08 6.26E+08 5.83E+08 4.59E+08 3.86E+08 3.03E+08 2.44E+08 1.83E+08 1.42E+08 1.02E+08 7.65E+07 5.49E+07 3.77E+07 2.22E+07 1.17E+07 6.04E+06 3.07E+06 1.44E+06 6.51E+05 3.28E+05 1.11E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.881  3.63E+10 4.61E+10 8.35E+11 8.02E+08 7.97E+08 2.38E+09 2.34E+09 3.60E+09 3.23E+09 4.05E+09 3.58E+09 4.03E+09 3.35E+09 3.41E+09 2.78E+09 2.61E+09 2.07E+09 1.76E+09 1.40E+09 1.14E+09 8.66E+08 6.80E+08 4.99E+08 3.39E+08 1.86E+08 1.15E+08 6.04E+07 3.35E+07 1.82E+07 9.75E+06 4.53E+06 2.21E+06 1.26E+06 3.99E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.917  1.57E+11 1.94E+11 3.47E+12 3.42E+09 3.40E+09 1.02E+10 9.98E+09 1.52E+10 1.36E+10 1.71E+10 1.51E+10 1.72E+10 1.44E+10 1.46E+10 1.20E+10 1.14E+10 9.07E+09 7.76E+09 6.24E+09 4.81E+09 3.30E+09 2.24E+09 1.39E+09 8.91E+08 5.11E+08 3.08E+08 1.72E+08 9.73E+07 5.28E+07 2.99E+07 1.49E+07 7.30E+06 5.05E+06 1.39E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.952  6.23E+11 7.38E+11 1.24E+13 1.39E+10 1.38E+10 4.12E+10 4.06E+10 6.18E+10 5.56E+10 6.99E+10 6.20E+10 7.08E+10 5.95E+10 6.09E+10 4.74E+10 4.08E+10 2.89E+10 2.28E+10 1.62E+10 1.13E+10 7.45E+09 5.37E+09 3.27E+09 2.17E+09 1.16E+09 8.07E+08 4.22E+08 2.51E+08 1.40E+08 8.50E+07 4.19E+07 2.29E+07 1.85E+07 4.25E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.985  1.61E+12 1.23E+12 1.76E+13 3.19E+10 3.18E+10 9.49E+10 9.35E+10 1.47E+11 1.24E+11 1.45E+11 1.09E+11 1.10E+11 7.38E+10 7.38E+10 4.71E+10 4.20E+10 2.79E+10 2.37E+10 1.51E+10 1.19E+10 8.39E+09 5.70E+09 3.20E+09 2.56E+09 1.16E+09 9.26E+08 4.43E+08 3.04E+08 1.75E+08 1.26E+08 5.78E+07 3.32E+07 3.68E+07 5.84E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
