                    *********************************************************************************
                    *  Z= 95 A=242: Positive-Parity Spin-dependent Level Density [MeV-1] for AM242  *
   2.25  0.320  3.42E+03 8.61E+03 1.30E+05 2.06E+02 2.11E+02 6.56E+02 6.41E+02 9.35E+02 7.40E+02 8.81E+02 7.17E+02 7.67E+02 5.90E+02 5.68E+02 4.41E+02 4.34E+02 2.57E+02 2.23E+02 1.30E+02 8.38E+01 3.59E+01 3.15E+01 3.29E+01 2.02E+01 4.66E+00 6.21E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.337  6.40E+03 1.52E+04 2.28E+05 3.88E+02 3.46E+02 1.13E+03 1.10E+03 1.66E+03 1.36E+03 1.66E+03 1.38E+03 1.35E+03 9.99E+02 9.68E+02 7.30E+02 6.61E+02 4.55E+02 3.88E+02 2.43E+02 1.73E+02 7.77E+01 5.82E+01 3.61E+01 2.96E+01 1.40E+01 9.32E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.354  1.27E+04 3.55E+04 5.33E+05 8.46E+02 8.21E+02 2.50E+03 2.48E+03 3.85E+03 3.22E+03 3.87E+03 3.21E+03 3.37E+03 2.56E+03 2.37E+03 1.74E+03 1.46E+03 9.22E+02 7.63E+02 5.36E+02 4.23E+02 2.27E+02 1.42E+02 8.44E+01 4.40E+01 3.73E+01 2.02E+01 7.88E+00 9.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.369  2.45E+04 5.86E+04 9.01E+05 1.33E+03 1.28E+03 3.87E+03 3.80E+03 5.95E+03 5.10E+03 6.30E+03 5.31E+03 5.73E+03 4.43E+03 4.11E+03 3.13E+03 2.71E+03 1.63E+03 1.32E+03 8.56E+02 6.82E+02 4.22E+02 2.84E+02 1.51E+02 9.74E+01 4.35E+01 3.57E+01 1.88E+01 1.44E+01 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.384  4.61E+04 1.14E+05 1.84E+06 2.41E+03 2.34E+03 7.02E+03 6.80E+03 1.07E+04 9.15E+03 1.16E+04 9.87E+03 1.11E+04 8.85E+03 8.67E+03 6.79E+03 5.99E+03 3.97E+03 3.22E+03 1.94E+03 1.50E+03 9.10E+02 6.68E+02 3.86E+02 2.34E+02 1.25E+02 5.92E+01 4.04E+01 3.31E+01 1.75E+01 7.76E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.399  8.26E+04 1.78E+05 2.91E+06 3.66E+03 3.56E+03 1.06E+04 1.02E+04 1.62E+04 1.40E+04 1.77E+04 1.49E+04 1.63E+04 1.35E+04 1.35E+04 1.07E+04 9.76E+03 6.69E+03 5.53E+03 3.62E+03 2.62E+03 1.61E+03 1.14E+03 6.76E+02 4.42E+02 2.42E+02 1.41E+02 5.14E+01 4.55E+01 3.31E+01 1.72E+01 1.55E+00 8.68E-03 1.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.413  1.49E+05 3.53E+05 5.84E+06 7.19E+03 7.22E+03 2.15E+04 2.10E+04 3.26E+04 2.76E+04 3.45E+04 2.89E+04 3.18E+04 2.57E+04 2.57E+04 2.05E+04 1.92E+04 1.36E+04 1.18E+04 8.07E+03 6.22E+03 3.91E+03 2.63E+03 1.56E+03 9.45E+02 5.83E+02 3.56E+02 1.63E+02 7.05E+01 6.41E+01 4.56E+01 1.25E+01 1.56E+00 3.22E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.426  2.64E+05 5.66E+05 9.39E+06 1.14E+04 1.13E+04 3.39E+04 3.32E+04 5.18E+04 4.48E+04 5.63E+04 4.75E+04 5.08E+04 4.09E+04 4.02E+04 3.26E+04 3.00E+04 2.12E+04 1.87E+04 1.31E+04 1.04E+04 6.63E+03 4.76E+03 2.81E+03 1.73E+03 9.55E+02 6.63E+02 3.33E+02 1.71E+02 7.97E+01 7.58E+01 3.77E+01 1.24E+01 4.77E+00 7.76E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.440  4.74E+05 1.11E+06 1.87E+07 2.21E+04 2.17E+04 6.47E+04 6.29E+04 9.91E+04 8.54E+04 1.07E+05 9.11E+04 1.02E+05 8.22E+04 8.13E+04 6.48E+04 5.89E+04 4.19E+04 3.67E+04 2.61E+04 2.15E+04 1.42E+04 1.05E+04 6.70E+03 4.11E+03 2.27E+03 1.43E+03 8.52E+02 4.86E+02 2.26E+02 1.24E+02 1.01E+02 4.56E+01 1.09E+01 1.55E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.452  8.26E+05 1.71E+06 2.92E+07 3.28E+04 3.22E+04 9.57E+04 9.26E+04 1.47E+05 1.30E+05 1.65E+05 1.42E+05 1.56E+05 1.27E+05 1.26E+05 1.03E+05 9.46E+04 6.64E+04 5.76E+04 4.13E+04 3.37E+04 2.27E+04 1.72E+04 1.14E+04 7.30E+03 4.16E+03 2.58E+03 1.48E+03 9.41E+02 4.44E+02 2.54E+02 1.47E+02 9.49E+01 3.26E+01 2.33E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.465  1.44E+06 3.21E+06 5.57E+07 5.99E+04 5.92E+04 1.76E+05 1.72E+05 2.71E+05 2.35E+05 2.97E+05 2.53E+05 2.87E+05 2.36E+05 2.40E+05 1.96E+05 1.82E+05 1.33E+05 1.16E+05 8.21E+04 6.74E+04 4.58E+04 3.48E+04 2.35E+04 1.60E+04 9.74E+03 6.25E+03 3.57E+03 2.17E+03 1.20E+03 6.44E+02 3.48E+02 2.04E+02 1.09E+02 4.50E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.477  2.46E+06 4.92E+06 8.61E+07 9.07E+04 8.98E+04 2.67E+05 2.60E+05 4.12E+05 3.62E+05 4.59E+05 3.94E+05 4.35E+05 3.56E+05 3.60E+05 2.98E+05 2.83E+05 2.05E+05 1.81E+05 1.31E+05 1.06E+05 7.27E+04 5.57E+04 3.74E+04 2.61E+04 1.65E+04 1.08E+04 6.41E+03 3.82E+03 2.14E+03 1.24E+03 6.09E+02 3.97E+02 2.14E+02 8.85E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.500  7.27E+06 1.43E+07 2.54E+08 2.57E+05 2.55E+05 7.60E+05 7.41E+05 1.18E+06 1.04E+06 1.32E+06 1.14E+06 1.26E+06 1.03E+06 1.04E+06 8.64E+05 8.13E+05 5.94E+05 5.31E+05 3.93E+05 3.30E+05 2.30E+05 1.79E+05 1.21E+05 8.40E+04 5.47E+04 3.85E+04 2.43E+04 1.52E+04 9.21E+03 5.46E+03 2.87E+03 1.67E+03 1.04E+03 5.59E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.522  2.08E+07 4.00E+07 7.24E+08 6.88E+05 6.83E+05 2.04E+06 1.99E+06 3.16E+06 2.81E+06 3.59E+06 3.12E+06 3.48E+06 2.89E+06 2.94E+06 2.46E+06 2.34E+06 1.73E+06 1.54E+06 1.15E+06 9.66E+05 6.83E+05 5.45E+05 3.83E+05 2.70E+05 1.77E+05 1.25E+05 8.21E+04 5.42E+04 3.40E+04 2.15E+04 1.23E+04 7.29E+03 4.12E+03 2.44E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.544  5.85E+07 1.11E+08 2.03E+09 1.87E+06 1.85E+06 5.53E+06 5.40E+06 8.59E+06 7.64E+06 9.76E+06 8.51E+06 9.46E+06 7.95E+06 8.07E+06 6.81E+06 6.51E+06 4.88E+06 4.41E+06 3.33E+06 2.82E+06 2.02E+06 1.61E+06 1.15E+06 8.27E+05 5.58E+05 4.01E+05 2.67E+05 1.79E+05 1.16E+05 7.48E+04 4.48E+04 2.87E+04 1.70E+04 9.25E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.564  1.62E+08 3.02E+08 5.63E+09 4.95E+06 4.92E+06 1.47E+07 1.44E+07 2.29E+07 2.04E+07 2.62E+07 2.30E+07 2.56E+07 2.17E+07 2.21E+07 1.87E+07 1.79E+07 1.35E+07 1.23E+07 9.35E+06 8.00E+06 5.82E+06 4.71E+06 3.40E+06 2.46E+06 1.68E+06 1.23E+06 8.39E+05 5.74E+05 3.80E+05 2.51E+05 1.53E+05 9.89E+04 6.29E+04 3.68E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.584  4.39E+08 8.08E+08 1.53E+10 1.29E+07 1.28E+07 3.83E+07 3.76E+07 5.98E+07 5.35E+07 6.87E+07 6.04E+07 6.75E+07 5.74E+07 5.88E+07 5.03E+07 4.85E+07 3.69E+07 3.36E+07 2.59E+07 2.22E+07 1.64E+07 1.33E+07 9.77E+06 7.19E+06 4.98E+06 3.68E+06 2.55E+06 1.77E+06 1.19E+06 8.06E+05 5.03E+05 3.30E+05 2.10E+05 1.28E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.603  1.17E+09 2.12E+09 4.08E+10 3.27E+07 3.25E+07 9.69E+07 9.51E+07 1.52E+08 1.38E+08 1.78E+08 1.58E+08 1.77E+08 1.51E+08 1.55E+08 1.33E+08 1.28E+08 9.84E+07 9.03E+07 7.02E+07 6.06E+07 4.51E+07 3.70E+07 2.74E+07 2.04E+07 1.43E+07 1.07E+07 7.57E+06 5.32E+06 3.64E+06 2.48E+06 1.58E+06 1.06E+06 6.86E+05 4.16E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.622  3.09E+09 5.55E+09 1.08E+11 8.34E+07 8.29E+07 2.48E+08 2.43E+08 3.90E+08 3.55E+08 4.58E+08 4.07E+08 4.57E+08 3.92E+08 4.01E+08 3.46E+08 3.37E+08 2.60E+08 2.39E+08 1.88E+08 1.63E+08 1.22E+08 1.01E+08 7.59E+07 5.70E+07 4.04E+07 3.05E+07 2.18E+07 1.55E+07 1.09E+07 7.49E+06 4.82E+06 3.29E+06 2.16E+06 1.34E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.640  8.06E+09 1.43E+10 2.82E+11 2.11E+08 2.10E+08 6.28E+08 6.17E+08 9.90E+08 9.02E+08 1.17E+09 1.04E+09 1.17E+09 1.01E+09 1.03E+09 8.96E+08 8.75E+08 6.80E+08 6.25E+08 4.95E+08 4.31E+08 3.27E+08 2.72E+08 2.06E+08 1.56E+08 1.12E+08 8.56E+07 6.18E+07 4.44E+07 3.14E+07 2.20E+07 1.44E+07 9.90E+06 6.58E+06 4.13E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.657  2.08E+10 3.67E+10 7.28E+11 5.31E+08 5.28E+08 1.58E+09 1.55E+09 2.49E+09 2.27E+09 2.95E+09 2.63E+09 2.96E+09 2.57E+09 2.63E+09 2.29E+09 2.24E+09 1.75E+09 1.62E+09 1.29E+09 1.13E+09 8.61E+08 7.23E+08 5.52E+08 4.22E+08 3.04E+08 2.35E+08 1.72E+08 1.25E+08 8.92E+07 6.31E+07 4.19E+07 2.92E+07 1.96E+07 1.23E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.674  5.32E+10 9.27E+10 1.86E+12 1.32E+09 1.31E+09 3.92E+09 3.85E+09 6.19E+09 5.66E+09 7.34E+09 6.57E+09 7.42E+09 6.45E+09 6.63E+09 5.80E+09 5.70E+09 4.48E+09 4.15E+09 3.32E+09 2.92E+09 2.24E+09 1.90E+09 1.46E+09 1.12E+09 8.17E+08 6.36E+08 4.69E+08 3.44E+08 2.49E+08 1.78E+08 1.19E+08 8.38E+07 5.68E+07 3.61E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.707  3.88E+11 5.77E+11 1.18E+13 7.93E+09 7.89E+09 2.36E+10 2.32E+10 3.74E+10 3.43E+10 4.46E+10 4.01E+10 4.54E+10 3.96E+10 4.09E+10 3.60E+10 3.56E+10 2.82E+10 2.63E+10 2.13E+10 1.89E+10 1.47E+10 1.25E+10 9.78E+09 7.61E+09 5.64E+09 4.44E+09 3.34E+09 2.49E+09 1.83E+09 1.33E+09 9.10E+08 5.92E+08 3.38E+08 1.75E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.739  2.40E+12 3.45E+12 7.13E+13 4.62E+10 4.60E+10 1.37E+11 1.36E+11 2.18E+11 2.01E+11 2.62E+11 2.36E+11 2.68E+11 2.35E+11 2.44E+11 2.16E+11 2.14E+11 1.71E+11 1.61E+11 1.31E+11 1.17E+11 9.21E+10 7.94E+10 6.26E+10 4.93E+10 3.70E+10 2.95E+10 2.25E+10 1.63E+10 1.02E+10 6.42E+09 3.65E+09 2.15E+09 1.24E+09 6.37E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.769  7.10E+12 5.94E+12 1.84E+14 1.61E+10 1.58E+10 4.97E+10 4.98E+10 6.81E+10 6.88E+10 8.28E+10 9.37E+10 7.71E+10 9.46E+10 1.71E+11 2.41E+11 3.84E+11 4.87E+11 6.36E+11 5.89E+11 6.09E+11 5.23E+11 4.76E+11 3.73E+11 2.88E+11 1.96E+11 1.36E+11 7.99E+10 5.56E+10 3.20E+10 2.16E+10 1.22E+10 7.28E+09 4.41E+09 2.29E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.798  1.20E+13 3.77E+12 1.49E+14 7.86E+08 5.46E+09 4.99E+09 7.95E+09 4.04E+09 4.62E+09 1.56E+10 2.61E+10 2.18E+10 3.19E+10 5.68E+10 4.49E+10 1.46E+11 9.38E+10 9.30E+10 7.38E+10 4.08E+10 7.71E+10 2.74E+11 4.68E+11 7.17E+11 5.36E+11 3.91E+11 2.30E+11 1.64E+11 9.43E+10 6.56E+10 3.72E+10 2.27E+10 1.43E+10 7.29E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.826  1.47E+13 1.70E+12 7.42E+13 6.80E+09 4.44E+08 1.43E+10 1.14E+10 1.25E+10 1.07E+10 6.62E+09 5.33E+08 4.17E+09 1.23E+10 9.46E+09 1.41E+10 5.70E+09 3.58E+09 5.08E+08 2.01E+10 9.03E+10 3.40E+10 6.20E+10 1.12E+11 1.55E+09 7.27E+10 4.18E+11 2.53E+11 2.21E+11 1.06E+11 9.14E+10 4.87E+10 3.31E+10 1.62E+10 1.05E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
