                    *********************************************************************************
                    *  Z= 79 A=198: Positive-Parity Spin-dependent Level Density [MeV-1] for AU198  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   0.25  0.118  5.00E+00 3.84E+01 3.07E+02 7.29E+00 2.55E+00 6.75E+00 5.22E+00 4.08E+00 2.51E+00 3.76E+00 1.88E+00 2.51E+00 9.41E-01 9.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.167  1.50E+01 3.98E+01 4.10E+02 5.31E+00 8.86E-01 4.45E+00 5.22E+00 5.43E+00 2.51E+00 4.39E+00 2.51E+00 4.08E+00 1.88E+00 2.51E+00 6.27E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.204  2.50E+01 4.35E+01 5.87E+02 1.67E+00 2.29E+00 3.49E+00 2.46E+00 7.20E+00 3.14E+00 3.76E+00 2.20E+00 4.08E+00 2.51E+00 4.39E+00 2.51E+00 2.82E+00 9.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.236  3.90E+01 6.49E+01 8.02E+02 5.31E+00 4.29E+00 8.08E+00 3.40E+00 9.07E+00 6.78E+00 4.08E+00 3.14E+00 3.45E+00 2.82E+00 4.08E+00 2.51E+00 4.08E+00 1.88E+00 1.57E+00 3.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.264  6.10E+01 1.12E+02 1.25E+03 1.85E+01 6.59E+00 1.58E+01 8.51E+00 1.08E+01 1.00E+01 7.21E+00 4.08E+00 5.96E+00 4.08E+00 3.45E+00 2.82E+00 4.08E+00 2.51E+00 4.08E+00 1.88E+00 1.57E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.289  9.60E+01 1.71E+02 1.86E+03 2.28E+01 1.15E+01 2.72E+01 1.56E+01 1.64E+01 1.44E+01 1.53E+01 6.90E+00 9.72E+00 4.08E+00 5.96E+00 3.76E+00 3.14E+00 2.82E+00 4.08E+00 2.51E+00 3.45E+00 9.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.312  1.60E+02 3.36E+02 3.54E+03 3.27E+01 3.15E+01 5.67E+01 2.80E+01 4.53E+01 2.76E+01 3.01E+01 1.51E+01 1.85E+01 9.10E+00 1.25E+01 5.33E+00 5.33E+00 4.08E+00 3.14E+00 2.20E+00 3.76E+00 2.51E+00 2.82E+00 3.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.333  2.77E+02 5.99E+02 6.23E+03 4.96E+01 4.69E+01 1.00E+02 6.76E+01 8.03E+01 5.09E+01 6.03E+01 3.14E+01 3.36E+01 1.57E+01 1.85E+01 8.47E+00 9.72E+00 4.08E+00 4.71E+00 3.14E+00 3.76E+00 2.82E+00 4.08E+00 1.88E+00 9.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
