                    *********************************************************************************
                    *  Z= 79 A=198: Positive-Parity Spin-dependent Level Density [MeV-1] for AU198  *
   2.25  0.354  5.07E+02 1.25E+03 1.38E+04 8.01E+01 7.25E+01 1.74E+02 1.43E+02 1.78E+02 1.13E+02 1.33E+02 9.03E+01 8.88E+01 4.67E+01 4.77E+01 1.85E+01 2.04E+01 9.10E+00 1.00E+01 4.08E+00 4.71E+00 2.82E+00 4.08E+00 2.51E+00 3.45E+00 9.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.373  8.87E+02 1.79E+03 2.11E+04 1.02E+02 8.05E+01 2.08E+02 1.89E+02 2.44E+02 1.71E+02 1.97E+02 1.35E+02 1.48E+02 8.41E+01 8.88E+01 4.02E+01 3.61E+01 1.57E+01 1.47E+01 7.53E+00 6.27E+00 4.08E+00 3.14E+00 2.82E+00 4.39E+00 1.88E+00 1.25E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.391  1.47E+03 2.91E+03 3.77E+04 1.28E+02 1.23E+02 2.85E+02 2.60E+02 3.56E+02 2.99E+02 3.21E+02 2.27E+02 2.50E+02 1.57E+02 1.76E+02 9.72E+01 9.69E+01 4.67E+01 3.64E+01 1.54E+01 1.47E+01 5.96E+00 5.33E+00 3.14E+00 3.76E+00 2.51E+00 4.08E+00 9.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.408  2.36E+03 4.20E+03 5.54E+04 1.60E+02 1.79E+02 3.87E+02 3.80E+02 5.28E+02 4.22E+02 4.63E+02 3.23E+02 3.43E+02 2.22E+02 2.41E+02 1.44E+02 1.54E+02 8.41E+01 7.15E+01 3.20E+01 2.48E+01 9.72E+00 9.72E+00 4.08E+00 3.45E+00 2.82E+00 4.39E+00 1.88E+00 9.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.425  3.82E+03 7.49E+03 1.00E+05 2.87E+02 3.04E+02 6.86E+02 6.72E+02 9.13E+02 7.60E+02 8.26E+02 6.02E+02 6.20E+02 3.96E+02 3.90E+02 2.40E+02 2.57E+02 1.57E+02 1.57E+02 8.25E+01 6.71E+01 2.42E+01 2.04E+01 7.53E+00 6.27E+00 4.08E+00 3.76E+00 2.51E+00 3.76E+00 9.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.441  6.13E+03 1.10E+04 1.48E+05 4.00E+02 4.31E+02 1.02E+03 9.44E+02 1.35E+03 1.10E+03 1.24E+03 9.11E+02 8.82E+02 6.20E+02 5.86E+02 3.54E+02 3.44E+02 2.19E+02 2.23E+02 1.28E+02 1.19E+02 5.08E+01 3.61E+01 1.32E+01 1.25E+01 4.08E+00 4.08E+00 2.82E+00 4.39E+00 1.88E+00 9.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.456  1.00E+04 2.00E+04 2.70E+05 7.29E+02 7.84E+02 1.95E+03 1.78E+03 2.34E+03 1.92E+03 2.20E+03 1.65E+03 1.66E+03 1.13E+03 1.09E+03 6.58E+02 6.27E+02 3.90E+02 3.50E+02 2.16E+02 2.11E+02 1.12E+02 9.69E+01 3.45E+01 2.48E+01 9.10E+00 7.53E+00 4.08E+00 3.76E+00 2.20E+00 3.45E+00 3.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.471  1.62E+04 2.95E+04 4.03E+05 1.01E+03 1.06E+03 2.77E+03 2.60E+03 3.47E+03 2.93E+03 3.28E+03 2.52E+03 2.48E+03 1.69E+03 1.63E+03 1.00E+03 9.25E+02 5.88E+02 5.24E+02 3.06E+02 2.85E+02 1.65E+02 1.54E+02 7.00E+01 4.83E+01 1.57E+01 1.35E+01 4.08E+00 4.08E+00 2.20E+00 4.39E+00 1.57E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.486  2.64E+04 5.17E+04 7.21E+05 1.53E+03 1.86E+03 4.62E+03 4.35E+03 6.04E+03 4.93E+03 5.67E+03 4.39E+03 4.60E+03 3.13E+03 3.06E+03 1.85E+03 1.70E+03 1.09E+03 9.41E+02 5.74E+02 4.92E+02 2.71E+02 2.57E+02 1.37E+02 1.19E+02 4.67E+01 2.76E+01 9.10E+00 7.21E+00 4.08E+00 3.76E+00 2.51E+00 2.51E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.500  4.21E+04 7.41E+04 1.05E+06 2.03E+03 2.54E+03 6.26E+03 5.97E+03 8.46E+03 7.02E+03 8.26E+03 6.51E+03 6.59E+03 4.58E+03 4.52E+03 2.85E+03 2.56E+03 1.63E+03 1.43E+03 8.67E+02 7.39E+02 4.12E+02 3.44E+02 1.98E+02 1.81E+02 8.41E+01 5.58E+01 1.57E+01 1.25E+01 4.08E+00 3.45E+00 2.82E+00 4.08E+00 9.41E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.514  6.69E+04 1.25E+05 1.81E+06 3.48E+03 3.85E+03 1.00E+04 9.68E+03 1.37E+04 1.17E+04 1.34E+04 1.06E+04 1.13E+04 8.11E+03 7.93E+03 5.07E+03 4.73E+03 3.04E+03 2.62E+03 1.60E+03 1.34E+03 7.57E+02 6.28E+02 3.33E+02 2.85E+02 1.57E+02 1.32E+02 4.67E+01 2.60E+01 9.10E+00 6.27E+00 3.14E+00 4.08E+00 2.51E+00 1.57E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.527  1.05E+05 1.76E+05 2.59E+06 4.79E+03 5.13E+03 1.36E+04 1.33E+04 1.90E+04 1.64E+04 1.91E+04 1.54E+04 1.58E+04 1.15E+04 1.12E+04 7.44E+03 6.89E+03 4.43E+03 3.96E+03 2.44E+03 2.02E+03 1.15E+03 9.26E+02 5.10E+02 4.00E+02 2.19E+02 1.92E+02 8.41E+01 5.14E+01 1.54E+01 1.25E+01 4.39E+00 3.45E+00 2.51E+00 3.45E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.553  2.51E+05 4.11E+05 6.22E+06 1.03E+04 1.15E+04 3.03E+04 2.96E+04 4.24E+04 3.73E+04 4.39E+04 3.58E+04 3.71E+04 2.76E+04 2.71E+04 1.84E+04 1.68E+04 1.12E+04 1.00E+04 6.45E+03 5.43E+03 3.22E+03 2.55E+03 1.41E+03 1.12E+03 5.88E+02 4.37E+02 2.19E+02 1.87E+02 8.25E+01 4.77E+01 1.22E+01 9.72E+00 4.08E+00 3.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.577  5.94E+05 9.61E+05 1.48E+07 2.30E+04 2.67E+04 6.96E+04 6.75E+04 9.74E+04 8.50E+04 1.01E+05 8.34E+04 8.63E+04 6.52E+04 6.39E+04 4.45E+04 4.04E+04 2.73E+04 2.44E+04 1.58E+04 1.33E+04 8.25E+03 6.84E+03 3.88E+03 3.09E+03 1.63E+03 1.21E+03 5.88E+02 4.25E+02 2.16E+02 1.78E+02 6.56E+01 3.51E+01 9.10E+00 6.27E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.601  1.39E+06 2.23E+06 3.49E+07 5.17E+04 5.85E+04 1.55E+05 1.52E+05 2.19E+05 1.94E+05 2.32E+05 1.93E+05 2.02E+05 1.56E+05 1.52E+05 1.07E+05 9.69E+04 6.57E+04 5.84E+04 3.84E+04 3.20E+04 2.02E+04 1.67E+04 9.82E+03 8.01E+03 4.42E+03 3.37E+03 1.63E+03 1.18E+03 5.74E+02 3.98E+02 1.89E+02 1.50E+02 4.67E+01 2.42E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.624  3.22E+06 5.06E+06 8.06E+07 1.12E+05 1.26E+05 3.38E+05 3.31E+05 4.84E+05 4.31E+05 5.18E+05 4.36E+05 4.57E+05 3.59E+05 3.52E+05 2.52E+05 2.31E+05 1.61E+05 1.41E+05 9.27E+04 7.67E+04 4.87E+04 4.00E+04 2.39E+04 1.93E+04 1.10E+04 8.66E+03 4.43E+03 3.27E+03 1.60E+03 1.10E+03 4.89E+02 3.34E+02 1.57E+02 1.17E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.645  7.31E+06 1.13E+07 1.84E+08 2.41E+05 2.70E+05 7.27E+05 7.14E+05 1.05E+06 9.44E+05 1.14E+06 9.69E+05 1.02E+06 8.13E+05 8.02E+05 5.83E+05 5.32E+05 3.77E+05 3.33E+05 2.23E+05 1.86E+05 1.18E+05 9.59E+04 5.76E+04 4.62E+04 2.69E+04 2.09E+04 1.11E+04 8.46E+03 4.31E+03 3.06E+03 1.35E+03 8.92E+02 3.90E+02 2.79E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.667  1.64E+07 2.49E+07 4.11E+08 5.04E+05 5.66E+05 1.53E+06 1.50E+06 2.24E+06 2.02E+06 2.47E+06 2.12E+06 2.24E+06 1.81E+06 1.79E+06 1.32E+06 1.21E+06 8.69E+05 7.72E+05 5.21E+05 4.36E+05 2.82E+05 2.30E+05 1.41E+05 1.11E+05 6.48E+04 5.01E+04 2.70E+04 2.04E+04 1.08E+04 7.94E+03 3.75E+03 2.46E+03 1.09E+03 7.08E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.687  3.63E+07 5.47E+07 9.15E+08 1.08E+06 1.20E+06 3.28E+06 3.22E+06 4.81E+06 4.38E+06 5.36E+06 4.63E+06 4.93E+06 4.00E+06 3.92E+06 2.96E+06 2.72E+06 1.97E+06 1.76E+06 1.20E+06 1.01E+06 6.59E+05 5.35E+05 3.33E+05 2.63E+05 1.58E+05 1.20E+05 6.51E+04 4.91E+04 2.63E+04 1.91E+04 9.49E+03 6.58E+03 3.04E+03 1.94E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.707  7.97E+07 1.19E+08 2.02E+09 2.29E+06 2.53E+06 6.93E+06 6.83E+06 1.02E+07 9.37E+06 1.15E+07 1.00E+07 1.07E+07 8.78E+06 8.63E+06 6.58E+06 6.08E+06 4.45E+06 3.95E+06 2.73E+06 2.29E+06 1.52E+06 1.23E+06 7.77E+05 6.11E+05 3.72E+05 2.85E+05 1.59E+05 1.18E+05 6.35E+04 4.58E+04 2.31E+04 1.60E+04 7.83E+03 5.17E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.726  1.74E+08 2.57E+08 4.42E+09 4.80E+06 5.30E+06 1.45E+07 1.43E+07 2.16E+07 1.98E+07 2.44E+07 2.14E+07 2.30E+07 1.90E+07 1.88E+07 1.44E+07 1.34E+07 9.94E+06 8.84E+06 6.17E+06 5.17E+06 3.44E+06 2.80E+06 1.78E+06 1.40E+06 8.63E+05 6.61E+05 3.73E+05 2.80E+05 1.56E+05 1.09E+05 5.56E+04 3.84E+04 1.92E+04 1.27E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.745  3.75E+08 5.49E+08 9.56E+09 1.00E+07 1.10E+07 3.03E+07 2.99E+07 4.52E+07 4.16E+07 5.15E+07 4.53E+07 4.88E+07 4.07E+07 4.04E+07 3.14E+07 2.92E+07 2.19E+07 1.95E+07 1.38E+07 1.16E+07 7.80E+06 6.35E+06 4.05E+06 3.18E+06 1.98E+06 1.51E+06 8.67E+05 6.49E+05 3.66E+05 2.60E+05 1.36E+05 9.18E+04 4.61E+04 3.05E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.782  1.88E+09 2.46E+09 4.37E+10 4.28E+07 4.67E+07 1.29E+08 1.28E+08 1.94E+08 1.80E+08 2.24E+08 1.99E+08 2.16E+08 1.82E+08 1.82E+08 1.44E+08 1.35E+08 1.03E+08 9.23E+07 6.62E+07 5.61E+07 3.85E+07 3.15E+07 2.05E+07 1.61E+07 1.02E+07 7.74E+06 4.53E+06 3.37E+06 1.95E+06 1.38E+06 7.46E+05 5.09E+05 2.67E+05 1.78E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.816  8.44E+09 1.07E+10 1.94E+11 1.78E+08 1.93E+08 5.39E+08 5.34E+08 8.13E+08 7.58E+08 9.48E+08 8.47E+08 9.25E+08 7.90E+08 7.93E+08 6.36E+08 6.01E+08 4.64E+08 4.21E+08 3.07E+08 2.61E+08 1.83E+08 1.50E+08 9.97E+07 7.79E+07 5.04E+07 3.83E+07 2.30E+07 1.70E+07 1.01E+07 7.07E+06 3.87E+06 2.65E+06 1.43E+06 9.56E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.850  3.66E+10 4.56E+10 8.42E+11 7.42E+08 8.02E+08 2.25E+09 2.23E+09 3.38E+09 3.15E+09 3.94E+09 3.53E+09 3.88E+09 3.34E+09 3.41E+09 2.75E+09 2.61E+09 2.04E+09 1.86E+09 1.38E+09 1.18E+09 8.41E+08 6.92E+08 4.66E+08 3.63E+08 2.38E+08 1.80E+08 1.10E+08 8.15E+07 4.91E+07 3.46E+07 1.94E+07 1.34E+07 7.35E+06 4.91E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.882  1.52E+11 1.85E+11 3.44E+12 2.96E+09 3.18E+09 8.94E+09 8.88E+09 1.35E+10 1.26E+10 1.59E+10 1.43E+10 1.58E+10 1.37E+10 1.41E+10 1.15E+10 1.09E+10 8.53E+09 7.69E+09 5.66E+09 4.75E+09 3.33E+09 2.73E+09 1.84E+09 1.46E+09 9.66E+08 7.38E+08 4.57E+08 3.44E+08 2.11E+08 1.51E+08 8.60E+07 5.99E+07 3.36E+07 2.31E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.913  4.25E+11 3.60E+11 6.19E+12 6.72E+09 7.20E+09 2.03E+10 2.02E+10 3.14E+10 2.97E+10 3.46E+10 2.90E+10 3.39E+10 2.68E+10 2.59E+10 1.72E+10 1.75E+10 1.35E+10 1.09E+10 8.70E+09 7.52E+09 4.80E+09 4.24E+09 2.73E+09 2.38E+09 1.57E+09 1.12E+09 7.56E+08 5.25E+08 3.53E+08 2.65E+08 1.43E+08 1.08E+08 5.99E+07 4.53E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
