                    *********************************************************************************
                    *  Z= 94 A=239: Positive-Parity Spin-dependent Level Density [MeV-1] for PU239  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.107  4.00E+00 2.65E+01 3.00E+02 1.67E+00 1.58E+00 3.21E+00 3.08E+00 3.08E+00 3.08E+00 3.08E+00 3.08E+00 3.08E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.152  1.10E+01 3.26E+01 4.30E+02 1.67E+00 1.54E+00 1.54E+00 3.21E+00 3.08E+00 4.62E+00 4.62E+00 3.08E+00 3.08E+00 3.08E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.186  2.60E+01 8.26E+01 1.00E+03 5.00E+00 4.65E+00 9.50E+00 1.26E+01 1.08E+01 9.24E+00 6.16E+00 6.16E+00 3.08E+00 4.62E+00 3.08E+00 3.08E+00 3.08E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.215  5.40E+01 1.45E+02 1.84E+03 6.67E+00 6.22E+00 1.43E+01 1.89E+01 1.85E+01 2.02E+01 1.69E+01 1.23E+01 7.70E+00 6.16E+00 3.08E+00 4.62E+00 3.08E+00 3.08E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.240  1.03E+02 2.49E+02 3.46E+03 8.08E+00 1.09E+01 2.04E+01 2.98E+01 2.64E+01 2.48E+01 2.64E+01 2.31E+01 2.32E+01 2.00E+01 1.23E+01 6.16E+00 3.08E+00 4.62E+00 3.08E+00 3.08E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.263  1.91E+02 4.51E+02 6.14E+03 1.44E+01 2.53E+01 3.73E+01 5.16E+01 5.27E+01 5.26E+01 4.83E+01 4.03E+01 3.11E+01 2.77E+01 2.16E+01 1.85E+01 9.24E+00 6.16E+00 4.62E+00 3.08E+00 3.08E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.284  3.94E+02 1.18E+03 1.54E+04 4.46E+01 7.51E+01 1.10E+02 1.45E+02 1.32E+02 1.38E+02 1.31E+02 9.91E+01 8.68E+01 6.36E+01 5.08E+01 3.25E+01 2.47E+01 2.00E+01 9.24E+00 6.16E+00 4.62E+00 3.08E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.303  7.84E+02 1.94E+03 2.67E+04 6.35E+01 1.03E+02 1.54E+02 2.09E+02 2.10E+02 2.21E+02 2.21E+02 1.90E+02 1.65E+02 1.25E+02 9.58E+01 6.64E+01 4.33E+01 2.77E+01 2.00E+01 1.23E+01 6.16E+00 4.62E+00 3.08E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
