                    *********************************************************************************
                    *  Z= 67 A=166: Positive-Parity Spin-dependent Level Density [MeV-1] for HO166  *
   2.25  0.386  1.36E+03 3.22E+03 3.72E+04 1.33E+02 1.23E+02 3.67E+02 3.54E+02 4.96E+02 3.64E+02 4.05E+02 2.53E+02 2.68E+02 1.50E+02 1.26E+02 6.14E+01 5.52E+01 3.08E+01 1.68E+01 1.07E+01 9.19E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.407  2.42E+03 5.28E+03 6.14E+04 2.19E+02 1.95E+02 5.98E+02 5.60E+02 8.07E+02 5.89E+02 6.16E+02 4.70E+02 4.65E+02 2.47E+02 2.21E+02 1.01E+02 7.99E+01 4.61E+01 3.52E+01 1.38E+01 1.38E+01 6.13E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.427  4.42E+03 1.07E+04 1.28E+05 4.26E+02 3.72E+02 1.17E+03 1.07E+03 1.50E+03 1.19E+03 1.33E+03 1.03E+03 9.22E+02 5.87E+02 4.88E+02 2.52E+02 1.84E+02 7.56E+01 5.51E+01 3.22E+01 1.68E+01 9.19E+00 9.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.446  7.83E+03 1.65E+04 2.02E+05 5.89E+02 5.40E+02 1.65E+03 1.55E+03 2.29E+03 1.81E+03 2.08E+03 1.62E+03 1.50E+03 9.59E+02 7.87E+02 4.69E+02 3.23E+02 1.41E+02 9.06E+01 4.61E+01 3.52E+01 1.23E+01 1.07E+01 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.464  1.37E+04 3.07E+04 3.89E+05 9.85E+02 9.65E+02 2.87E+03 2.80E+03 3.98E+03 3.26E+03 3.76E+03 2.98E+03 2.94E+03 1.98E+03 1.67E+03 1.03E+03 7.08E+02 3.18E+02 2.35E+02 8.32E+01 5.82E+01 2.91E+01 1.53E+01 7.66E+00 4.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.482  2.33E+04 4.63E+04 5.94E+05 1.43E+03 1.42E+03 4.27E+03 4.21E+03 5.96E+03 4.89E+03 5.46E+03 4.42E+03 4.42E+03 3.04E+03 2.62E+03 1.70E+03 1.15E+03 5.88E+02 3.68E+02 1.57E+02 9.04E+01 4.14E+01 2.76E+01 9.19E+00 9.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.498  3.98E+04 8.53E+04 1.12E+06 2.70E+03 2.62E+03 7.81E+03 7.38E+03 1.05E+04 8.60E+03 1.01E+04 8.26E+03 7.96E+03 5.60E+03 4.96E+03 3.44E+03 2.48E+03 1.35E+03 8.38E+02 3.53E+02 2.42E+02 7.98E+01 5.07E+01 1.99E+01 1.68E+01 6.13E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.515  6.63E+04 1.27E+05 1.68E+06 3.92E+03 3.78E+03 1.12E+04 1.05E+04 1.55E+04 1.28E+04 1.48E+04 1.21E+04 1.19E+04 8.49E+03 7.35E+03 5.25E+03 3.94E+03 2.23E+03 1.41E+03 6.50E+02 3.76E+02 1.40E+02 8.28E+01 3.22E+01 1.68E+01 7.66E+00 4.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.531  1.10E+05 2.26E+05 3.06E+06 6.76E+03 6.57E+03 1.95E+04 1.86E+04 2.66E+04 2.18E+04 2.59E+04 2.14E+04 2.15E+04 1.55E+04 1.37E+04 9.76E+03 7.36E+03 4.47E+03 3.08E+03 1.56E+03 8.70E+02 3.21E+02 1.78E+02 6.00E+01 3.68E+01 1.23E+01 9.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.546  1.80E+05 3.31E+05 4.53E+06 9.40E+03 9.34E+03 2.77E+04 2.67E+04 3.90E+04 3.27E+04 3.77E+04 3.08E+04 3.12E+04 2.30E+04 2.04E+04 1.46E+04 1.11E+04 6.86E+03 4.89E+03 2.65E+03 1.52E+03 6.04E+02 3.15E+02 9.52E+01 5.67E+01 2.14E+01 1.53E+01 4.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.561  2.94E+05 5.82E+05 8.10E+06 1.64E+04 1.62E+04 4.80E+04 4.62E+04 6.67E+04 5.53E+04 6.53E+04 5.48E+04 5.55E+04 4.02E+04 3.64E+04 2.68E+04 2.04E+04 1.31E+04 9.31E+03 5.44E+03 3.34E+03 1.51E+03 7.30E+02 2.45E+02 1.01E+02 4.16E+01 1.70E+01 7.66E+00 4.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.576  4.72E+05 8.43E+05 1.19E+07 2.31E+04 2.30E+04 6.77E+04 6.50E+04 9.56E+04 8.08E+04 9.46E+04 7.88E+04 7.96E+04 5.96E+04 5.32E+04 3.92E+04 3.08E+04 1.97E+04 1.42E+04 8.35E+03 5.47E+03 2.65E+03 1.29E+03 4.47E+02 2.02E+02 6.97E+01 3.69E+01 9.19E+00 9.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.604  1.21E+06 2.09E+06 3.01E+07 5.53E+04 5.44E+04 1.62E+05 1.57E+05 2.31E+05 1.96E+05 2.30E+05 1.93E+05 1.97E+05 1.50E+05 1.36E+05 1.01E+05 8.08E+04 5.29E+04 3.97E+04 2.41E+04 1.63E+04 8.73E+03 5.04E+03 2.24E+03 9.11E+02 2.93E+02 1.07E+02 3.52E+01 1.71E+01 6.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.631  3.01E+06 5.11E+06 7.50E+07 1.31E+05 1.29E+05 3.84E+05 3.70E+05 5.47E+05 4.66E+05 5.51E+05 4.67E+05 4.80E+05 3.68E+05 3.37E+05 2.56E+05 2.07E+05 1.39E+05 1.06E+05 6.62E+04 4.61E+04 2.63E+04 1.58E+04 8.07E+03 3.97E+03 1.50E+03 5.19E+02 1.48E+02 6.05E+01 1.55E+01 1.07E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.656  7.35E+06 1.23E+07 1.84E+08 3.04E+05 3.01E+05 8.96E+05 8.66E+05 1.29E+06 1.10E+06 1.30E+06 1.12E+06 1.15E+06 8.91E+05 8.21E+05 6.33E+05 5.17E+05 3.52E+05 2.72E+05 1.76E+05 1.25E+05 7.33E+04 4.63E+04 2.52E+04 1.37E+04 6.36E+03 2.56E+03 8.26E+02 2.71E+02 6.15E+01 2.77E+01 9.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.681  1.77E+07 2.91E+07 4.42E+08 7.01E+05 6.94E+05 2.06E+06 2.00E+06 2.97E+06 2.56E+06 3.03E+06 2.62E+06 2.71E+06 2.12E+06 1.97E+06 1.54E+06 1.27E+06 8.75E+05 6.87E+05 4.54E+05 3.28E+05 2.00E+05 1.29E+05 7.36E+04 4.19E+04 2.11E+04 1.03E+04 4.27E+03 1.50E+03 3.89E+02 1.10E+02 2.87E+01 1.39E+01 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.705  4.19E+07 6.79E+07 1.05E+09 1.59E+06 1.58E+06 4.70E+06 4.56E+06 6.80E+06 5.87E+06 6.98E+06 6.06E+06 6.31E+06 4.97E+06 4.65E+06 3.66E+06 3.04E+06 2.14E+06 1.69E+06 1.14E+06 8.39E+05 5.23E+05 3.47E+05 2.04E+05 1.21E+05 6.50E+04 3.38E+04 1.60E+04 6.90E+03 2.26E+03 7.68E+02 1.95E+02 5.78E+01 1.11E+01 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.728  9.78E+07 1.55E+08 2.44E+09 3.49E+06 3.46E+06 1.03E+07 1.00E+07 1.52E+07 1.32E+07 1.58E+07 1.38E+07 1.44E+07 1.15E+07 1.08E+07 8.56E+06 7.19E+06 5.12E+06 4.10E+06 2.82E+06 2.09E+06 1.34E+06 9.06E+05 5.50E+05 3.36E+05 1.87E+05 1.03E+05 5.27E+04 2.52E+04 1.03E+04 4.02E+03 1.27E+03 4.14E+02 6.60E+01 1.38E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.751  2.25E+08 3.54E+08 5.64E+09 7.77E+06 7.71E+06 2.30E+07 2.24E+07 3.40E+07 2.97E+07 3.56E+07 3.12E+07 3.25E+07 2.61E+07 2.47E+07 1.98E+07 1.68E+07 1.20E+07 9.74E+06 6.80E+06 5.13E+06 3.34E+06 2.30E+06 1.43E+06 8.99E+05 5.20E+05 2.97E+05 1.59E+05 8.09E+04 3.72E+04 1.74E+04 6.73E+03 1.87E+03 3.49E+02 4.59E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.772  5.13E+08 7.99E+08 1.29E+10 1.72E+07 1.70E+07 5.07E+07 4.95E+07 7.52E+07 6.61E+07 7.93E+07 6.99E+07 7.29E+07 5.90E+07 5.61E+07 4.49E+07 3.85E+07 2.80E+07 2.28E+07 1.62E+07 1.23E+07 8.17E+06 5.72E+06 3.64E+06 2.34E+06 1.39E+06 8.20E+05 4.60E+05 2.46E+05 1.21E+05 6.06E+04 2.23E+04 5.84E+03 1.37E+03 1.59E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.793  1.16E+09 1.78E+09 2.92E+10 3.75E+07 3.73E+07 1.11E+08 1.08E+08 1.65E+08 1.45E+08 1.75E+08 1.55E+08 1.62E+08 1.32E+08 1.26E+08 1.02E+08 8.76E+07 6.42E+07 5.27E+07 3.79E+07 2.91E+07 1.96E+07 1.39E+07 9.03E+06 5.94E+06 3.62E+06 2.19E+06 1.28E+06 7.08E+05 3.66E+05 1.63E+05 5.46E+04 1.80E+04 5.39E+03 7.77E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.814  2.59E+09 3.95E+09 6.53E+10 8.14E+07 8.09E+07 2.41E+08 2.35E+08 3.59E+08 3.17E+08 3.83E+08 3.40E+08 3.57E+08 2.91E+08 2.80E+08 2.27E+08 1.97E+08 1.46E+08 1.21E+08 8.74E+07 6.78E+07 4.63E+07 3.34E+07 2.20E+07 1.47E+07 9.18E+06 5.69E+06 3.42E+06 1.96E+06 8.67E+05 3.63E+05 1.26E+05 4.49E+04 1.71E+04 3.05E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.854  1.40E+10 1.88E+10 3.17E+11 3.74E+08 3.72E+08 1.11E+09 1.08E+09 1.66E+09 1.47E+09 1.78E+09 1.59E+09 1.68E+09 1.39E+09 1.34E+09 1.10E+09 9.65E+08 7.25E+08 6.07E+08 4.49E+08 3.54E+08 2.47E+08 1.83E+08 1.24E+08 8.55E+07 5.54E+07 3.12E+07 1.55E+07 7.48E+06 3.40E+06 1.58E+06 6.18E+05 2.56E+05 1.19E+05 2.73E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.892  6.66E+10 8.64E+10 1.47E+12 1.67E+09 1.66E+09 4.95E+09 4.85E+09 7.44E+09 6.63E+09 8.05E+09 7.23E+09 7.68E+09 6.38E+09 6.22E+09 5.15E+09 4.55E+09 3.47E+09 2.94E+09 2.21E+09 1.77E+09 1.26E+09 9.47E+08 6.09E+08 3.44E+08 2.00E+08 1.04E+08 5.36E+07 2.73E+07 1.27E+07 6.46E+06 2.70E+06 1.24E+06 6.95E+05 1.58E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.928  3.01E+11 3.83E+11 6.46E+12 7.43E+09 7.39E+09 2.21E+10 2.16E+10 3.28E+10 2.92E+10 3.55E+10 3.20E+10 3.44E+10 2.87E+10 2.81E+10 2.34E+10 2.08E+10 1.60E+10 1.37E+10 1.01E+10 7.52E+09 4.61E+09 2.99E+09 1.79E+09 1.03E+09 5.94E+08 3.22E+08 1.72E+08 9.25E+07 4.50E+07 2.42E+07 1.05E+07 5.29E+06 3.70E+06 7.31E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.963  1.25E+12 1.52E+12 2.43E+13 3.15E+10 3.13E+10 9.36E+10 9.19E+10 1.39E+11 1.25E+11 1.52E+11 1.37E+11 1.48E+11 1.24E+11 1.19E+11 9.09E+10 7.50E+10 5.16E+10 4.04E+10 2.42E+10 1.87E+10 1.13E+10 7.66E+09 4.43E+09 2.74E+09 1.57E+09 9.22E+08 4.76E+08 2.76E+08 1.38E+08 7.77E+07 3.63E+07 1.96E+07 1.76E+07 2.58E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.997  3.10E+12 2.17E+12 3.30E+13 3.33E+10 3.31E+10 9.89E+10 9.72E+10 2.22E+11 2.69E+11 3.27E+11 2.51E+11 2.02E+11 1.64E+11 1.43E+11 8.23E+10 7.47E+10 5.10E+10 4.57E+10 2.47E+10 2.15E+10 1.20E+10 9.01E+09 4.84E+09 3.24E+09 1.77E+09 1.16E+09 5.49E+08 3.68E+08 1.86E+08 1.20E+08 5.79E+07 3.47E+07 4.31E+07 3.27E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
