                    *********************************************************************************
                    *  Z= 97 A=250: Positive-Parity Spin-dependent Level Density [MeV-1] for BK250  *
   2.25  0.315  6.09E+03 1.76E+04 2.30E+05 5.49E+02 5.18E+02 1.58E+03 1.52E+03 2.10E+03 1.94E+03 2.14E+03 1.66E+03 1.60E+03 1.22E+03 1.02E+03 6.58E+02 4.87E+02 2.59E+02 1.61E+02 7.90E+01 5.13E+01 2.78E+01 2.31E+01 6.17E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.332  1.19E+04 2.93E+04 3.92E+05 8.81E+02 8.41E+02 2.51E+03 2.40E+03 3.38E+03 3.10E+03 3.51E+03 2.72E+03 2.80E+03 2.18E+03 1.73E+03 1.15E+03 8.65E+02 5.46E+02 3.14E+02 1.61E+02 8.36E+01 4.48E+01 3.39E+01 1.54E+01 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.348  2.33E+04 6.13E+04 8.47E+05 1.72E+03 1.69E+03 5.04E+03 4.83E+03 6.78E+03 6.28E+03 7.07E+03 5.67E+03 5.85E+03 4.68E+03 3.87E+03 2.73E+03 2.00E+03 1.31E+03 8.96E+02 4.72E+02 2.36E+02 1.04E+02 5.72E+01 2.95E+01 2.16E+01 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.363  4.35E+04 1.00E+05 1.41E+06 2.71E+03 2.67E+03 7.95E+03 7.66E+03 1.09E+04 1.02E+04 1.16E+04 9.06E+03 9.43E+03 7.59E+03 6.51E+03 4.58E+03 3.59E+03 2.29E+03 1.62E+03 9.02E+02 4.99E+02 2.19E+02 1.09E+02 4.97E+01 3.40E+01 1.55E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.378  8.16E+04 2.05E+05 2.95E+06 5.40E+03 5.36E+03 1.59E+04 1.52E+04 2.13E+04 2.01E+04 2.29E+04 1.86E+04 1.94E+04 1.56E+04 1.34E+04 9.80E+03 7.86E+03 5.44E+03 3.88E+03 2.21E+03 1.38E+03 6.78E+02 3.27E+02 1.29E+02 6.07E+01 3.12E+01 2.16E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.392  1.49E+05 3.32E+05 4.83E+06 8.48E+03 8.42E+03 2.50E+04 2.42E+04 3.45E+04 3.25E+04 3.71E+04 2.96E+04 3.10E+04 2.54E+04 2.20E+04 1.59E+04 1.29E+04 9.28E+03 6.74E+03 4.11E+03 2.45E+03 1.31E+03 7.48E+02 2.85E+02 1.29E+02 5.15E+01 2.95E+01 6.29E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.406  2.74E+05 6.69E+05 9.93E+06 1.65E+04 1.64E+04 4.87E+04 4.72E+04 6.70E+04 6.35E+04 7.30E+04 5.99E+04 6.27E+04 5.15E+04 4.48E+04 3.36E+04 2.72E+04 1.94E+04 1.47E+04 9.37E+03 6.05E+03 3.31E+03 2.04E+03 9.20E+02 4.17E+02 1.63E+02 6.60E+01 2.84E+01 8.10E+00 1.25E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.420  4.89E+05 1.05E+06 1.58E+07 2.53E+04 2.51E+04 7.47E+04 7.26E+04 1.05E+05 9.96E+04 1.15E+05 9.29E+04 9.82E+04 8.14E+04 7.19E+04 5.34E+04 4.38E+04 3.22E+04 2.42E+04 1.58E+04 1.04E+04 6.13E+03 3.74E+03 1.82E+03 9.36E+02 3.79E+02 1.47E+02 6.63E+01 3.29E+01 3.58E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.432  8.80E+05 2.07E+06 3.16E+07 4.94E+04 4.90E+04 1.46E+05 1.42E+05 2.01E+05 1.91E+05 2.16E+05 1.81E+05 1.92E+05 1.60E+05 1.42E+05 1.08E+05 8.96E+04 6.64E+04 5.14E+04 3.34E+04 2.26E+04 1.40E+04 9.23E+03 4.68E+03 2.66E+03 1.21E+03 5.13E+02 1.92E+02 9.16E+01 3.54E+01 6.97E+00 1.79E+00 2.49E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.445  1.55E+06 3.25E+06 5.01E+07 7.54E+04 7.46E+04 2.23E+05 2.17E+05 3.14E+05 3.00E+05 3.46E+05 2.82E+05 2.96E+05 2.50E+05 2.23E+05 1.69E+05 1.42E+05 1.07E+05 8.25E+04 5.58E+04 3.76E+04 2.35E+04 1.60E+04 8.73E+03 4.96E+03 2.48E+03 1.14E+03 4.40E+02 1.84E+02 7.06E+01 2.31E+01 6.81E+00 4.88E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.457  2.74E+06 6.28E+06 9.82E+07 1.43E+05 1.42E+05 4.24E+05 4.14E+05 5.90E+05 5.64E+05 6.43E+05 5.42E+05 5.79E+05 4.87E+05 4.33E+05 3.34E+05 2.82E+05 2.13E+05 1.68E+05 1.13E+05 7.96E+04 5.08E+04 3.50E+04 2.01E+04 1.23E+04 6.46E+03 3.35E+03 1.51E+03 6.37E+02 2.67E+02 1.05E+02 4.09E+01 1.49E+01 6.54E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.469  4.74E+06 9.75E+06 1.54E+08 2.18E+05 2.16E+05 6.43E+05 6.27E+05 9.11E+05 8.73E+05 1.01E+06 8.36E+05 8.83E+05 7.50E+05 6.78E+05 5.21E+05 4.41E+05 3.39E+05 2.67E+05 1.84E+05 1.29E+05 8.37E+04 5.87E+04 3.42E+04 2.16E+04 1.21E+04 6.42E+03 3.18E+03 1.45E+03 6.14E+02 2.66E+02 1.05E+02 3.54E+01 2.15E+01 4.63E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.492  1.44E+07 2.87E+07 4.62E+08 6.20E+05 6.15E+05 1.83E+06 1.79E+06 2.61E+06 2.51E+06 2.92E+06 2.43E+06 2.58E+06 2.20E+06 2.01E+06 1.56E+06 1.34E+06 1.04E+06 8.32E+05 5.87E+05 4.21E+05 2.83E+05 2.04E+05 1.24E+05 8.16E+04 4.91E+04 2.84E+04 1.58E+04 8.55E+03 4.11E+03 1.88E+03 8.98E+02 4.00E+02 1.69E+02 5.24E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.514  4.23E+07 8.30E+07 1.36E+09 1.74E+06 1.73E+06 5.15E+06 5.04E+06 7.36E+06 7.09E+06 8.29E+06 6.93E+06 7.39E+06 6.36E+06 5.83E+06 4.59E+06 3.97E+06 3.13E+06 2.53E+06 1.82E+06 1.32E+06 9.11E+05 6.74E+05 4.26E+05 2.89E+05 1.81E+05 1.11E+05 6.69E+04 3.90E+04 2.08E+04 1.10E+04 5.52E+03 2.74E+03 1.38E+03 4.92E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.535  1.22E+08 2.36E+08 3.95E+09 4.80E+06 4.78E+06 1.42E+07 1.40E+07 2.04E+07 1.97E+07 2.31E+07 1.94E+07 2.10E+07 1.81E+07 1.67E+07 1.33E+07 1.15E+07 9.20E+06 7.54E+06 5.49E+06 4.05E+06 2.84E+06 2.14E+06 1.39E+06 9.73E+05 6.33E+05 4.03E+05 2.54E+05 1.57E+05 9.03E+04 5.09E+04 2.81E+04 1.52E+04 8.27E+03 3.48E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.555  3.47E+08 6.61E+08 1.12E+10 1.31E+07 1.30E+07 3.88E+07 3.81E+07 5.59E+07 5.40E+07 6.36E+07 5.36E+07 5.83E+07 5.05E+07 4.69E+07 3.74E+07 3.29E+07 2.65E+07 2.19E+07 1.62E+07 1.21E+07 8.63E+06 6.61E+06 4.38E+06 3.13E+06 2.10E+06 1.38E+06 9.00E+05 5.77E+05 3.48E+05 2.09E+05 1.22E+05 7.05E+04 4.09E+04 1.88E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.574  9.68E+08 1.82E+09 3.14E+10 3.52E+07 3.50E+07 1.05E+08 1.03E+08 1.51E+08 1.46E+08 1.73E+08 1.46E+08 1.59E+08 1.39E+08 1.30E+08 1.04E+08 9.20E+07 7.48E+07 6.26E+07 4.67E+07 3.52E+07 2.55E+07 1.99E+07 1.34E+07 9.77E+06 6.71E+06 4.54E+06 3.03E+06 2.01E+06 1.26E+06 7.82E+05 4.79E+05 2.90E+05 1.76E+05 8.68E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.593  2.65E+09 4.92E+09 8.63E+10 9.11E+07 9.06E+07 2.71E+08 2.66E+08 3.98E+08 3.86E+08 4.60E+08 3.91E+08 4.28E+08 3.74E+08 3.51E+08 2.84E+08 2.53E+08 2.07E+08 1.74E+08 1.32E+08 1.01E+08 7.41E+07 5.83E+07 4.01E+07 2.96E+07 2.08E+07 1.43E+07 9.83E+06 6.65E+06 4.30E+06 2.76E+06 1.74E+06 1.10E+06 6.92E+05 3.59E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.612  7.19E+09 1.32E+10 2.35E+11 2.40E+08 2.38E+08 7.12E+08 7.00E+08 1.05E+09 1.02E+09 1.22E+09 1.04E+09 1.14E+09 9.94E+08 9.42E+08 7.65E+08 6.85E+08 5.65E+08 4.79E+08 3.67E+08 2.81E+08 2.10E+08 1.67E+08 1.17E+08 8.76E+07 6.25E+07 4.39E+07 3.07E+07 2.13E+07 1.41E+07 9.21E+06 5.98E+06 3.87E+06 2.51E+06 1.35E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.629  1.93E+10 3.51E+10 6.32E+11 6.24E+08 6.21E+08 1.85E+09 1.83E+09 2.74E+09 2.67E+09 3.19E+09 2.73E+09 3.01E+09 2.63E+09 2.51E+09 2.04E+09 1.83E+09 1.52E+09 1.30E+09 1.00E+09 7.76E+08 5.84E+08 4.70E+08 3.33E+08 2.53E+08 1.84E+08 1.31E+08 9.32E+07 6.57E+07 4.46E+07 2.97E+07 1.97E+07 1.31E+07 8.67E+06 3.95E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.647  5.11E+10 9.23E+10 1.68E+12 1.61E+09 1.60E+09 4.78E+09 4.71E+09 7.08E+09 6.90E+09 8.28E+09 7.09E+09 7.85E+09 6.88E+09 6.58E+09 5.39E+09 4.85E+09 4.06E+09 3.49E+09 2.71E+09 2.11E+09 1.60E+09 1.30E+09 9.32E+08 7.17E+08 5.27E+08 3.83E+08 2.75E+08 1.97E+08 1.36E+08 9.27E+07 6.27E+07 4.23E+07 1.96E+07 7.18E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.663  1.34E+11 2.40E+11 4.42E+12 4.10E+09 4.09E+09 1.22E+10 1.20E+10 1.81E+10 1.77E+10 2.13E+10 1.83E+10 2.03E+10 1.78E+10 1.71E+10 1.40E+10 1.27E+10 1.07E+10 9.24E+09 7.22E+09 5.66E+09 4.33E+09 3.56E+09 2.57E+09 2.00E+09 1.49E+09 1.09E+09 7.96E+08 5.79E+08 4.07E+08 2.81E+08 1.74E+08 7.95E+07 3.46E+07 1.24E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.696  1.04E+12 1.57E+12 2.94E+13 2.61E+10 2.60E+10 7.76E+10 7.65E+10 1.16E+11 1.13E+11 1.36E+11 1.18E+11 1.31E+11 1.16E+11 1.12E+11 9.27E+10 8.45E+10 7.17E+10 6.26E+10 4.95E+10 3.93E+10 3.05E+10 2.54E+10 1.87E+10 1.48E+10 1.12E+10 8.41E+09 6.28E+09 4.32E+09 2.30E+09 1.14E+09 5.46E+08 2.42E+08 1.30E+08 4.16E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.727  4.23E+12 4.80E+12 1.22E+14 9.61E+09 9.34E+09 3.04E+10 3.38E+10 7.58E+10 7.73E+10 1.69E+11 2.10E+11 3.18E+11 3.36E+11 4.60E+11 4.53E+11 4.58E+11 4.19E+11 3.83E+11 3.25E+11 2.61E+11 2.05E+11 1.73E+11 1.29E+11 1.03E+11 7.05E+10 4.53E+10 2.28E+10 1.19E+10 6.72E+09 3.19E+09 1.66E+09 7.90E+08 5.29E+08 1.23E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.756  8.26E+12 3.27E+12 1.13E+14 3.63E+09 5.18E+09 1.21E+10 1.18E+10 1.08E+10 1.59E+10 3.71E+10 3.07E+10 3.82E+10 5.87E+10 6.52E+10 5.06E+10 6.18E+10 2.68E+10 1.90E+11 2.80E+11 4.10E+11 4.11E+11 3.81E+11 4.09E+11 3.15E+11 1.93E+11 1.21E+11 6.24E+10 3.26E+10 1.80E+10 9.79E+09 5.23E+09 2.77E+09 2.77E+09 4.02E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.785  1.10E+13 2.20E+12 8.99E+13 7.86E+08 1.76E+09 9.80E+07 5.60E+08 5.33E+09 1.13E+10 1.40E+10 9.21E+09 1.35E+10 9.90E+09 2.33E+10 1.97E+10 1.33E+10 1.41E+10 1.14E+10 5.86E+10 5.29E+10 5.50E+10 9.80E+10 2.41E+11 4.54E+11 4.50E+11 3.06E+11 1.48E+11 8.85E+10 4.71E+10 2.60E+10 1.54E+10 8.67E+09 3.42E+09 1.26E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.812  1.27E+13 1.11E+12 4.63E+13 3.19E+09 1.37E+10 1.36E+10 1.56E+10 1.11E+10 1.01E+10 1.94E+10 8.80E+08 8.72E+09 5.47E+09 1.61E+09 5.22E+09 5.19E+06 1.01E+10 1.64E+10 5.34E+09 7.24E+09 5.20E+09 3.14E+10 5.73E+10 2.17E+10 6.59E+10 4.01E+11 1.57E+11 1.09E+11 5.45E+10 2.90E+10 1.51E+10 9.44E+09 3.28E+09 1.78E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
