                    *********************************************************************************
                    *  Z= 98 A=250: Positive-Parity Spin-dependent Level Density [MeV-1] for CF250  *
   2.25  0.315  2.09E+02 5.62E+02 6.59E+03 2.03E+01 2.24E+01 6.41E+01 5.90E+01 7.62E+01 5.12E+01 7.18E+01 5.89E+01 5.46E+01 3.40E+01 2.64E+01 1.39E+01 4.88E+00 1.54E+00 1.54E+00 0.00E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.332  3.96E+02 9.33E+02 1.12E+04 2.82E+01 3.31E+01 9.19E+01 9.78E+01 1.31E+02 1.09E+02 1.15E+02 8.22E+01 9.17E+01 5.75E+01 4.49E+01 2.32E+01 1.88E+01 4.63E+00 1.67E+00 1.54E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.348  7.60E+02 1.98E+03 2.54E+04 5.81E+01 5.78E+01 1.72E+02 1.81E+02 2.50E+02 2.13E+02 2.38E+02 2.04E+02 2.03E+02 1.27E+02 1.12E+02 6.58E+01 4.97E+01 2.58E+01 1.26E+01 3.12E+00 3.33E+00 0.00E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.363  1.40E+03 3.15E+03 4.11E+04 1.12E+02 8.95E+01 2.73E+02 2.51E+02 3.90E+02 3.26E+02 3.77E+02 3.19E+02 3.09E+02 2.34E+02 1.70E+02 1.22E+02 8.11E+01 4.62E+01 3.27E+01 8.77E+00 5.00E+00 1.54E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.378  2.62E+03 6.59E+03 8.69E+04 2.27E+02 2.20E+02 6.16E+02 5.69E+02 8.01E+02 6.26E+02 7.20E+02 5.83E+02 6.12E+02 4.72E+02 4.01E+02 2.85E+02 1.98E+02 1.14E+02 7.16E+01 4.32E+01 2.11E+01 5.65E+00 1.54E+00 0.00E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.392  4.76E+03 1.06E+04 1.42E+05 3.19E+02 3.30E+02 9.26E+02 8.89E+02 1.32E+03 1.08E+03 1.19E+03 9.57E+02 9.30E+02 7.16E+02 6.32E+02 4.60E+02 3.49E+02 1.96E+02 1.37E+02 7.59E+01 4.91E+01 1.36E+01 5.65E+00 0.00E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.406  8.81E+03 2.18E+04 2.95E+05 6.76E+02 6.41E+02 1.91E+03 1.83E+03 2.60E+03 2.15E+03 2.42E+03 2.03E+03 2.03E+03 1.45E+03 1.26E+03 9.43E+02 7.08E+02 4.75E+02 3.16E+02 1.74E+02 9.72E+01 5.12E+01 1.91E+01 5.40E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.420  1.59E+04 3.50E+04 4.79E+05 1.08E+03 9.99E+02 3.00E+03 2.88E+03 4.17E+03 3.39E+03 3.87E+03 3.28E+03 3.22E+03 2.37E+03 2.10E+03 1.48E+03 1.17E+03 7.66E+02 5.57E+02 3.14E+02 1.97E+02 8.59E+01 3.73E+01 1.44E+01 3.09E+00 0.00E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.432  2.91E+04 7.09E+04 9.80E+05 2.13E+03 2.03E+03 6.03E+03 5.79E+03 8.24E+03 6.80E+03 7.85E+03 6.64E+03 6.48E+03 4.88E+03 4.30E+03 3.12E+03 2.32E+03 1.55E+03 1.17E+03 7.11E+02 4.49E+02 2.35E+02 1.17E+02 4.51E+01 1.37E+01 3.33E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.445  5.23E+04 1.14E+05 1.59E+06 3.27E+03 3.19E+03 9.52E+03 9.20E+03 1.33E+04 1.09E+04 1.25E+04 1.07E+04 1.05E+04 7.81E+03 7.00E+03 5.04E+03 3.92E+03 2.55E+03 1.88E+03 1.22E+03 8.24E+02 4.18E+02 2.14E+02 1.04E+02 4.78E+01 8.86E+00 1.91E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.457  9.50E+04 2.28E+05 3.23E+06 6.28E+03 6.22E+03 1.84E+04 1.79E+04 2.55E+04 2.13E+04 2.49E+04 2.13E+04 2.12E+04 1.60E+04 1.41E+04 1.03E+04 8.00E+03 5.51E+03 4.04E+03 2.63E+03 1.82E+03 1.05E+03 5.74E+02 2.95E+02 1.51E+02 6.24E+01 2.30E+01 1.91E+00 1.79E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.469  1.68E+05 3.60E+05 5.17E+06 9.87E+03 9.39E+03 2.84E+04 2.75E+04 4.03E+04 3.39E+04 3.88E+04 3.32E+04 3.34E+04 2.53E+04 2.27E+04 1.66E+04 1.30E+04 8.95E+03 6.81E+03 4.45E+03 3.06E+03 1.82E+03 1.07E+03 6.04E+02 2.93E+02 1.46E+02 5.03E+01 1.53E+01 5.86E+00 2.65E-01 2.45E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.492  5.38E+05 1.12E+06 1.64E+07 2.92E+04 2.87E+04 8.55E+04 8.32E+04 1.22E+05 1.03E+05 1.19E+05 1.02E+05 1.02E+05 7.91E+04 7.10E+04 5.37E+04 4.27E+04 2.98E+04 2.31E+04 1.57E+04 1.14E+04 6.98E+03 4.44E+03 2.75E+03 1.54E+03 7.96E+02 4.37E+02 1.98E+02 6.00E+01 2.65E+01 8.82E+00 2.62E+00 3.46E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.514  1.67E+06 3.42E+06 5.13E+07 8.66E+04 8.52E+04 2.55E+05 2.50E+05 3.63E+05 3.08E+05 3.57E+05 3.08E+05 3.10E+05 2.42E+05 2.19E+05 1.67E+05 1.35E+05 9.62E+04 7.53E+04 5.31E+04 3.90E+04 2.51E+04 1.67E+04 1.08E+04 6.63E+03 3.89E+03 2.23E+03 1.14E+03 5.14E+02 2.16E+02 1.17E+02 5.39E+01 2.13E+01 1.62E+01 5.40E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.535  5.11E+06 1.03E+07 1.58E+08 2.54E+05 2.51E+05 7.51E+05 7.34E+05 1.07E+06 9.14E+05 1.06E+06 9.28E+05 9.34E+05 7.34E+05 6.67E+05 5.14E+05 4.19E+05 3.02E+05 2.40E+05 1.73E+05 1.29E+05 8.70E+04 5.99E+04 4.03E+04 2.57E+04 1.58E+04 9.80E+03 5.71E+03 2.88E+03 1.38E+03 7.25E+02 3.74E+02 1.81E+02 8.97E+01 4.79E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.555  1.54E+07 3.06E+07 4.77E+08 7.33E+05 7.25E+05 2.17E+06 2.13E+06 3.11E+06 2.66E+06 3.09E+06 2.72E+06 2.75E+06 2.18E+06 2.00E+06 1.56E+06 1.28E+06 9.32E+05 7.54E+05 5.49E+05 4.18E+05 2.89E+05 2.04E+05 1.42E+05 9.42E+04 6.07E+04 3.91E+04 2.47E+04 1.35E+04 7.06E+03 4.12E+03 2.17E+03 1.16E+03 6.49E+02 2.83E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.574  4.54E+07 8.97E+07 1.42E+09 2.09E+06 2.07E+06 6.20E+06 6.08E+06 8.91E+06 7.67E+06 8.91E+06 7.88E+06 8.00E+06 6.39E+06 5.89E+06 4.64E+06 3.84E+06 2.83E+06 2.31E+06 1.71E+06 1.32E+06 9.28E+05 6.71E+05 4.77E+05 3.27E+05 2.20E+05 1.47E+05 9.65E+04 5.63E+04 3.19E+04 1.97E+04 1.14E+04 6.10E+03 3.63E+03 8.92E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.593  1.32E+08 2.57E+08 4.15E+09 5.74E+06 5.71E+06 1.70E+07 1.68E+07 2.50E+07 2.17E+07 2.53E+07 2.24E+07 2.28E+07 1.83E+07 1.70E+07 1.35E+07 1.13E+07 8.42E+06 6.93E+06 5.19E+06 4.07E+06 2.90E+06 2.14E+06 1.56E+06 1.09E+06 7.52E+05 5.21E+05 3.54E+05 2.16E+05 1.28E+05 8.34E+04 5.06E+04 2.95E+04 1.08E+04 1.76E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.612  3.80E+08 7.33E+08 1.20E+10 1.61E+07 1.60E+07 4.77E+07 4.70E+07 7.00E+07 6.10E+07 7.13E+07 6.34E+07 6.44E+07 5.22E+07 4.86E+07 3.88E+07 3.28E+07 2.46E+07 2.04E+07 1.54E+07 1.23E+07 8.90E+06 6.66E+06 4.93E+06 3.52E+06 2.47E+06 1.75E+06 1.23E+06 7.69E+05 4.80E+05 3.24E+05 2.05E+05 7.60E+04 2.53E+04 3.79E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.629  1.08E+09 2.07E+09 3.44E+10 4.45E+07 4.43E+07 1.32E+08 1.30E+08 1.95E+08 1.70E+08 1.99E+08 1.78E+08 1.81E+08 1.47E+08 1.38E+08 1.10E+08 9.40E+07 7.10E+07 5.93E+07 4.53E+07 3.64E+07 2.68E+07 2.03E+07 1.52E+07 1.11E+07 7.90E+06 5.72E+06 4.10E+06 2.64E+06 1.69E+06 1.18E+06 5.03E+05 1.51E+05 5.62E+04 6.92E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.647  3.05E+09 5.79E+09 9.72E+10 1.22E+08 1.21E+08 3.63E+08 3.58E+08 5.35E+08 4.68E+08 5.50E+08 4.93E+08 5.03E+08 4.11E+08 3.86E+08 3.11E+08 2.66E+08 2.02E+08 1.70E+08 1.31E+08 1.06E+08 7.91E+07 6.07E+07 4.60E+07 3.40E+07 2.47E+07 1.81E+07 1.33E+07 8.77E+06 5.76E+06 2.54E+06 7.94E+05 2.83E+05 1.50E+05 1.47E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.663  8.50E+09 1.60E+10 2.72E+11 3.32E+08 3.30E+08 9.88E+08 9.74E+08 1.46E+09 1.28E+09 1.51E+09 1.35E+09 1.38E+09 1.14E+09 1.07E+09 8.66E+08 7.46E+08 5.71E+08 4.83E+08 3.75E+08 3.06E+08 2.30E+08 1.78E+08 1.37E+08 1.02E+08 7.52E+07 5.61E+07 4.17E+07 2.81E+07 1.19E+07 3.79E+06 1.51E+06 5.09E+05 3.98E+05 2.48E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.696  7.58E+10 1.19E+11 2.03E+12 2.39E+09 2.38E+09 7.12E+09 7.03E+09 1.06E+10 9.29E+09 1.10E+10 9.90E+09 1.02E+10 8.42E+09 7.99E+09 6.52E+09 5.67E+09 4.38E+09 3.75E+09 2.95E+09 2.44E+09 1.86E+09 1.47E+09 1.15E+09 8.77E+08 6.60E+08 3.65E+08 1.57E+08 6.59E+07 2.84E+07 1.08E+07 4.76E+06 2.41E+06 3.41E+06 8.02E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.727  5.55E+11 8.39E+11 1.43E+13 1.67E+10 1.66E+10 4.98E+10 4.92E+10 7.40E+10 6.53E+10 7.74E+10 7.01E+10 7.24E+10 6.02E+10 5.75E+10 4.73E+10 4.14E+10 3.23E+10 2.79E+10 2.22E+10 1.86E+10 1.44E+10 1.15E+10 7.14E+09 3.43E+09 1.95E+09 8.19E+08 3.74E+08 1.67E+08 8.32E+07 3.99E+07 2.34E+07 1.56E+07 3.00E+07 2.61E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.756  3.81E+12 5.67E+12 9.33E+13 1.17E+11 1.16E+11 3.47E+11 3.44E+11 5.09E+11 4.49E+11 5.33E+11 4.84E+11 5.06E+11 4.21E+11 4.04E+11 3.34E+11 2.92E+11 2.31E+11 2.01E+11 1.51E+11 1.07E+11 5.89E+10 3.26E+10 1.63E+10 8.30E+09 4.50E+09 2.17E+09 1.01E+09 5.51E+08 3.11E+08 1.98E+08 1.47E+08 1.18E+08 2.61E+08 8.42E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.785  9.14E+12 4.99E+12 1.20E+14 3.79E+10 4.04E+10 1.18E+11 1.21E+11 1.37E+11 1.07E+11 1.22E+11 7.58E+10 1.10E+11 1.24E+11 4.19E+11 5.48E+11 6.70E+11 8.07E+11 6.58E+11 3.60E+11 2.44E+11 1.32E+11 7.52E+10 3.64E+10 2.06E+10 1.07E+10 6.08E+09 3.53E+09 2.28E+09 1.55E+09 1.20E+09 1.01E+09 8.91E+08 2.08E+09 2.66E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.812  1.27E+13 2.20E+12 6.41E+13 2.23E+09 1.07E+10 9.44E+09 9.67E+09 2.02E+09 2.64E+10 4.12E+10 2.49E+10 6.59E+10 2.81E+10 7.23E+10 1.53E+11 1.14E+10 7.31E+10 6.44E+11 3.81E+11 2.95E+11 1.42E+11 9.34E+10 3.99E+10 2.72E+10 1.48E+10 9.71E+09 4.55E+09 4.53E+09 4.01E+09 2.42E+09 1.80E+09 1.39E+09 7.85E+09 3.97E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
