                    *********************************************************************************
                    *  Z= 78 A=193: Positive-Parity Spin-dependent Level Density [MeV-1] for PT193  *
   2.25  0.358  2.03E+02 4.74E+02 4.44E+03 4.05E+01 6.79E+01 6.47E+01 6.71E+01 6.69E+01 6.39E+01 3.98E+01 3.08E+01 1.53E+01 5.26E+00 3.51E+00 3.51E+00 1.31E+00 1.75E+00 1.75E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.377  3.59E+02 7.72E+02 7.17E+03 7.50E+01 1.08E+02 1.05E+02 1.14E+02 1.11E+02 9.02E+01 5.82E+01 4.67E+01 3.22E+01 1.40E+01 5.26E+00 3.94E+00 3.51E+00 1.75E+00 1.75E+00 8.76E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.396  6.26E+02 1.36E+03 1.36E+04 8.54E+01 1.49E+02 2.13E+02 1.84E+02 1.96E+02 1.74E+02 1.35E+02 8.42E+01 6.70E+01 3.67E+01 1.93E+01 5.70E+00 3.51E+00 3.51E+00 2.19E+00 1.75E+00 8.76E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.414  1.03E+03 1.89E+03 1.99E+04 9.46E+01 1.87E+02 2.80E+02 2.66E+02 2.56E+02 2.34E+02 2.11E+02 1.44E+02 9.09E+01 6.58E+01 3.67E+01 1.53E+01 4.38E+00 3.51E+00 2.63E+00 1.31E+00 1.75E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.430  1.66E+03 3.09E+03 3.37E+04 1.72E+02 2.87E+02 4.15E+02 4.00E+02 3.96E+02 3.62E+02 3.45E+02 2.56E+02 1.93E+02 1.17E+02 7.55E+01 4.02E+01 1.67E+01 5.26E+00 3.51E+00 2.19E+00 1.75E+00 1.31E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.447  2.60E+03 4.50E+03 4.86E+04 3.12E+02 4.54E+02 5.65E+02 6.00E+02 5.91E+02 4.96E+02 4.38E+02 3.59E+02 2.63E+02 1.88E+02 1.15E+02 6.39E+01 3.33E+01 1.40E+01 4.38E+00 3.51E+00 1.75E+00 1.75E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.462  4.19E+03 8.16E+03 8.69E+04 5.51E+02 8.79E+02 1.09E+03 1.11E+03 1.09E+03 9.09E+02 7.37E+02 5.66E+02 4.43E+02 3.10E+02 2.24E+02 1.25E+02 6.99E+01 3.59E+01 1.23E+01 3.94E+00 3.51E+00 1.31E+00 1.75E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.477  6.76E+03 1.24E+04 1.31E+05 8.04E+02 1.35E+03 1.73E+03 1.72E+03 1.75E+03 1.36E+03 1.08E+03 8.42E+02 6.19E+02 4.38E+02 3.13E+02 2.03E+02 1.11E+02 6.09E+01 2.37E+01 5.70E+00 3.51E+00 2.19E+00 1.75E+00 8.76E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.492  1.13E+04 2.37E+04 2.49E+05 1.25E+03 2.53E+03 3.52E+03 3.41E+03 3.29E+03 2.82E+03 2.19E+03 1.52E+03 1.12E+03 7.55E+02 4.99E+02 3.40E+02 2.23E+02 1.14E+02 5.43E+01 2.02E+01 5.26E+00 3.51E+00 1.75E+00 1.75E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.506  1.87E+04 3.59E+04 3.83E+05 1.71E+03 3.56E+03 5.11E+03 5.24E+03 5.19E+03 4.43E+03 3.54E+03 2.46E+03 1.70E+03 1.12E+03 7.45E+02 4.56E+02 3.02E+02 1.92E+02 8.81E+01 3.90E+01 1.40E+01 3.51E+00 2.63E+00 1.75E+00 8.76E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.520  3.13E+04 6.45E+04 7.06E+05 3.06E+03 5.88E+03 8.41E+03 8.89E+03 9.11E+03 8.29E+03 7.03E+03 5.00E+03 3.38E+03 2.17E+03 1.37E+03 8.07E+02 5.03E+02 3.22E+02 1.83E+02 7.54E+01 3.59E+01 6.57E+00 3.51E+00 2.19E+00 1.75E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.534  5.10E+04 9.35E+04 1.04E+06 4.35E+03 8.17E+03 1.13E+04 1.25E+04 1.32E+04 1.19E+04 1.02E+04 7.87E+03 5.50E+03 3.38E+03 2.21E+03 1.21E+03 7.27E+02 4.51E+02 2.59E+02 1.24E+02 6.09E+01 1.93E+01 3.51E+00 3.51E+00 1.31E+00 1.31E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.560  1.31E+05 2.27E+05 2.64E+06 1.01E+04 1.89E+04 2.62E+04 2.84E+04 3.02E+04 2.79E+04 2.44E+04 2.00E+04 1.54E+04 1.05E+04 6.96E+03 3.84E+03 2.18E+03 1.16E+03 5.99E+02 3.54E+02 1.90E+02 7.27E+01 2.76E+01 5.26E+00 3.51E+00 1.31E+00 1.31E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.585  3.27E+05 5.56E+05 6.55E+06 2.33E+04 4.60E+04 6.52E+04 6.95E+04 7.19E+04 6.60E+04 5.80E+04 4.74E+04 3.68E+04 2.67E+04 1.91E+04 1.17E+04 7.00E+03 3.65E+03 1.71E+03 8.53E+02 4.62E+02 2.25E+02 9.06E+01 3.59E+01 5.70E+00 3.51E+00 1.31E+00 1.31E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.609  8.16E+05 1.40E+06 1.66E+07 5.97E+04 1.14E+05 1.61E+05 1.75E+05 1.84E+05 1.69E+05 1.47E+05 1.18E+05 9.06E+04 6.48E+04 4.66E+04 3.02E+04 1.94E+04 1.14E+04 5.74E+03 2.60E+03 1.19E+03 5.52E+02 2.73E+02 1.15E+02 3.90E+01 6.57E+00 3.51E+00 1.31E+00 8.76E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.632  2.04E+06 3.49E+06 4.20E+07 1.41E+05 2.72E+05 3.87E+05 4.28E+05 4.55E+05 4.23E+05 3.76E+05 3.06E+05 2.36E+05 1.67E+05 1.17E+05 7.51E+04 4.87E+04 2.99E+04 1.67E+04 8.51E+03 3.83E+03 1.53E+03 6.77E+02 3.26E+02 1.26E+02 4.47E+01 6.57E+00 3.51E+00 1.31E+00 8.76E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.654  5.02E+06 8.43E+06 1.04E+08 3.21E+05 6.26E+05 8.95E+05 9.95E+05 1.07E+06 1.01E+06 9.19E+05 7.65E+05 6.00E+05 4.35E+05 3.10E+05 1.97E+05 1.25E+05 7.58E+04 4.31E+04 2.37E+04 1.22E+04 5.08E+03 1.98E+03 8.38E+02 3.66E+02 1.51E+02 4.47E+01 6.57E+00 3.51E+00 1.31E+00 4.38E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.675  1.21E+07 1.97E+07 2.48E+08 7.22E+05 1.40E+06 2.00E+06 2.27E+06 2.46E+06 2.33E+06 2.14E+06 1.81E+06 1.45E+06 1.09E+06 7.93E+05 5.19E+05 3.33E+05 2.01E+05 1.13E+05 6.13E+04 3.26E+04 1.57E+04 6.74E+03 2.54E+03 9.13E+02 4.05E+02 1.56E+02 4.47E+01 6.57E+00 3.51E+00 1.75E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.696  2.86E+07 4.66E+07 5.93E+08 1.66E+06 3.23E+06 4.64E+06 5.29E+06 5.74E+06 5.46E+06 5.00E+06 4.24E+06 3.43E+06 2.60E+06 1.93E+06 1.31E+06 8.67E+05 5.36E+05 3.04E+05 1.64E+05 8.54E+04 4.20E+04 2.02E+04 8.52E+03 2.90E+03 1.07E+03 4.16E+02 1.61E+02 4.34E+01 5.26E+00 3.07E+00 1.75E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.716  6.77E+07 1.10E+08 1.41E+09 3.81E+06 7.44E+06 1.07E+07 1.23E+07 1.34E+07 1.28E+07 1.19E+07 1.01E+07 8.16E+06 6.16E+06 4.62E+06 3.17E+06 2.15E+06 1.37E+06 8.08E+05 4.47E+05 2.34E+05 1.13E+05 5.46E+04 2.48E+04 9.90E+03 3.47E+03 1.15E+03 4.34E+02 1.51E+02 3.98E+01 3.94E+00 2.63E+00 1.75E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.736  1.59E+08 2.56E+08 3.34E+09 8.64E+06 1.69E+07 2.44E+07 2.80E+07 3.08E+07 2.97E+07 2.77E+07 2.38E+07 1.94E+07 1.48E+07 1.11E+07 7.65E+06 5.22E+06 3.40E+06 2.06E+06 1.18E+06 6.36E+05 3.15E+05 1.51E+05 6.71E+04 2.92E+04 1.18E+04 3.83E+03 1.23E+03 4.43E+02 1.42E+02 3.23E+01 5.61E+00 1.31E+00 1.31E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.755  3.71E+08 5.90E+08 7.79E+09 1.93E+07 3.78E+07 5.47E+07 6.32E+07 6.96E+07 6.77E+07 6.36E+07 5.51E+07 4.56E+07 3.52E+07 2.67E+07 1.86E+07 1.28E+07 8.29E+06 5.10E+06 3.01E+06 1.67E+06 8.62E+05 4.23E+05 1.88E+05 8.14E+04 3.50E+04 1.32E+04 4.18E+03 1.30E+03 4.49E+02 1.27E+02 2.87E+01 4.73E+00 1.31E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.792  2.19E+09 3.05E+09 4.13E+10 9.54E+07 1.87E+08 2.72E+08 3.16E+08 3.50E+08 3.43E+08 3.26E+08 2.86E+08 2.40E+08 1.89E+08 1.46E+08 1.05E+08 7.40E+07 4.95E+07 3.13E+07 1.88E+07 1.07E+07 5.84E+06 3.09E+06 1.47E+06 6.72E+05 2.91E+05 1.18E+05 4.62E+04 1.66E+04 4.93E+03 1.48E+03 4.83E+02 1.23E+02 1.10E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.827  1.14E+10 1.54E+10 2.13E+11 4.61E+08 9.05E+08 1.32E+09 1.54E+09 1.72E+09 1.70E+09 1.63E+09 1.45E+09 1.23E+09 9.80E+08 7.70E+08 5.63E+08 4.04E+08 2.77E+08 1.81E+08 1.13E+08 6.67E+07 3.78E+07 2.06E+07 1.02E+07 5.09E+06 2.40E+06 1.05E+06 4.31E+05 1.71E+05 6.32E+04 2.16E+04 6.81E+03 2.38E+03 2.68E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.861  5.72E+10 7.61E+10 1.07E+12 2.22E+09 4.38E+09 6.40E+09 7.38E+09 8.27E+09 8.22E+09 7.97E+09 7.13E+09 6.13E+09 4.93E+09 3.94E+09 2.94E+09 2.15E+09 1.50E+09 1.00E+09 6.46E+08 3.92E+08 2.32E+08 1.33E+08 6.85E+07 3.57E+07 1.77E+07 8.46E+06 3.82E+06 1.66E+06 6.62E+05 2.62E+05 1.00E+05 4.16E+04 3.84E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.893  2.77E+11 3.64E+11 5.24E+12 1.03E+10 2.02E+10 2.96E+10 3.43E+10 3.86E+10 3.86E+10 3.76E+10 3.40E+10 2.95E+10 2.42E+10 1.95E+10 1.48E+10 1.10E+10 7.80E+09 5.34E+09 3.54E+09 2.20E+09 1.34E+09 7.97E+08 4.28E+08 2.36E+08 1.23E+08 6.21E+07 2.99E+07 1.42E+07 6.20E+06 2.70E+06 1.14E+06 5.64E+05 6.10E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.925  9.47E+11 9.75E+11 1.43E+13 2.61E+10 5.14E+10 7.54E+10 9.08E+10 1.02E+11 1.03E+11 1.00E+11 9.12E+10 7.95E+10 6.56E+10 5.36E+10 4.09E+10 3.10E+10 2.23E+10 1.55E+10 1.04E+10 6.63E+09 4.12E+09 2.51E+09 1.39E+09 7.81E+08 4.23E+08 2.22E+08 1.12E+08 5.55E+07 2.58E+07 1.21E+07 5.42E+06 2.91E+06 3.55E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
