#--------------------------------------------------------------------
# Z = 96  A = 242 Cm  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
       0.000       0.000       0.081       9.727     145.585
       0.020       0.000       0.096       9.404     138.774
       0.040       0.000       0.108       8.962     133.243
       0.060       0.000       0.117       8.422     133.734
       0.080       0.000       0.125       7.856     145.583
       0.100       0.000       0.132       7.282     162.056
       0.120       0.000       0.139       6.720     170.801
       0.140       0.000       0.142       6.144     171.412
       0.160       0.000       0.138       5.517     173.037
       0.180       0.000      -0.000       4.840     148.518
       0.200       0.000      -0.000       3.658     149.430
       0.220       0.000      -0.000       2.481     152.894
       0.240       0.000      -0.000       1.430     159.679
       0.260       0.000      -0.000       0.594     165.715
       0.280       0.000      -0.000       0.091     167.825
       0.300       0.000      -0.000       0.000     162.001
       0.320       0.000       0.000       0.309     149.250
       0.340       0.000       0.000       1.003     149.846
       0.360       0.000       0.000       1.971     187.176
       0.380       0.000      -0.000       3.007     200.821
       0.400       0.060       0.000       3.897     185.033
       0.420       0.063       0.000       4.508     185.188
       0.440       0.066       0.000       5.016     167.929
       0.460       0.068       0.000       5.369     155.044
       0.480       0.069       0.000       5.614     146.672
       0.500       0.070       0.000       5.721     144.987
       0.520       0.071       0.000       5.772     149.263
       0.540       0.072       0.000       5.766     148.334
       0.560       0.072       0.000       5.773     139.297
       0.580       0.072       0.000       5.861     131.181
       0.600       0.071       0.000       6.006     129.843
       0.620       0.071       0.000       6.223     131.096
       0.640       0.068       0.000       6.411     129.143
       0.660       0.000       0.000       6.304     131.783
       0.680       0.000      -0.000       5.811     133.493
       0.700       0.000      -0.000       5.324     136.433
       0.720       0.000      -0.000       4.885     139.512
       0.740       0.000       0.000       4.468     137.682
       0.760       0.000       0.000       4.029     124.344
       0.780       0.000       0.000       3.440     107.808
       0.800       0.000      -0.000       2.853      99.789
       0.820       0.000      -0.000       2.339      99.318
       0.840       0.000      -0.000       1.922     100.475
       0.860       0.000      -0.000       1.653     101.992
       0.880       0.000      -0.000       1.447     106.751
       0.900       0.000       0.000       1.315     122.523
       0.920       0.000      -0.000       1.215     140.238
       0.940       0.000      -0.000       1.100     133.422
       0.960       0.000       0.000       0.995     105.070
       0.980       0.000      -0.000       0.979      79.508
       1.000       0.000       0.000       1.066      70.433
       1.020       0.000       0.000       1.305      72.462
       1.040       0.000      -0.000       1.646      82.152
       1.060       0.000      -0.000       2.030      94.168
       1.080       0.000       0.000       2.406      99.066
       1.100       0.000       0.000       2.759      88.425
       1.120       0.000       0.000       3.097      67.285
       1.140       0.000       0.000       3.408      58.282
       1.160       0.000       0.221       3.679      74.855
       1.180       0.000       0.261       3.845      80.882
       1.200       0.000       0.294       3.994      83.736
       1.220       0.000       0.326       4.132      75.949
       1.240       0.000       0.356       4.270      65.018
       1.260       0.000       0.384       4.410      56.814
       1.280       0.027       0.400       4.463      62.537
       1.300       0.028       0.419       4.475      62.954
       1.320       0.029       0.439       4.488      63.113
       1.340       0.029       0.459       4.477      63.160
       1.360       0.028       0.476       4.483      62.698
       1.380       0.027       0.493       4.450      62.058
       1.400       0.026       0.509       4.384      61.036
       1.420       0.000       0.525       4.261      62.819
       1.440       0.000       0.537       4.011      64.491
       1.460       0.000       0.550       3.745      65.337
       1.480       0.000       0.565       3.463      65.563
       1.500       0.000       0.582       3.198      65.310
       1.520       0.000       0.600       2.920      64.718
       1.540       0.000       0.619       2.641      63.990
       1.560       0.000       0.639       2.357      63.162
       1.580       0.000       0.659       2.044      62.085
       1.600       0.000       0.677       1.745      60.756
       1.620       0.000       0.694       1.412      59.150
       1.640       0.000       0.710       1.092      57.660
       1.660       0.000       0.725       0.769      56.113
       1.680       0.000       0.740       0.457      54.769
       1.700       0.000       0.753       0.162      53.640
       1.720       0.000       0.765      -0.110      52.749
       1.740       0.000       0.777      -0.360      51.910
       1.760       0.000       0.789      -0.600      51.168
       1.780       0.000       0.799      -0.817      50.337
       1.800       0.000       0.810      -1.019      49.335
       1.820       0.000       0.820      -1.203      48.356
       1.840       0.000       0.829      -1.326      47.632
       1.860       0.000       0.839      -1.478      46.695
       1.880       0.000       0.848      -1.616      45.957
       1.900       0.000       0.857      -1.737      45.589
       1.920       0.000       0.866      -1.865      45.566
       1.940       0.000       0.875      -1.959      45.683
       1.960       0.000       0.885      -2.054      45.827
       1.980       0.000       0.895      -2.142      45.804
       2.000       0.000       0.905      -2.240      45.459
       2.020       0.000       0.918      -2.326      45.034
       2.040       0.000       0.931      -2.408      44.894
       2.060       0.000       0.945      -2.492      44.835
       2.080       0.000       0.960      -2.577      44.548
       2.100       0.000       0.975      -2.666      43.980
       2.120       0.000       0.990      -2.758      43.265
       2.140       0.000       1.005      -2.854      42.424
       2.160       0.000       1.020      -2.957      41.493
       2.180       0.000       1.035      -3.066      40.555
       2.200       0.000       1.049      -3.179      39.688
       2.220       0.000       1.063      -3.297      38.963
       2.240       0.000       1.077      -3.417      38.450
       2.260       0.000       1.090      -3.538      38.146
       2.280       0.000       1.103      -3.659      38.019
       2.300       0.000       1.115      -3.779      38.026
       2.320       0.000       1.127      -3.898      38.106
       2.340       0.000       1.139      -4.014      38.209
       2.360       0.000       1.151      -4.129      38.323
       2.380       0.000       1.163      -4.242      38.487
       2.400       0.000       1.176      -4.354      38.794
       2.420       0.000       1.188      -4.465      39.328
       2.440       0.000       1.202      -4.581      40.293
       2.460       0.000       1.215      -4.702      41.590
       2.480       0.000       1.229      -4.834      42.973
       2.500       0.000       1.241      -4.976      44.270
       2.520       0.000       1.253      -5.126      45.407
       2.540       0.000       1.265      -5.283      46.312
       2.560       0.000       1.276      -5.445      46.978
       2.580       0.000       1.287      -5.611      47.393
       2.600       0.000       1.298      -5.780      47.597
