#--------------------------------------------------------------------
# Z = 92  A = 237 U  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
       0.000       0.000       0.000       6.755     140.724
       0.020       0.000      -0.000       6.870     143.144
       0.040       0.000       0.000       6.928     143.534
       0.060       0.000       0.000       6.956     148.669
       0.080       0.000      -0.000       6.859     153.196
       0.100       0.000      -0.000       6.605     156.655
       0.120       0.000       0.109       5.800     208.966
       0.140       0.000       0.113       5.128     210.514
       0.160       0.000       0.118       4.418     183.828
       0.180       0.000       0.121       3.568     187.822
       0.200       0.000       0.111       2.656     223.072
       0.220       0.000       0.093       1.755     236.249
       0.240       0.000       0.047       0.948     228.407
       0.260       0.000      -0.000       0.309     201.627
       0.280       0.000      -0.000       0.000     207.187
       0.300       0.000      -0.000       0.090     207.092
       0.320       0.000       0.000       0.440     243.664
       0.340       0.000      -0.000       1.102     255.933
       0.360       0.000       0.000       2.039     262.623
       0.380       0.000      -0.000       3.048     386.990
       0.400       0.051       0.000       3.550     304.904
       0.420       0.060       0.000       3.961     302.642
       0.440       0.068       0.000       4.168     334.990
       0.460       0.067       0.000       4.421     220.199
       0.480       0.069       0.000       4.434     325.262
       0.500       0.067       0.000       4.620     170.797
       0.520       0.067       0.000       4.752     189.123
       0.540       0.068       0.000       4.892     200.695
       0.560       0.068       0.000       4.978     247.486
       0.580       0.067       0.000       5.245     171.515
       0.600       0.066       0.000       5.614     152.325
       0.620       0.064       0.000       5.764     152.784
       0.640       0.000       0.000       5.939     180.996
       0.660       0.000       0.000       5.551     180.995
       0.680       0.000      -0.000       5.181     174.585
       0.700       0.000      -0.000       4.799     178.772
       0.720       0.000      -0.000       4.398     191.987
       0.740       0.000      -0.000       4.092     195.571
       0.760       0.000       0.000       3.764     174.334
       0.780       0.000       0.000       3.327     138.983
       0.800       0.000       0.000       2.776     116.981
       0.820       0.000       0.000       2.290     129.726
       0.840       0.000      -0.000       1.946     161.606
       0.860       0.000      -0.000       1.767     177.961
       0.880       0.000      -0.000       1.616     185.730
       0.900       0.000      -0.000       1.438     339.171
       0.920       0.000       0.000       1.188     463.620
       0.940       0.000       0.000       1.040     364.517
       0.960       0.000      -0.000       1.043     137.714
       0.980       0.000       0.000       1.175     105.300
       1.000       0.000      -0.000       1.525      82.299
       1.020       0.000      -0.000       1.866      53.260
       1.040       0.000       0.000       2.329     101.502
       1.060       0.000      -0.000       2.858     138.139
       1.080       0.000       0.000       3.255     202.992
       1.100       0.000       0.000       3.728     231.437
       1.120       0.000       0.000       4.234     198.195
       1.140       0.000       0.241       4.719      59.720
       1.160       0.000       0.295       5.046      55.067
       1.180       0.000       0.338       5.378      62.444
       1.200       0.025       0.373       5.279     105.383
       1.220       0.029       0.388       5.267     252.414
       1.240       0.029       0.416       5.315     282.863
       1.260       0.029       0.442       5.434     190.174
       1.280       0.029       0.461       5.582     112.925
       1.300       0.028       0.467       5.621      74.878
       1.320       0.028       0.486       5.654      69.772
       1.340       0.028       0.507       5.701      68.639
       1.360       0.026       0.524       5.792      68.672
       1.380       0.000       0.521       5.693      73.892
       1.400       0.000       0.527       5.401      94.554
       1.420       0.000       0.537       5.107     102.196
       1.440       0.000       0.547       4.820     105.918
       1.460       0.000       0.558       4.554     106.193
       1.480       0.000       0.569       4.310     104.041
       1.500       0.000       0.585       4.085     101.663
       1.520       0.000       0.600       3.859      97.673
       1.540       0.000       0.618       3.651      94.187
       1.560       0.000       0.636       3.454      91.756
       1.580       0.000       0.655       3.245      90.441
       1.600       0.000       0.674       3.056      89.590
       1.620       0.000       0.691       2.843      88.238
       1.640       0.000       0.714       2.637      85.442
       1.660       0.000       0.728       2.417      84.802
       1.680       0.000       0.742       2.216      83.179
       1.700       0.000       0.755       2.034      80.634
       1.720       0.000       0.767       1.879      77.955
       1.740       0.000       0.779       1.746      74.663
       1.760       0.000       0.791       1.630      71.835
       1.780       0.000       0.803       1.538      69.141
       1.800       0.000       0.815       1.471      66.794
       1.820       0.000       0.828       1.428      64.789
       1.840       0.000       0.840       1.434      63.020
       1.860       0.000       0.853       1.434      60.879
       1.880       0.000       0.867       1.458      58.810
       1.900       0.000       0.880       1.499      56.531
       1.920       0.000       0.894       1.541      54.194
       1.940       0.000       0.907       1.618      52.066
       1.960       0.000       0.921       1.697      50.266
       1.980       0.000       0.934       1.780      48.914
       2.000       0.000       0.946       1.863      48.129
       2.020       0.000       0.971       1.846      53.813
       2.040       0.000       0.984       1.814      56.692
       2.060       0.000       0.997       1.770      60.351
       2.080       0.000       1.010       1.715      64.082
       2.100       0.000       1.023       1.648      67.627
       2.120       0.000       1.037       1.568      70.875
       2.140       0.000       1.050       1.479      73.837
       2.160       0.000       1.063       1.383      76.398
       2.180       0.000       1.077       1.281      78.633
       2.200       0.000       1.090       1.176      80.298
       2.220       0.000       1.104       1.069      80.973
       2.240       0.000       1.117       0.961      80.328
       2.260       0.000       1.130       0.853      78.112
       2.280       0.000       1.142       0.744      75.042
       2.300       0.000       1.154       0.635      71.974
       2.320       0.000       1.185       0.553      45.645
       2.340       0.000       1.219       0.419      41.899
       2.360       0.000       1.233       0.306      39.739
       2.380       0.000       1.247       0.199      37.978
       2.400       0.000       1.260       0.101      36.518
       2.420       0.000       1.273       0.011      35.283
       2.440       0.000       1.286      -0.072      34.218
       2.460       0.000       1.298      -0.145      33.290
       2.480       0.000       1.311      -0.210      32.476
       2.500       0.000       1.323      -0.267      31.739
       2.520       0.000       1.335      -0.319      31.080
       2.540       0.000       1.348      -0.372      30.536
       2.560       0.000       1.361      -0.433      30.117
       2.580       0.000       1.374      -0.504      29.701
       2.600       0.000       1.387      -0.581      29.245
