#--------------------------------------------------------------------
# Z = 92  A = 234 U  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000       0.000       4.937     115.750
       0.020       0.000       0.000       5.053     119.959
       0.040       0.000       0.000       5.203     129.318
       0.060       0.000       0.000       5.308     138.833
       0.080       0.000       0.000       5.314     144.478
       0.100       0.000      -0.000       5.119     145.782
       0.120       0.000       0.102       4.307     150.789
       0.140       0.000       0.115       3.587     160.553
       0.160       0.000       0.126       2.816     169.500
       0.180       0.000       0.135       2.041     170.963
       0.200       0.000       0.142       1.323     170.941
       0.220       0.000       0.145       0.739     182.964
       0.240       0.000       0.140       0.341     204.202
       0.260       0.000      -0.000       0.050     190.567
       0.280       0.000      -0.000       0.000     188.086
       0.300       0.000      -0.000       0.316     172.426
       0.320       0.000       0.000       0.942     151.582
       0.340       0.000      -0.000       1.800     137.167
       0.360       0.053       0.000       2.522     151.239
       0.380       0.055       0.000       3.037     149.905
       0.400       0.058       0.000       3.505     145.384
       0.420       0.064       0.000       3.794     136.195
       0.440       0.066       0.000       3.956     133.323
       0.460       0.067       0.000       4.084     147.941
       0.480       0.067       0.000       4.233     171.290
       0.500       0.066       0.000       4.374     171.175
       0.520       0.065       0.000       4.516     148.706
       0.540       0.064       0.000       4.674     132.052
       0.560       0.062       0.000       4.879     128.633
       0.580       0.060       0.000       5.128     126.692
       0.600       0.056       0.000       5.358     123.325
       0.620       0.000       0.000       5.151     129.675
       0.640       0.000       0.000       4.822     132.951
       0.660       0.000       0.000       4.471     134.675
       0.680       0.000       0.000       4.148     134.614
       0.700       0.000       0.000       3.860     133.182
       0.720       0.000      -0.000       3.638     131.676
       0.740       0.000       0.000       3.468     131.875
       0.760       0.000       0.000       3.328     128.447
       0.780       0.000      -0.000       2.977     126.393
       0.800       0.000       0.000       2.488     115.666
       0.820       0.000      -0.000       1.977      97.576
       0.840       0.000      -0.000       1.522      83.819
       0.860       0.000      -0.000       1.207      78.224
       0.880       0.000       0.000       1.042      80.611
       0.900       0.000       0.000       1.067      89.650
       0.920       0.000      -0.000       1.246     101.934
       0.940       0.000       0.000       1.519     113.830
       0.960       0.000       0.000       1.836     120.845
       0.980       0.000       0.000       2.198     118.299
       1.000       0.000      -0.000       2.540     106.942
       1.020       0.000      -0.000       2.886      91.439
       1.040       0.000       0.000       3.257      77.134
       1.060       0.000      -0.000       3.646      66.727
       1.080       0.000       0.000       4.031      60.717
       1.100       0.000       0.000       4.433      59.113
       1.120       0.026       0.281       4.992      66.302
       1.140       0.028       0.304       5.184      73.172
       1.160       0.029       0.327       5.384      83.867
       1.180       0.029       0.353       5.539      92.392
       1.200       0.028       0.379       5.638      88.052
       1.220       0.028       0.400       5.666      73.356
       1.240       0.027       0.419       5.667      64.370
       1.260       0.025       0.435       5.645      63.469
       1.280       0.023       0.452       5.592      64.757
       1.300       0.000       0.461       5.473      67.831
       1.320       0.000       0.474       5.235      67.248
       1.340       0.000       0.488       4.978      63.724
       1.360       0.000       0.501       4.757      59.205
       1.380       0.000       0.515       4.536      55.568
       1.400       0.000       0.531       4.341      53.739
       1.420       0.000       0.549       4.174      53.835
       1.440       0.000       0.568       4.019      55.140
       1.460       0.000       0.588       3.867      56.869
       1.480       0.000       0.607       3.712      58.330
       1.500       0.000       0.627       3.566      59.336
       1.520       0.000       0.645       3.406      59.868
       1.540       0.000       0.662       3.249      60.056
       1.560       0.000       0.678       3.102      60.057
       1.580       0.000       0.693       2.953      60.028
       1.600       0.000       0.707       2.841      60.039
       1.620       0.000       0.720       2.718      59.887
       1.640       0.000       0.732       2.620      59.695
       1.660       0.000       0.744       2.519      59.104
       1.680       0.000       0.756       2.430      58.410
       1.700       0.000       0.767       2.354      57.472
       1.720       0.000       0.778       2.291      56.398
       1.740       0.000       0.790       2.241      55.106
       1.760       0.000       0.800       2.185      53.579
       1.780       0.000       0.812       2.138      51.897
       1.800       0.000       0.824       2.096      50.100
       1.820       0.000       0.836       2.055      48.270
       1.840       0.000       0.849       2.051      46.937
       1.860       0.000       0.863       2.016      45.576
       1.880       0.000       0.879       1.983      44.608
       1.900       0.000       0.894       1.941      43.950
       1.920       0.000       0.910       1.884      43.733
       1.940       0.000       0.927       1.835      43.825
       1.960       0.000       0.943       1.772      44.234
       1.980       0.000       0.959       1.706      44.855
       2.000       0.000       0.974       1.626      45.407
       2.020       0.000       0.990       1.501      46.066
       2.040       0.000       1.005       1.367      46.356
       2.060       0.000       1.021       1.229      46.213
       2.080       0.000       1.036       1.091      45.654
       2.100       0.000       1.051       0.955      44.812
       2.120       0.000       1.065       0.822      43.888
       2.140       0.000       1.079       0.696      43.164
       2.160       0.000       1.092       0.577      42.853
       2.180       0.000       1.105       0.468      43.152
       2.200       0.000       1.118       0.370      44.276
       2.220       0.000       1.131       0.283      46.303
       2.240       0.000       1.143       0.207      49.157
       2.260       0.000       1.155       0.141      52.614
       2.280       0.000       1.167       0.084      56.312
       2.300       0.000       1.178       0.035      59.826
       2.320       0.000       1.190      -0.007      62.792
       2.340       0.000       1.201      -0.042      64.980
       2.360       0.000       1.213      -0.072      66.257
       2.380       0.000       1.224      -0.099      66.581
       2.400       0.000       1.236      -0.122      66.044
       2.420       0.000       1.247      -0.141      64.792
       2.440       0.000       1.258      -0.157      62.965
       2.460       0.000       1.269      -0.172      60.678
