#--------------------------------------------------------------------
# Z = 90  A = 233 Th  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
       0.000       0.000       0.001       5.169     143.196
       0.020       0.000       0.001       5.199     146.968
       0.040       0.000       0.001       5.202     153.987
       0.060       0.000       0.000       5.143     152.982
       0.080       0.000      -0.000       4.987     152.951
       0.100       0.000       0.000       4.717     151.247
       0.120       0.000       0.070       4.328     164.346
       0.140       0.000       0.097       3.629     203.715
       0.160       0.000       0.106       2.914     212.218
       0.180       0.000       0.095       2.271     206.572
       0.200       0.000       0.106       1.532     229.151
       0.220       0.000       0.114       0.919     269.366
       0.240       0.000       0.105       0.492     269.338
       0.260       0.000       0.000       0.115     313.197
       0.280       0.000       0.000       0.000     406.143
       0.300       0.000      -0.000       0.182     547.142
       0.320       0.000       0.000       0.706     529.508
       0.340       0.000       0.000       1.575     280.687
       0.360       0.000       0.000       2.619     209.808
       0.380       0.049       0.000       3.079     188.953
       0.400       0.055       0.000       3.567     181.307
       0.420       0.063       0.000       3.897     206.363
       0.440       0.060       0.000       3.900     201.858
       0.460       0.060       0.000       3.976     229.291
       0.480       0.060       0.000       4.063     210.157
       0.500       0.066       0.000       4.015     306.749
       0.520       0.065       0.000       4.161     171.097
       0.540       0.064       0.000       4.352     157.199
       0.560       0.058       0.000       4.913     147.416
       0.580       0.059       0.000       5.128     174.880
       0.600       0.058       0.000       5.230     166.843
       0.620       0.000       0.000       5.287     176.739
       0.640       0.000       0.000       4.979     185.647
       0.660       0.000       0.000       4.616     192.337
       0.680       0.000       0.000       4.292     187.848
       0.700       0.000      -0.000       4.011     176.071
       0.720       0.000       0.000       3.725     193.742
       0.740       0.000      -0.000       3.469     194.267
       0.760       0.000      -0.000       3.152     192.257
       0.780       0.000      -0.000       2.756     189.146
       0.800       0.000       0.000       2.054      96.811
       0.820       0.000      -0.000       1.432      62.774
       0.840       0.000      -0.000       1.044      61.512
       0.860       0.000       0.000       0.930      63.501
       0.880       0.000       0.000       0.682     144.633
       0.900       0.000       0.000       0.572     218.983
       0.920       0.000      -0.000       0.704     273.185
       0.940       0.000      -0.000       1.020     275.526
       0.960       0.000       0.000       1.338     354.809
       0.980       0.000       0.000       1.759     289.309
       1.000       0.000      -0.000       2.162     188.138
       1.020       0.000      -0.000       2.626     142.286
       1.040       0.000       0.000       3.131      88.533
       1.060       0.000      -0.000       3.624      74.146
       1.080       0.000       0.000       4.126      70.928
       1.100       0.000       0.000       4.606      77.367
       1.120       0.000       0.240       5.263     166.877
       1.140       0.027       0.320       5.417     152.302
       1.160       0.030       0.346       5.459     338.715
       1.180       0.029       0.349       5.919      81.610
       1.200       0.029       0.364       5.919      68.232
       1.220       0.029       0.392       5.973      77.552
       1.240       0.029       0.425       6.266      78.922
       1.260       0.028       0.441       6.231      96.158
       1.280       0.027       0.463       6.246     111.342
       1.300       0.000       0.470       6.299      86.048
       1.320       0.000       0.484       6.097      78.658
       1.340       0.000       0.498       5.886      70.261
       1.360       0.000       0.512       5.714      64.124
       1.380       0.000       0.523       5.517      70.892
       1.400       0.000       0.533       5.173      79.250
       1.420       0.000       0.545       4.872      93.285
       1.440       0.000       0.558       4.616     106.313
       1.460       0.000       0.572       4.399     113.076
       1.480       0.000       0.587       4.215     113.529
       1.500       0.000       0.604       4.069     109.940
       1.520       0.000       0.621       3.923     104.450
       1.540       0.000       0.639       3.791      99.412
       1.560       0.000       0.657       3.678      95.484
       1.580       0.000       0.674       3.563      92.539
       1.600       0.000       0.696       3.472      92.128
       1.620       0.000       0.711       3.365      92.431
       1.640       0.000       0.726       3.290      91.915
       1.660       0.000       0.740       3.231      90.474
       1.680       0.000       0.754       3.195      88.535
       1.700       0.000       0.768       3.180      85.157
       1.720       0.000       0.782       3.186      81.093
       1.740       0.000       0.796       3.212      76.773
       1.760       0.000       0.810       3.240      72.299
       1.780       0.000       0.824       3.279      67.672
       1.800       0.000       0.839       3.326      63.472
       1.820       0.000       0.854       3.377      59.969
       1.840       0.000       0.869       3.455      57.672
       1.860       0.000       0.885       3.506      55.996
       1.880       0.000       0.902       3.549      55.330
       1.900       0.000       0.917       3.580      55.641
       1.920       0.000       0.933       3.591      57.292
       1.940       0.000       0.948       3.608      60.120
       1.960       0.000       0.963       3.601      63.984
       1.980       0.000       0.977       3.586      68.903
       2.000       0.000       0.989       3.562      74.099
       2.020       0.000       1.003       3.484      79.795
       2.040       0.000       1.016       3.403      83.421
       2.060       0.000       1.029       3.325      82.931
       2.080       0.000       1.041       3.252      77.344
       2.100       0.000       1.053       3.186      67.832
       2.120       0.000       1.064       3.126      57.935
       2.140       0.000       1.075       3.074      50.553
       2.160       0.000       1.086       3.029      45.946
       2.180       0.000       1.096       2.992      44.958
       2.200       0.000       1.106       2.959      46.558
       2.220       0.000       1.116       2.930      49.846
       2.240       0.000       1.126       2.904      54.063
       2.260       0.000       1.137       2.884      58.548
       2.280       0.000       1.177       2.809      73.715
       2.300       0.000       1.196       2.683      68.461
       2.320       0.000       1.216       2.551      59.809
       2.340       0.000       1.236       2.420      47.102
       2.360       0.000       1.254       2.289      30.983
       2.380       0.000       1.270       2.168      27.534
       2.400       0.000       1.284       2.058      27.800
       2.420       0.000       1.298       1.959      28.091
       2.440       0.000       1.313       1.869      28.506
       2.460       0.000       1.327       1.788      29.032
       2.480       0.000       1.342       1.719      29.669
       2.500       0.000       1.356       1.660      30.393
       2.520       0.000       1.371       1.610      31.218
       2.540       0.000       1.386       1.569      32.165
       2.560       0.000       1.401       1.535      33.262
       2.580       0.000       1.416       1.506      34.562
       2.600       0.000       1.431       1.482      36.163
