#--------------------------------------------------------------------
# Z = 93  A = 237 Np  nbeta= 130  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
       0.000       0.000       0.000       7.421     120.787
       0.020       0.000      -0.000       7.276     127.053
       0.040       0.000       0.058       6.889     155.617
       0.060       0.000       0.070       6.709     179.824
       0.080       0.000       0.082       6.479     180.925
       0.100       0.000       0.107       6.063     176.354
       0.120       0.000       0.115       5.440     186.679
       0.140       0.000       0.121       4.766     190.204
       0.160       0.000       0.131       4.018     180.087
       0.180       0.000       0.135       3.166     175.558
       0.200       0.000       0.136       2.378     184.686
       0.220       0.000       0.104       1.556     247.703
       0.240       0.000       0.107       0.756     295.416
       0.260       0.000      -0.000       0.380     190.502
       0.280       0.000       0.000       0.000     197.140
       0.300       0.000      -0.000       0.066     198.788
       0.320       0.000       0.000       0.528     182.745
       0.340       0.000      -0.000       1.274     183.398
       0.360       0.000       0.000       2.282     186.657
       0.380       0.000      -0.000       3.379     174.340
       0.420       0.065       0.000       4.073     171.872
       0.440       0.069      -0.000       4.439     184.056
       0.460       0.067       0.000       4.536     191.308
       0.480       0.069       0.000       4.592     205.388
       0.500       0.068       0.000       4.778     181.401
       0.520       0.068       0.000       4.767     206.723
       0.540       0.068       0.000       4.880     208.833
       0.560       0.067       0.000       5.083     176.724
       0.580       0.066       0.000       5.298     157.532
       0.600       0.064       0.000       5.553     140.599
       0.620       0.060       0.000       5.763     133.692
       0.640       0.000      -0.000       5.696     144.119
       0.660       0.000       0.000       5.292     145.197
       0.680       0.000      -0.000       4.935     145.130
       0.700       0.000       0.000       4.587     148.955
       0.720       0.000       0.000       4.218     153.246
       0.740       0.000      -0.000       3.914     157.067
       0.760       0.000       0.000       3.691     152.812
       0.780       0.000      -0.000       3.296     133.685
       0.800       0.000       0.000       2.745     117.942
       0.820       0.000      -0.000       2.272     115.013
       0.840       0.000      -0.000       1.918     118.526
       0.860       0.000      -0.000       1.695     124.337
       0.880       0.000      -0.000       1.530     136.392
       0.900       0.000       0.000       1.403     158.839
       0.920       0.000       0.000       1.327     182.204
       0.940       0.000       0.000       1.369     186.281
       0.960       0.000       0.000       1.488     170.879
       0.980       0.000       0.000       1.697     142.213
       1.000       0.000      -0.000       1.950     111.958
       1.020       0.000      -0.000       2.269      89.625
       1.040       0.000       0.000       2.644      82.869
       1.060       0.000      -0.000       3.077      81.183
       1.080       0.000       0.000       3.535      85.273
       1.100       0.000       0.000       3.999      91.265
       1.120       0.000       0.000       4.411      94.838
