,ZA,Z,A,target,observable,value,uncertainty,unit,comment,qualifier
43,22048,22,48,Ti48_e0,D0,20800.000000000004,2500.0000000000005,eV,TI 48   D0=26.1 FROM D1=8.7  SOME OF WHICH MAY BE D-WAVE,
44,22048,22,48,Ti48_e0,D1,8700.0,870.0000000000001,eV,TI 48   NEW FROM PTANAL.SAS,
45,22049,22,49,Ti49_e0,D0,4520.0,310.00000000000006,eV,TI 49,
46,22049,22,49,Ti49_e0,D1,1500.0000000000002,200.00000000000003,eV,TI 49,
47,23050,23,50,V50_e0,D0,1760.0000000000002,180.0,eV,V 50,
48,23051,23,51,V51_e0,D0,3950.0000000000005,270.00000000000006,eV,V 51    NEW,
49,23051,23,51,V51_e0,D1,1700.0000000000002,140.00000000000003,eV,V 51    NEW,
50,24050,24,50,Cr50_e0,D0,14000.000000000002,1000.0000000000001,eV,CR 50 ATLAS1 11.73+-.84 NEW 14.0+-1.0  TO OBTAIN REASONABLE FIT FOR CR50  XIA DATA DATA,
51,24052,24,52,Cr52_e0,D0,34900.0,3200.0000000000005,eV,CR 52,
52,24052,24,52,Cr52_e0,D1,10500.000000000002,500.00000000000006,eV,CR 52,
53,24052,24,52,Cr52_e0,D2,9000.000000000002,400.00000000000006,eV,CR 52,
54,24053,24,53,Cr53_e0,D0,5960.000000000001,470.0,eV,CR 53  NEW,
55,24053,24,53,Cr53_e0,D1,3060.0000000000005,200.00000000000003,eV,CR 53,
56,24053,24,53,Cr53_e0,D2,2650.0,210.00000000000003,eV,CR 53  NEW NEW,
57,24054,24,54,Cr54_e0,D0,38600.00000000001,2400.0,eV,CR 54,
58,24054,24,54,Cr54_e0,D1,7720.000000000001,360.0,eV,,
59,25055,25,55,Mn55_e0,D0,2420.0,150.0,eV,MN 55,
60,25055,25,55,Mn55_e0,D1,1100.0000000000002,100.00000000000001,eV,MN 55  SS SPIN INCOH=0.37-+0.12 KOESTER93,
61,26054,26,54,Fe54_e0,D0,15500.000000000002,1000.0000000000001,eV,FE 54   SAS RESULT,
62,26054,26,54,Fe54_e0,D1,4750.000000000001,150.0,eV,FE 54   PTANAL.FOR +SAS RESULT,
63,26056,26,56,Fe56_e0,D0,22000.000000000004,1700.0000000000002,eV,FE 56liou  r'=5.67-+0.16,
64,26056,26,56,Fe56_e0,D1,8210.000000000002,480.00000000000006,eV,"FE 56perey-ornl/tm11742-1990 p7,P11R'(s,d)=5.437-",
65,26057,26,57,Fe57_e0,D0,7050.000000000001,670.0000000000001,eV,FE 57,
66,26057,26,57,Fe57_e0,D1,2580.0000000000005,260.00000000000006,eV,FE 57,
