,ZA,Z,A,target,observable,value,uncertainty,unit,comment,qualifier
0,13027,13,27,Al27_e0,GG0,1.61,0.36,eV,"AL 27  """,
1,13027,13,27,Al27_e0,GG1,0.98,0.22,eV,"AL 27  """,
2,15031,15,31,P31_e0,GG1,1.5,0.3,eV,P 31,
3,16032,16,32,S32_e0,GG0,2.1,1.2,eV,S 32,
4,16032,16,32,S32_e0,GG1,1.3,1.1,eV,S 32,
5,16033,16,33,S33_e0,GG1,1.6,0.58,eV,S 33  new  schatz+kappler pr/c 51 379 1995,
6,17035,17,35,Cl35_e0,GG0,0.446,0.032,eV,CL 35 SAYER03 S0=0.59+-0.12(45RP)S1=1.11+-0.12 172RP,
7,17035,17,35,Cl35_e0,GG1,0.61,0.15,eV,CL 35  SIMS IG<20,
8,17036,17,36,Cl36_e0,GG0,2.18,0.55,eV,CL 36,
9,18040,18,40,Ar40_e0,GG0,1.5,0.3,eV,"AR 40  NEW, DETERMINED PREVIOUSLY FOR ATLAS1. NOTE BEER QUOTES GG0=1.8 P256",
10,18040,18,40,Ar40_e0,GG1,0.35,0.05,eV,AR 40   FROM  12 P-WAVE ATLAS1 RESONANCES,
11,19039,19,39,K39_e0,GG0,1.0,0.54,eV,K 39,
12,19039,19,39,K39_e0,GG1,0.41,0.19,eV,K 39,
13,19041,19,41,K41_e0,GG0,0.94,0.18,eV,K 41    11/17/2017TO FIT MAX30 REQUIRES D0=5KEV!!!,
14,19041,19,41,K41_e0,GG1,0.54,0.2,eV,K 41,
15,20040,20,40,Ca40_e0,GG0,1.5,0.9,eV,CA 40,
16,20040,20,40,Ca40_e0,GG1,0.36,0.09,eV,CA 40 NEBE R'=3.59(1-0.238)=2.74 FM  IN REGION 0.82-1MEV,
17,20040,20,40,Ca40_e0,GG2,0.74,0.36,eV,CA 40 NEW DUE TO MUSGROVE,
18,20042,20,42,Ca42_e0,GG0,1.1,0.2,eV,CA 42,
19,20042,20,42,Ca42_e0,GG1,0.51,0.19,eV,CA 42   SAS,
20,20043,20,43,Ca43_e0,GG0,0.75,0.04,eV,CA 43,
21,20044,20,44,Ca44_e0,GG0,1.3,0.4,eV,CA 44,
22,20044,20,44,Ca44_e0,GG1,0.3,0.1,eV,CA 44,
23,21045,21,45,Sc45_e0,GG0,0.87,0.49,eV,SC 45 NG3C= 73.1+-7.3FROM INTERNEW  JENDL NG3=65.5 ALTHOUGH GG ABOUT SAME AS ATLAS,
24,21045,21,45,Sc45_e0,GG1,0.52,0.13,eV,SC 45,
25,22046,22,46,Ti46_e0,GG0,1.38,0.0,eV,TI 46,
26,22046,22,46,Ti46_e0,GG1,0.44,0.22,eV,TI 46,
27,22047,22,47,Ti47_e0,GG0,1.19,0.48,eV,TI 47,
28,22048,22,48,Ti48_e0,GG0,2.3,1.4,eV,TI 48,
29,22048,22,48,Ti48_e0,GG1,0.43,0.22,eV,TI 48,
30,22049,22,49,Ti49_e0,GG0,0.74,0.33,eV,TI 49,
31,22049,22,49,Ti49_e0,GG1,0.45,0.28,eV,TI 49,
32,22050,22,50,Ti50_e0,GG1,0.27,0.09,eV,TI 50,
33,23051,23,51,V51_e0,GG0,1.34,0.0,eV,V 51    NEW,
34,23051,23,51,V51_e0,GG1,0.49,0.13,eV,V 51    NEW,
35,24050,24,50,Cr50_e0,GG0,1.1,0.0,eV,CR 50,
36,24050,24,50,Cr50_e0,GG1,0.5,0.1,eV,CR 50 LSF OF KENNY+XIA DATA  3/29/2016,
37,24050,24,50,Cr50_e0,GG2,0.97,0.17,eV,CR 50,
38,24052,24,52,Cr52_e0,GG0,2.0,0.0,eV,CR 52,
39,24052,24,52,Cr52_e0,GG1,0.71,0.3,eV,CR 52,
40,24053,24,53,Cr53_e0,GG0,1.56,0.4,eV,CR 53,
41,24053,24,53,Cr53_e0,GG1,0.56,0.06,eV,CR 53,
42,24054,24,54,Cr54_e0,GG0,1.5,0.0,eV,CR 54,
43,24054,24,54,Cr54_e0,GG1,0.61,0.2,eV,CR 54,
44,25055,25,55,Mn55_e0,GG0,0.75,0.15,eV,MN 55,
45,25055,25,55,Mn55_e0,GG1,0.42,0.1,eV,MN 55,
46,26054,26,54,Fe54_e0,GG0,1.55,0.4,eV,FE 54,
47,26054,26,54,Fe54_e0,GG1,0.59,0.15,eV,FE 54,
48,26056,26,56,Fe56_e0,GG0,0.9,0.47,eV,FE 56,
49,26056,26,56,Fe56_e0,GG1,0.49,0.19,eV,FE 56,
50,26056,26,56,Fe56_e0,GG2,0.75,0.25,eV,FE 56   NEW FROM 91 PEREY   3/2/16,
51,26057,26,57,Fe57_e0,GG0,1.8,1.1,eV,FE 57,
52,26057,26,57,Fe57_e0,GG1,0.65,0.56,eV,"FE 57 newdec 11,2008 allen geel conf ng3=34.7-+2.3 NORMALIZE BY 1.036=35.95+-2.3",
53,26058,26,58,Fe58_e0,GG0,1.13,0.11,eV,FE 58,
54,26058,26,58,Fe58_e0,GG1,0.36,0.1,eV,FE 58  IG=1.7-+0.1VANDER,
55,27059,27,59,Co59_e0,GG0,0.54,0.04,eV,CO 59 DES91 0.4488SPENCER76:GGO(4)=0.455-+0.009GG0(3)=0.66-+0.02,
56,27059,27,59,Co59_e0,GG1,0.345,0.04,eV,CO 59   DES91 0.36,
57,28058,28,58,Ni58_e0,GG0,2.0,1.1,eV,NI 58                             RC(1)=4.0-+0.3,
58,28058,28,58,Ni58_e0,GG1,0.69,0.3,eV,NI 58                             RC(2)=7.1-+0.3,
59,28058,28,58,Ni58_e0,GG2,1.11,0.39,eV,NI 58,
60,28059,28,59,Ni59_e0,GG0,2.21,0.36,eV,NI 59        kadonis 87+-14theoy,
61,28060,28,60,Ni60_e0,GG0,1.16,0.36,eV,NI 60,
62,28060,28,60,Ni60_e0,GG1,0.63,0.04,eV,NI 60,
63,28060,28,60,Ni60_e0,GG2,0.91,0.16,eV,NI 60,
64,28061,28,61,Ni61_e0,GG0,2.0,0.3,eV,NI 61,
65,28062,28,62,Ni62_e0,GG0,0.91,0.25,eV,"NI 62       ERRATA PR/C,71,059903,2005",
66,28062,28,62,Ni62_e0,GG1,0.46,0.13,eV,NI 62,
67,29063,29,63,Cu63_e0,GG0,0.49,0.03,eV,CU 63,
68,29063,29,63,Cu63_e0,GG1,0.26,0.015,eV,CU 63,
69,29065,29,65,Cu65_e0,GG0,0.395,0.04,eV,CU 65   KADONIS QUOTES 32.0+-1.4 FOR HEIL  AND 41+-5 FOR PANDEY,
70,29065,29,65,Cu65_e0,GG1,0.37,0.04,eV,CU 65               PROBABLY CALCULATED BY THEM FROM CAPTURE KERNEL,
71,30064,30,64,Zn64_e0,GG0,0.726,0.06,eV,ZN 64,
72,30064,30,64,Zn64_e0,GG1,0.246,0.03,eV,ZN 64,
73,30066,30,66,Zn66_e0,GG0,0.4,0.02,eV,ZN 66,
74,30066,30,66,Zn66_e0,GG1,0.19,0.06,eV,ZN 66,
75,30067,30,67,Zn67_e0,GG0,0.44,0.06,eV,ZN 67 AGRAWAL GG=0.44-+0.06    1981: 0.46,
76,30067,30,67,Zn67_e0,GG1,0.19,0.013,eV,ZN 67   GARG VALUE,
77,30068,30,68,Zn68_e0,GG0,0.32,0.04,eV,ZN 68 B=  KOSRE85 VALUE,
78,30068,30,68,Zn68_e0,GG1,0.138,0.016,eV,ZN 68 garg: 0.302 +-0.060,
79,30070,30,70,Zn70_e0,GG0,0.198,0.03,eV,ZN 70,
80,30070,30,70,Zn70_e0,GG1,0.099,0.015,eV,ZN 70,
81,31069,31,69,Ga69_e0,GG0,0.266,0.019,eV,GA 69,
82,31071,31,71,Ga71_e0,GG0,0.222,0.01,eV,GA 71,
83,32072,32,72,Ge72_e0,GG0,0.15,0.025,eV,GE 72  FROM AS75 GG0(72)=157 REDUCE ERROR ON GG0,
84,32073,32,73,Ge73_e0,GG0,0.197,0.006,eV,"GE 73 OSLO ADOPTED GG=196+-9 PR/C93,064302,2016",
85,32074,32,74,Ge74_e0,GG0,0.195,0.04,eV,GE 74  RICABARRA IG/NG==1.5214+-0.031 FOT TOTAL,
86,32076,32,76,Ge76_e0,GG0,0.115,0.025,eV,GE 76,
87,33075,33,75,As75_e0,GG0,0.34,0.009,eV,AS 75,
88,34074,34,74,Se74_e0,GG0,0.249,0.018,eV,SE 74,
89,34076,34,76,Se76_e0,GG0,0.23,0.018,eV,"SE 76   KAMADA NST47,329 2010 GD0=3.700",
90,34077,34,77,Se77_e0,GG0,0.39,0.054,eV,SE 77,
91,34080,34,80,Se80_e0,GG0,0.235,0.0,eV,,
92,35079,35,79,Br79_e0,GG0,0.313,0.005,eV,BR 79,
93,35081,35,81,Br81_e0,GG0,0.243,0.005,eV,BR 81,
94,36084,36,84,Kr84_e0,GG0,0.16,0.03,eV,KR 84,
95,36084,36,84,Kr84_e0,GG1,0.207,0.01,eV,KR 84,
96,36086,36,86,Kr86_e0,GG0,0.153,0.018,eV,KR 86    x=ptanal.sas result,
97,36086,36,86,Kr86_e0,GG1,0.26,0.13,eV,KR 86    x,
98,37085,37,85,Rb85_e0,GG0,0.25,0.008,eV,RB 85,
99,37085,37,85,Rb85_e0,GG1,0.26,0.02,eV,RB 85,
100,37087,37,87,Rb87_e0,GG0,0.16,0.03,eV,RB 87,
101,37087,37,87,Rb87_e0,GG1,0.192,0.016,eV,RB 87,
102,38084,38,84,Sr84_e0,GG0,0.235,0.02,eV,SR 84,
103,38087,38,87,Sr87_e0,GG0,0.15,0.03,eV,SR 87,
104,38088,38,88,Sr88_e0,GG0,0.19,0.12,eV,SR 88,
105,38088,38,88,Sr88_e0,GG1,0.25,0.085,eV,SR 88,
106,39089,39,89,Y89_e0,GG0,0.134,0.01,eV,Y 89  ERRORS ADDED AFTER QUERY BY ORMOND 8/31/15,
107,39089,39,89,Y89_e0,GG1,0.3,0.03,eV,Y 89,
108,40090,40,90,Zr90_e0,GG0,0.17,0.02,eV,ZR 90,
109,40090,40,90,Zr90_e0,GG1,0.23,0.04,eV,ZR 90,
110,40091,40,91,Zr91_e0,GG0,0.122,0.016,eV,ZR 91   <GGO>=115+-12,
111,40091,40,91,Zr91_e0,GG1,0.243,0.024,eV,ZR 91,
112,40092,40,92,Zr92_e0,GG0,0.111,0.029,eV,ZR 92,
113,40092,40,92,Zr92_e0,GG1,0.319,0.034,eV,ZR 92,
114,40093,40,93,Zr93_e0,GG0,0.157,0.02,eV,ZR 93  D0=314+-30  WELL REPRESENTS MACKLIN CAPTURE DATA,
115,40093,40,93,Zr93_e0,GG1,0.236,0.019,eV,ZR 93 PTNAL.SAS VALUE  0.157+-0.020   GG1=0.236+-0.024,
116,40094,40,94,Zr94_e0,GG0,0.085,0.02,eV,ZR 94 FROM  LOW ENERGY S-WAVE RESONANCES,
117,40094,40,94,Zr94_e0,GG1,0.188,0.025,eV,ZR 94,
118,40096,40,96,Zr96_e0,GG0,0.071,0.008,eV,ZR 96,
119,40096,40,96,Zr96_e0,GG1,0.151,0.075,eV,ZR 96,
120,41093,41,93,Nb93_e0,GG0,0.173,0.004,eV,NB 93,
121,41093,41,93,Nb93_e0,GG1,0.222,0.008,eV,NB 93,
122,41094,41,94,Nb94_e0,GG0,0.175,0.008,eV,NB 94,
123,41094,41,94,Nb94_e0,GG1,0.225,0.016,eV,NB 94,
124,42092,42,92,Mo92_e0,GG0,0.155,0.009,eV,MO 92MUSG. FIT IN KEV REGIOND=2400 GG0=160GG1=270 S0=0.65 S1=3.7,
125,42092,42,92,Mo92_e0,GG1,0.24,0.04,eV,MO 92,
126,42094,42,94,Mo94_e0,GG0,0.137,0.009,eV,MO 94MUSG. FIT  KEV REGION D=1150GG0=135GG1=175 S0=0.45 S1=7.5,
127,42094,42,94,Mo94_e0,GG1,0.188,0.01,eV,MO 94,
128,42095,42,95,Mo95_e0,GG0,0.162,0.007,eV,MO 95,
129,42095,42,95,Mo95_e0,GG1,0.21,0.04,eV,"MO 95  MUSGROVE   D0=80+-25, GGL= 150+-20,180  S1=7.5+-2.5                                          G1F = 0.2587     0.0095                E                          MO 95",
130,42096,42,96,Mo96_e0,GG0,0.107,0.009,eV,MO 96,
131,42096,42,96,Mo96_e0,GG1,0.142,0.009,eV,MO 96MUSG.FIT IN KEV REGIOND=950+-220 GG0=114+-14 GG1=136_=14 S0=0.54 S1=8.0,
132,42097,42,97,Mo97_e0,GG0,0.139,0.02,eV,MO 97,
133,42098,42,98,Mo98_e0,GG0,0.072,0.013,eV,MO 98MUSG. FIT IN KEV REGIOND=950 GG0=93 GG1=110 S0=0.49 S1=7.0,
134,42098,42,98,Mo98_e0,GG1,0.117,0.015,eV,MO 98,
135,42100,42,100,Mo100_e0,GG0,0.064,0.004,eV,MO100MUSG.FIT IN KEV REGIOND=420 GG0=85 GG1=85 S0=0.5 S1=3.5,
136,42100,42,100,Mo100_e0,GG1,0.1038,0.0072,eV,MO100        FOR DOC D0=547 EV SMALLER THAN MO98,
137,43099,43,99,Tc99_e0,GG0,0.137,0.008,eV,TC 99   ATLAS1 S1=5.8 SHOWS THAT FIT IN   10-100 KEV REGION IS HIGH,
138,44099,44,99,Ru99_e0,GG0,0.194,0.01,eV,RU 99   IG=195-+20 NG=4.3-+0.7 NGD=4.1-+0.7 HALPERIN65,
139,44100,44,100,Ru100_e0,GG0,0.119,0.015,eV,RU100   ptanal result,
140,44100,44,100,Ru100_e0,GG1,0.136,0.016,eV,"RU100  FROM MACKLIN GG/DO, <GG>=127+-5  CALCULATE ERROR ON GG1 FROM THIS AND FROM GG0                  GD0 = 3.26       0.46                                             RU100",
141,44101,44,101,Ru101_e0,GG0,0.183,0.015,eV,RU101,
142,44102,44,102,Ru102_e0,GG0,0.104,0.024,eV,RU102,
143,44102,44,102,Ru102_e0,GG1,0.131,0.03,eV,RU102 PTANAL  FROM 4 RESONANCES 131 WEIGHTED 160 SIMPLE AVERAGE !!!,
144,44103,44,103,Ru103_e0,GG0,0.161,0.015,eV,RU103,
145,44103,44,103,Ru103_e0,GG1,0.209,0.02,eV,"RU103  with ggl= 161,209,184, ng3=655",
146,44104,44,104,Ru104_e0,GG0,0.099,0.014,eV,RU104   VALUE BUT SLIGHTLY HIGHER THAN RAPP'S VALUES.,
147,45103,45,103,Rh103_e0,GG0,0.173,0.007,eV,RH103   FOR GG1W=205 GGS=172,
148,45103,45,103,Rh103_e0,GG1,0.189,0.012,eV,RH103,
149,46105,46,105,Pd105_e0,GG0,0.151,0.005,eV,PD105  DELETED GG1 = 0.147+-0.013,
150,46106,46,106,Pd106_e0,GG0,0.0895,0.0035,eV,PD106,
151,46107,46,107,Pd107_e0,GG0,0.163,0.011,eV,PD107,
152,46108,46,108,Pd108_e0,GG0,0.077,0.005,eV,PD108,
153,46110,46,110,Pd110_e0,GG0,0.056,0.003,eV,PD110,
154,46110,46,110,Pd110_e0,GG1,0.092,0.018,eV,PD110 ADDED UNITS 3/26/15,
155,47107,47,107,Ag107_e0,GG0,0.143,0.006,eV,AG107,
156,47109,47,109,Ag109_e0,GG0,0.141,0.007,eV,AG109 =MM,
157,47110,47,110,Ag110_m1,GG0,0.148,0.03,eV,,
158,47110,47,110,Ag110_m1,GG1,0.192,0.04,eV,,
159,48106,48,106,Cd106_e0,GG0,0.157,0.009,eV,CD106     PTANAL GG0(W++GG(S),
160,48108,48,108,Cd108_e0,GG0,0.102,0.008,eV,CD108,
161,48108,48,108,Cd108_e0,GG1,0.125,0.02,eV,CD108  MUSGROVE VALUE GG  ERROR FROM LSF  GG0X109.3+-12.2    GG1X=122.4-11.0,
162,48110,48,110,Cd110_e0,GG0,0.075,0.006,eV,CD110   ripple d0=155+-20,
163,48111,48,111,Cd111_e0,GG0,0.106,0.006,eV,CD111,
164,48112,48,112,Cd112_e0,GG0,0.077,0.005,eV,CD112,
165,48112,48,112,Cd112_e0,GG1,0.094,0.016,eV,CD112,
166,48113,48,113,Cd113_e0,GG0,0.099,0.01,eV,CD113,
