# Z   N   A      M      Etot    Emac    Emic     b2      b3      b4      b5      b6      b7      b8     Qa      Sp      Sn      S2p     S2n
  98 134 232   59.52    0.07    1.54   -1.46    0.21    0.00    0.08    0.00    0.01    0.00    0.00    9.29    1.41    9.33    2.12   17.87
  98 135 233   59.29   -0.68    1.89   -2.56    0.20    0.00    0.09    0.00    0.01    0.00    0.00    8.98    1.51    8.30    2.42   17.63
  98 136 234   58.37   -0.62    1.67   -2.29    0.21    0.00    0.09    0.00    0.01    0.00    0.00    8.89    1.87    8.99    2.98   17.29
  98 137 235   58.54   -1.27    1.71   -2.98    0.21    0.00    0.09    0.00    0.00    0.00   -0.01    8.98    1.96    7.90    3.34   16.89
  98 138 236   57.85   -1.29    1.70   -2.99    0.21    0.00    0.09    0.00    0.00    0.00   -0.01    8.65    2.33    8.77    3.88   16.66
  98 139 237   58.14   -2.12    1.68   -3.80    0.22    0.00    0.08    0.00    0.00    0.00   -0.01    8.41    2.44    7.78    4.40   16.55
  98 140 238   57.85   -2.01    1.62   -3.64    0.22    0.00    0.08    0.00   -0.01    0.00   -0.01    8.27    2.80    8.36    4.88   16.14
  98 141 239   58.36   -2.91    1.73   -4.64    0.22    0.00    0.08    0.00   -0.01    0.00   -0.01    7.98    2.91    7.56    5.36   15.92
  98 142 240   58.46   -2.71    1.68   -4.39    0.23    0.00    0.08    0.00   -0.01    0.00   -0.01    7.88    3.29    7.97    5.85   15.54
  98 143 241   59.48   -3.37    1.73   -5.09    0.23    0.00    0.07    0.00   -0.02    0.00   -0.02    7.92    3.43    7.04    6.39   15.02
  98 144 242   59.72   -3.30    1.72   -5.03    0.23    0.00    0.07    0.00   -0.02    0.00   -0.02    7.57    3.78    7.84    6.84   14.88
  98 145 243   60.85   -4.13    1.92   -6.05    0.24    0.00    0.07    0.00   -0.03    0.00   -0.02    7.13    3.93    6.94    7.37   14.78
  98 146 244   61.63   -3.80    1.81   -5.61    0.24    0.00    0.07    0.00   -0.03    0.00   -0.02    7.23    4.30    7.29    7.82   14.23
  98 147 245   63.23   -4.43    1.88   -6.31    0.24    0.00    0.06    0.00   -0.04    0.00   -0.02    7.16    4.42    6.48    8.33   13.77
  98 148 246   64.29   -4.08    1.66   -5.74    0.24    0.00    0.06    0.00   -0.04    0.00   -0.01    6.99    4.79    7.01    8.80   13.49
  98 149 247   66.25   -4.61    1.53   -6.14    0.24    0.00    0.05    0.00   -0.04    0.00    0.00    6.84    4.91    6.11    9.34   13.12
  98 150 248   67.51   -4.33    1.52   -5.85    0.24    0.00    0.04    0.00   -0.04    0.00    0.00    6.57    5.29    6.81    9.79   12.93
  98 151 249   69.54   -5.04    1.58   -6.62    0.25    0.00    0.03    0.00   -0.05    0.00    0.00    6.11    5.41    6.04   10.33   12.85
  98 152 250   71.28   -4.53    1.58   -6.11    0.25    0.00    0.03    0.00   -0.05    0.00    0.00    6.13    5.78    6.33   10.74   12.37
  98 153 251   74.34   -4.46    1.72   -6.18    0.25    0.00    0.02    0.00   -0.05    0.00    0.01    6.63    5.86    5.00   11.17   11.34
  98 154 252   76.07   -4.21    1.53   -5.74    0.25    0.00    0.02    0.00   -0.05    0.00    0.01    6.21    6.21    6.34   11.54   11.34
