# Z   N   A      M      Etot    Emac    Emic     b2      b4      b6      b8      E*
  89 137 226   26.63    0.03    5.90   -5.87    0.51   -0.08   -0.01   -0.02    3.05
  89 138 227   28.26    0.24    5.29   -5.05    0.55   -0.04    0.02   -0.03    2.78
  89 139 228   31.26    0.29    5.84   -5.55    0.60    0.05    0.07   -0.01    3.01
  90 137 227   28.02    0.34    5.07   -4.73    0.55   -0.04    0.02   -0.03    2.87
  90 138 228   29.10    0.35    4.98   -4.63    0.54   -0.04    0.02   -0.03    2.48
  90 139 229   31.96    0.35    5.44   -5.09    0.58    0.02    0.06   -0.01    2.90
  90 140 230   33.33    0.37    5.30   -4.92    0.59    0.03    0.06   -0.01    2.62
  90 141 231   35.68   -0.41    5.57   -5.98    0.60    0.02    0.07   -0.01    2.35
  90 142 232   37.41   -0.29    5.42   -5.71    0.61    0.04    0.06   -0.02    2.11
  90 143 233   39.84   -1.26    5.63   -6.89    0.61    0.04    0.06   -0.03    1.49
  90 144 234   42.09   -0.88    5.69   -6.57    0.61    0.03    0.06   -0.03    1.62
  91 139 230   34.92    0.45    5.21   -4.76    0.57   -0.04    0.01   -0.03    3.91
  91 140 231   36.26    0.52    4.89   -4.37    0.60    0.02    0.05    0.01    3.66
  91 141 232   38.29   -0.23    5.32   -5.54    0.60    0.02    0.06   -0.01    3.44
  91 142 233   39.93   -0.12    5.23   -5.35    0.61    0.03    0.06   -0.02    3.13
  91 143 234   41.99   -1.11    5.50   -6.60    0.62    0.03    0.06   -0.03    2.45
  92 139 231   36.48    0.43    4.82   -4.39    0.60    0.01    0.05    0.00    3.41
  92 140 232   37.40    0.44    4.58   -4.14    0.61    0.03    0.05   -0.01    3.10
  92 141 233   39.25   -0.41    4.67   -5.07    0.62    0.04    0.05   -0.02    2.86
  92 142 234   40.54   -0.30    4.74   -5.04    0.62    0.03    0.05   -0.02    2.57
  92 143 235   42.51   -1.29    5.07   -6.36    0.62    0.03    0.06   -0.03    1.94
  92 144 236   44.33   -0.92    5.10   -6.02    0.62    0.03    0.06   -0.03    2.05
  92 145 237   46.95   -1.52    5.38   -6.90    0.64    0.02    0.06   -0.03    1.92
  92 146 238   49.09   -1.10    5.27   -6.37    0.63    0.02    0.06   -0.02    1.94
  92 147 239   52.25   -1.41    5.60   -7.01    0.65    0.00    0.05   -0.02    2.02
  92 148 240   54.69   -0.94    5.38   -6.32    0.65    0.01    0.05   -0.02    2.04
  93 140 233   40.99    0.33    4.27   -3.94    0.62    0.02    0.04    0.00    3.46
  93 141 234   42.56   -0.45    4.17   -4.62    0.63    0.03    0.04   -0.01    3.31
  93 142 235   43.76   -0.35    4.36   -4.71    0.62    0.02    0.04   -0.01    3.06
  93 143 236   45.47   -1.26    4.91   -6.17    0.63    0.03    0.06   -0.03    2.58
  93 144 237   47.17   -0.93    4.57   -5.50    0.63    0.02    0.05   -0.02    2.69
  93 145 238   49.37   -1.61    5.24   -6.85    0.65    0.02    0.06   -0.03    2.67
  93 146 239   51.42   -1.18    4.76   -5.95    0.64    0.01    0.04   -0.02    2.56
  94 141 235   44.42   -0.64    3.86   -4.49    0.63    0.04    0.04   -0.02    2.64
  94 142 236   45.30   -0.51    4.00   -4.51    0.63    0.03    0.04   -0.02    2.42
  94 143 237   46.87   -1.48    4.38   -5.86    0.63    0.03    0.05   -0.03    1.92
  94 144 238   48.20   -1.17    4.39   -5.56    0.63    0.02    0.05   -0.03    2.04
  94 145 239   50.32   -1.86    4.71   -6.56    0.64    0.02    0.05   -0.03    2.02
  94 146 240   52.00   -1.46    4.63   -6.09    0.65    0.01    0.05   -0.03    1.94
  94 147 241   54.60   -1.93    4.99   -6.91    0.66    0.00    0.05   -0.02    1.94
  94 148 242   56.61   -1.46    4.95   -6.41    0.66    0.01    0.05   -0.03    1.97
  94 149 243   59.83   -1.55    5.04   -6.60    0.67    0.02    0.06   -0.03    2.17
  94 150 244   61.94   -1.24    4.92   -6.16    0.67    0.00    0.04   -0.02    2.14
  94 151 245   65.69   -1.06    4.58   -5.64    0.67    0.01    0.04   -0.02    2.81
  94 152 246   67.87   -0.92    4.80   -5.72    0.67    0.01    0.04   -0.02    2.44
  95 144 239   51.61   -1.51    4.00   -5.51    0.64    0.02    0.04   -0.02    2.19
  95 145 240   53.36   -2.22    4.31   -6.53    0.65    0.01    0.05   -0.03    2.19
  95 146 241   54.91   -1.89    4.29   -6.18    0.65    0.01    0.04   -0.02    2.10
  95 147 242   57.04   -2.47    4.65   -7.12    0.67   -0.01    0.04   -0.02    2.02
  95 148 243   59.01   -1.97    4.56   -6.53    0.67   -0.01    0.04   -0.02    2.07
  95 149 244   62.00   -1.96    5.09   -7.05    0.69    0.01    0.06   -0.04    2.41
