#Directory:       gdr_parameters_exp_new
#File:            gdr_parameter_recommended_exp_smlo.dat
#Date:            December 14, 2018
#     Experimental values of recommended GDR parameters
#     within  Standard Lorentzian (SLO) approach.
#     FORTRAN format of data reading for one entry is
#     FORMAT(2I4,1X,A2,2X,9F8.3,A22)
#
#  Z  A  El     Er1     Wr1     S1      CSp1     Er2     Wr2     S2     CSp2      S    E_{min}-E_{max} Ref.
#              [MeV]    [MeV]           [mb]    [MeV]   [MeV]           [mb]                 [MeV]
#-----------------------------------------------------------------------------------------------
   3   6 Li     23.69    5.26   0.341    3.71                                   0.341  21.5 - 27.0  1986Var
   3   7 Li     18.59   16.28   0.907    3.65                                   0.907  13.2 - 25.6  1985Ahr
   4   9 Be     23.75    9.47   0.577    5.17                                   0.577  17.5 - 26.0  1975Ahr
   5  10 B      21.72    9.08   0.441    4.64                                   0.441   8.5 - 24.9  1987Ahs
   6  12 C      22.86    3.61   0.671   21.30                                   0.671  20.1 - 25.0  1969Bez
   6  13 C      24.60    8.43   0.868   12.71                                   0.868  14.5 - 29.0  2002Ish
   6  14 C      15.41    5.82   0.333    7.49   26.13    7.78   0.483    8.13   0.816  14.5 - 30.0  2002Ish
   6   0 C      23.12    4.19   0.705   19.28                                   0.705  19.5 - 25.6  1985Ahr
   7  14 N      23.05    6.95   1.193   22.95                                   1.193  18.2 - 28.0  1969Bez
   7  15 N      24.78   12.82   1.242   13.82                                   1.242  14.5 - 28.0  2002Ish
   8  16 O      23.70    5.36   0.981   27.96                                   0.981  18.1 - 26.0  1975Ahr
   8  17 O      23.40    5.48   0.739   21.82                                   0.739  18.5 - 26.5  2002Ish
   8  18 O      19.08    2.12   0.064    5.13   24.10    5.25   0.417   13.48   0.481  18.5 - 26.0  2002Ish
   8   0 O      23.60    5.82   1.031   27.07                                   1.031  18.9 - 27.9  1985Ahr
   9  19 F      21.61   12.57   1.152   16.58                                   1.152  10.0 - 24.0  2002Ish
  11  23 Na     17.43    3.10   0.175   12.38   21.13    4.51   0.555   26.98   0.730  14.2 - 23.0  1981Ish
  12  24 Mg     19.51    2.71   0.253   21.40   23.88    8.86   0.974   25.20   1.227  16.5 - 27.0  1966Dol
  12  25 Mg     22.06    6.09   0.894   34.99                                   0.894   9.0 - 24.2  2002Ish
  12  26 Mg     17.38    2.15   0.144   16.53   23.64    7.25   1.149   39.12   1.294  16.1 - 26.5  2003Var
  12   0 Mg     22.55    7.97   0.726   20.88                                   0.726  15.1 - 26.6  1965Wyc
  13  27 Al     20.73    7.45   1.128   38.99                                   1.128  14.0 - 24.1  1985Ahr
  14  28 Si     19.81    2.56   0.371   38.75   21.81    3.15   0.474   40.23   0.845  16.7 - 23.0  2003Var
  14  29 Si     20.70    5.60   0.810   40.01                                   0.810  14.2 - 23.0  2002Ish
  14  30 Si     20.86    7.40   0.767   29.56                                   0.767  14.2 - 23.0  2002Ish
  14   0 Si     20.35    4.53   0.871   51.41   25.16    2.86   0.112   10.47   0.983  16.4 - 25.8  1975Ahr
  16  32 S      19.51    4.83   0.560   35.43                                   0.560  14.7 - 23.0  1968Dol
  16  34 S      20.89    9.61   1.501   50.54                                   1.501  12.0 - 25.0  1986Ass
  16   0 S      20.31    5.48   0.858   47.84                                   0.858  17.2 - 23.6  1965Wyc
  18  40 Ar     19.86    9.12   1.372   56.89                                   1.372  10.5 - 25.0  2002Ish
  19   0 K      21.12    6.89   0.418   22.58                                   0.418  16.0 - 25.9  1974Ve1
  20  40 Ca     20.58    6.23   1.709  104.78                                   1.709  17.2 - 23.7  1966Dol
  20  42 Ca     20.11    8.07   1.455   72.15                                   1.455  15.2 - 23.0  2003Ero
  20  44 Ca     19.60   11.33   1.732   63.70                                   1.732  15.5 - 26.0  2003Ero
  20  48 Ca     19.70    6.23   1.474  105.44                                   1.474  17.9 - 21.6  1987OKe
  20   0 Ca     20.06    4.89   1.205   94.13                                   1.205  15.1 - 24.0  1975Ahr
  22  46 Ti     19.96    6.92   1.246   78.94                                   1.246  13.2 - 25.0  2002Ish
  22  48 Ti     19.78    8.42   1.179   63.74                                   1.179  14.5 - 23.0  2002Ish
  23  51 V      17.90    4.55   0.569   60.32   21.26    4.37   0.239   26.38   0.808  14.1 - 22.9  1962Fu1
  24  52 Cr     19.16    6.19   1.020   81.34                                   1.020  14.3 - 23.0  2002Ish
  25  55 Mn     16.43    2.95   0.153   27.02   19.77    8.61   0.860   52.03   1.013  14.0 - 23.0  1979Al2
  26  54 Fe     19.35    5.50   1.570  147.00                                   1.570  16.0 - 23.0  1978Nor
  27  59 Co     16.43    2.73   0.138   28.28   18.64    7.31   0.747   57.16   0.885  14.0 - 20.9  1979Al2
  28  58 Ni     18.78    5.57   0.885   87.90                                   0.885  14.1 - 22.0  2003Var
  28  60 Ni     16.69    3.47   0.382   62.80   19.57    5.26   0.656   71.14   1.038  12.1 - 21.0  2003Var
  29  63 Cu     16.43    4.84   0.646   79.79   20.15    5.52   0.456   49.39   1.102  14.0 - 21.0  2003Var
  29  65 Cu     16.92    8.09   1.139   86.38                                   1.139  14.2 - 21.0  2003Var
  29   0 Cu     18.12    5.61   0.919   97.93                                   0.919  14.4 - 24.9  1965Wyc
  30  64 Zn     16.23    3.25   0.220   41.21   19.16    5.91   0.533   54.90   0.753  14.0 - 20.8  1976Ca1
  30  65 Zn     16.17    3.06   0.173   34.89   19.04    6.50   0.585   55.53   0.758  12.0 - 21.0  2003Rod
  32  70 Ge     15.16    5.92   1.432  160.51                                   1.432  10.0 - 20.0  1975Mcc
  32  72 Ge     17.88    5.71   1.409  167.57                                   1.409  10.0 - 24.0  1975Mcc
  32  74 Ge     14.51    2.01   0.074   25.54   17.03    7.97   1.158  100.80   1.232  13.1 - 20.8  1976Ca1
  32  76 Ge     15.48    4.37   0.381   61.70   18.87   10.99   1.104   71.09   1.485  13.1 - 20.8  1976Ca1
  33  75 As     14.98    3.66   0.217   41.85   17.59    7.12   0.760   75.35   0.977  13.1 - 20.9  1969Be1
  34  76 Se     15.67    6.33   1.337  151.59                                   1.337  13.1 - 19.7  1978Gur
  34  78 Se     14.97    3.91   0.376   70.45   18.42    6.19   0.671   79.42   1.047  13.1 - 20.8  1976Ca1
  34  80 Se     16.60    6.80   1.255  137.82                                   1.255  13.1 - 20.0  2016Va1
  34  82 Se     16.00    5.68   1.308  175.06                                   1.308  13.1 - 19.9  1978Gur
  37   0 Rb     16.73    4.25   1.012  190.04                                   1.012  10.6 - 17.9  1971Lep
  38   0 Sr     16.79    4.32   1.079  205.99                                   1.079  10.9 - 17.9  1971Lep
  39  89 Y      16.74    4.23   1.135  224.56                                   1.135  14.0 - 19.0  1971Le1
  40  90 Zr     16.82    3.99   1.192  253.58                                   1.192  14.9 - 18.5  2003Var
  40  91 Zr     16.58    4.17   0.892  183.17                                   0.892  14.0 - 18.9  1967Be2
  40  92 Zr     16.26    4.64   0.885  164.72                                   0.885  14.0 - 18.9  1967Be2
  40  94 Zr     16.21    5.25   0.956  159.83                                   0.956  14.0 - 18.9  1967Be2
  41  93 Nb     16.58    4.95   1.132  200.25                                   1.132  14.0 - 19.0  1971Le1
  42  92 Mo     17.16    4.68   1.287  239.77                                   1.287  14.4 - 19.0  2003Var
  42  94 Mo     16.53    5.12   1.113  192.92                                   1.113   9.6 - 18.9  1974Be3
  42  96 Mo     16.11    5.64   1.155  184.80                                   1.155  13.2 - 17.0  1974Be3
  42  98 Mo     15.79    5.90   1.211  188.16                                   1.211  13.2 - 18.9  1974Be3
  42 100 Mo     15.72    7.68   1.404  170.10                                   1.404  12.1 - 20.0  1974Be3
  45 103 Rh     16.24    7.49   1.486  192.03                                   1.486  13.1 - 19.0  2003Var
  46 108 Pd     14.97    5.42   0.771  143.49   18.13    4.03   0.413  103.37   1.184  10.0 - 19.0  1969Dea
  46   0 Pd     15.89    6.30   1.279  201.91                                   1.279  10.2 - 17.8  1971Lep
  47 107 Ag     15.83    6.49   1.193  185.05                                   1.193   9.5 - 19.0  1969Ish
  47 109 Ag     13.54    3.49   0.275   80.46   16.62    4.41   0.490  113.46   0.765  13.1 - 19.0  1969Ish
  47   0 Ag     16.06    7.33   1.441  197.91                                   1.441  13.2 - 18.9  1971Lep
  48   0 Cd     15.77    5.70   1.227  228.50                                   1.227  10.2 - 17.8  1971Lep
  49 115 In     15.72    5.57   1.273  245.50                                   1.273  13.2 - 17.8  1974Le1
  50 112 Sn     15.62    5.01   1.246  262.94                                   1.246  10.9 - 18.0  1974Sor
  50 114 Sn     15.82    6.08   1.378  243.01                                   1.378  13.1 - 18.0  1975Sor
  50 116 Sn     15.55    5.06   1.254  269.30                                   1.254  13.1 - 17.9  1974Le1
  50 117 Sn     15.64    5.02   1.181  257.30                                   1.181  13.2 - 17.8  1974Le1
  50 118 Sn     15.43    4.84   1.221  277.65                                   1.221  13.1 - 17.9  1974Le1
  50 119 Sn     15.53    4.78   1.085  251.37                                   1.085  13.0 - 17.9  1969Fu1
  50 120 Sn     15.37    5.08   1.295  284.00                                   1.295  13.1 - 17.9  1974Le1
  50 122 Sn     15.34    4.73   1.120  266.89                                   1.120  13.1 - 18.0  1975Sor
  50 124 Sn     15.31    4.94   1.173  270.63                                   1.173  13.1 - 18.0  2003Var
  51   0 Sb     15.48    5.01   1.242  279.38                                   1.242  10.2 - 17.8  1971Lep
  52 124 Te     15.23    5.50   1.337  280.36                                   1.337  12.0 - 18.9  1976Le2
  52 126 Te     15.15    5.36   1.358  295.55                                   1.358  12.0 - 18.9  1976Le2
  52 128 Te     15.12    5.30   1.367  304.18                                   1.367  12.0 - 18.9  1976Le2
  52 130 Te     15.11    4.98   1.334  319.24                                   1.334  12.0 - 18.9  1976Le2
  53 127 I      14.77    4.09   0.795  229.29   17.30    3.69   0.173   55.30   0.968  12.0 - 20.0  1999Bel
  55 133 Cs     15.33    5.28   1.351  315.25                                   1.351  12.0 - 19.0  1974Le1
  56 138 Ba     15.13    4.51   1.126  317.33                                   1.126  12.1 - 18.7  2016Va2
  56   0 Ba     15.29    4.93   1.370  353.21                                   1.370  10.1 - 17.8  1971Be4
  57 139 La     15.24    4.82   1.379  367.47                                   1.379  12.0 - 18.9  1972De1
  58 140 Ce     15.03    4.39   1.292  381.89                                   1.292  12.0 - 18.9  1976Le2
  58 142 Ce     14.85    5.08   1.284  331.25                                   1.284  12.0 - 18.9  1976Le2
  59 141 Pr     15.19    4.23   1.106  342.68                                   1.106  12.1 - 16.9  1987Ber
  60 142 Nd     14.95    4.46   1.215  360.54                                   1.215  13.1 - 18.0  2003Var
  60 143 Nd     15.00    4.73   1.236  347.60                                   1.236  12.0 - 19.0  1971Ca1
  60 144 Nd     15.04    5.25   1.239  315.51                                   1.239  12.0 - 18.9  1971Ca1
  60 145 Nd     14.94    6.27   1.378  295.27                                   1.378  12.0 - 18.9  1971Ca1
