#Directory:       gdr_parameters_exp_new
#File:            gdr_parameter_recommended_exp_smlo.dat
#Date:            December 14, 2018
#     Experimental values of recommended GDR parameters
#     within  a Simplified version of the modified Lorentzian (SMLO) approach.
#     FORTRAN format of data reading for one entry is
#     FORMAT(2I4,1X,A2,2X,9F8.3,A22)
#
#  Z  A  El     Er1     Wr1     S1      CSp1     Er2     Wr2     S2     CSp2      S    E_{min}-E_{max} Ref.
#              [MeV]    [MeV]           [mb]    [MeV]   [MeV]           [mb]                 [MeV]
#----------------------------------------------------------------------------------------------------------
   3   6 Li     23.75    5.33   0.344    3.70                                   0.344  21.5 - 27.0  1986Var
   3   7 Li     20.21   21.81   1.155    3.47                                   1.155  13.2 - 25.6  1985Ahr
   4   9 Be     24.18   10.86   0.651    5.09                                   0.651  17.5 - 26.0  1975Ahr
   5  10 B      23.31   17.51   0.755    4.12                                   0.755   8.5 - 24.9  1987Ahs
   6  12 C      22.90    3.69   0.683   21.21                                   0.683  20.1 - 25.0  1969Bez
   6  13 C      25.02   10.72   1.012   11.65                                   1.012  14.5 - 29.0  2002Ish
   6  14 C      15.69    6.51   0.381    7.67   26.27    7.11   0.420    7.74   0.801  14.5 - 30.0  2002Ish
   6   0 C      23.14    4.24   0.717   19.38                                   0.717  19.5 - 25.6  1985Ahr
   7  14 N      23.19    7.09   1.217   22.95                                   1.217  18.2 - 28.0  1969Bez
   7  15 N      26.29   19.45   1.752   12.85                                   1.752  14.5 - 28.0  2002Ish
   8  16 O      23.78    5.67   1.028   27.70                                   1.028  18.1 - 26.0  1975Ahr
   8  17 O      23.46    5.95   0.783   21.29                                   0.783  18.5 - 26.5  2002Ish
   8  18 O      19.12    2.31   0.075    5.51   24.19    5.24   0.413   13.38   0.488  18.5 - 26.0  2002Ish
   8   0 O      23.64    5.88   1.044   27.13                                   1.044  18.9 - 27.9  1985Ahr
   9  19 F      24.09   24.69   2.038   14.94                                   2.038  10.0 - 24.0  2002Ish
  11  23 Na     17.57    3.75   0.233   13.62   21.26    4.35   0.505   25.45   0.738  14.2 - 23.0  1981Ish
  12  24 Mg     19.46    2.80   0.275   22.51   24.30    9.80   1.034   24.18   1.309  16.5 - 27.0  1966Dol
  12  25 Mg     22.73    8.44   1.170   33.04                                   1.170   9.0 - 24.2  2002Ish
  12  26 Mg     17.39    2.36   0.171   17.88   23.83    7.57   1.177   38.38   1.348  16.1 - 26.5  2003Var
  12   0 Mg     22.32    8.72   0.802   21.08                                   0.802  15.1 - 26.6  1965Wyc
  13  27 Al     21.00    8.62   1.260   37.64                                   1.260  14.0 - 24.1  1985Ahr
  14  28 Si     19.88    2.91   0.418   38.41   21.84    3.39   0.464   36.60   0.882  16.7 - 23.0  2003Var
  14  29 Si     20.97    6.88   0.941   37.83                                   0.941  14.2 - 23.0  2002Ish
  14  30 Si     21.32    9.16   0.916   28.52                                   0.916  14.2 - 23.0  2002Ish
  14   0 Si     20.45    4.85   0.929   51.22   25.24    2.10   0.063    8.02   0.992  16.4 - 25.8  1975Ahr
  16  32 S      19.57    5.10   0.583   34.93                                   0.583  14.7 - 23.0  1968Dol
  16  34 S      21.66   13.43   1.963   47.29                                   1.963  12.0 - 25.0  1986Ass
  16   0 S      20.42    5.74   0.887   47.22                                   0.887  17.2 - 23.6  1965Wyc
  18  40 Ar     19.91   11.50   1.648   54.19                                   1.648  10.5 - 25.0  2002Ish
  19   0 K      21.28    7.40   0.443   22.28                                   0.443  16.0 - 25.9  1974Ve1
  20  40 Ca     20.72    6.44   1.755  104.09                                   1.755  17.2 - 23.7  1966Dol
  20  42 Ca     20.53    9.75   1.678   68.87                                   1.678  15.2 - 23.0  2003Ero
  20  44 Ca     20.08   12.45   1.858   62.19                                   1.858  15.5 - 26.0  2003Ero
  20  48 Ca     19.90    6.42   1.512  104.95                                   1.512  17.9 - 21.6  1987OKe
  20   0 Ca     20.09    5.07   1.241   93.50                                   1.241  15.1 - 24.0  1975Ahr
  22  46 Ti     19.95    7.99   1.393   76.44                                   1.393  13.2 - 25.0  2002Ish
  22  48 Ti     20.13    9.98   1.352   61.66                                   1.352  14.5 - 23.0  2002Ish
  23  51 V      18.18    5.29   0.701   63.92   21.37    3.36   0.127   18.23   0.828  14.1 - 22.9  1962Fu1
  24  52 Cr     19.16    6.70   1.075   79.20                                   1.075  14.3 - 23.0  2002Ish
  25  55 Mn     16.43    2.91   0.122   21.84   20.13   11.28   1.107   51.12   1.229  14.0 - 23.0  1979Al2
  26  54 Fe     19.39    5.69   1.606  145.35                                   1.606  16.0 - 23.0  1978Nor
  27  59 Co     16.44    2.42   0.087   20.11   18.68    8.63   0.922   59.76   1.009  14.0 - 20.9  1979Al2
  28  58 Ni     18.87    6.16   0.958   86.03                                   0.958  14.1 - 22.0  2003Var
  28  60 Ni     16.59    3.17   0.218   39.23   19.39    7.82   1.069   77.98   1.287  12.1 - 21.0  2003Var
  29  63 Cu     16.79    5.76   0.844   87.60   20.37    4.56   0.274   35.92   1.118  14.0 - 21.0  2003Var
  29  65 Cu     17.23    8.38   1.176   86.10                                   1.176  14.2 - 21.0  2003Var
  29   0 Cu     17.91    5.24   0.873   99.60                                   0.873  14.4 - 24.9  1965Wyc
  30  64 Zn     16.37    3.84   0.303   48.04   19.49    5.82   0.457   47.80   0.760  14.0 - 20.8  1976Ca1
  30  65 Zn     16.06    2.26   0.077   21.02   18.87    8.62   0.842   60.27   0.919  12.0 - 21.0  2003Rod
  32  70 Ge     15.31    7.19   1.642  151.53                                   1.642  10.0 - 20.0  1975Mcc
