#--------------------------------------------------------------------
# Z = 93  A = 238 Np  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000       0.000       8.318     139.155
       0.020       0.000       0.000       8.115     148.706
       0.040       0.000       0.065       7.621     173.932
       0.060       0.000       0.075       7.404     194.083
       0.080       0.000       0.095       7.157     192.686
       0.100       0.000       0.115       6.684     221.005
       0.120       0.000       0.121       6.015     248.004
       0.140       0.000       0.123       5.362     243.950
       0.160       0.000       0.131       4.672     203.478
       0.180       0.000       0.133       3.755     204.068
       0.200       0.000       0.123       2.883     247.618
       0.220       0.000       0.090       1.867     305.807
       0.240       0.000       0.000       1.051     262.894
       0.260       0.000      -0.000       0.439     239.819
       0.280       0.000      -0.113       0.000     334.331
       0.300       0.000      -0.000       0.016     254.242
       0.320       0.000       0.000       0.286     308.025
       0.340       0.000      -0.000       0.969     311.845
       0.360       0.000       0.000       1.996     309.131
       0.380       0.000      -0.000       3.116     429.228
       0.400       0.000      -0.000       4.159     341.653
       0.420       0.000      -0.000       5.146     247.154
       0.440       0.000      -0.000       5.998     253.343
       0.460       0.000       0.000       6.477     154.100
       0.480       0.000       0.000       6.824     154.547
       0.500       0.000       0.000       7.056     153.829
       0.520       0.000       0.000       7.162     160.114
       0.540       0.000       0.000       7.209     168.290
       0.560       0.000      -0.000       7.127     178.948
       0.580       0.000      -0.000       7.010     183.462
       0.600       0.000       0.000       6.794     163.523
       0.620       0.000       0.000       6.469     192.776
       0.640       0.000      -0.000       6.068     203.169
       0.660       0.000       0.000       5.640     206.119
       0.680       0.000      -0.000       5.280     197.402
       0.700       0.000       0.000       4.905     199.433
       0.720       0.000      -0.000       4.468     211.999
       0.740       0.000      -0.000       4.087     224.433
       0.760       0.000       0.000       3.837     186.164
       0.780       0.000       0.000       3.406     164.140
       0.800       0.000      -0.000       2.812     146.961
       0.820       0.000       0.000       2.294     163.555
       0.840       0.000      -0.000       1.939     193.863
       0.860       0.000      -0.000       1.745     200.954
       0.880       0.000       0.000       1.607     192.782
       0.900       0.000       0.000       1.470     325.984
       0.920       0.000       0.000       1.197     489.351
       0.940       0.000      -0.000       1.076     420.029
       0.960       0.000       0.000       1.099     242.919
       0.980       0.000      -0.000       1.302     110.910
       1.000       0.000      -0.000       1.637      73.040
       1.020       0.000      -0.000       1.888      76.383
       1.040       0.000       0.000       2.339     112.416
       1.060       0.000      -0.000       2.802     155.505
       1.080       0.000       0.000       3.177     213.864
       1.100       0.000       0.000       3.637     231.815
       1.120       0.000       0.000       4.147     197.245
       1.140       0.000      -0.000       4.680     103.772
       1.160       0.000       0.314       5.038      69.904
       1.180       0.000       0.349       5.304      75.203
       1.200       0.000       0.361       5.464     101.126
       1.220       0.000       0.397       5.544     135.052
       1.240       0.000       0.424       5.659     135.569
       1.260       0.000       0.449       5.809     101.018
       1.280       0.000       0.470       5.959      77.144
       1.300       0.000       0.473       5.908      65.898
       1.320       0.000       0.489       5.828      68.083
       1.340       0.000       0.502       5.702      72.019
       1.360       0.000       0.515       5.576      74.975
       1.380       0.000       0.527       5.399      80.519
       1.400       0.000       0.523       5.129     106.054
       1.420       0.000       0.533       4.845     112.992
       1.440       0.000       0.544       4.578     115.859
       1.460       0.000       0.560       4.325     112.202
       1.480       0.000       0.573       4.074     109.234
       1.500       0.000       0.590       3.838     106.996
       1.520       0.000       0.607       3.600     103.515
       1.540       0.000       0.628       3.363     102.735
       1.560       0.000       0.649       3.096     102.292
       1.580       0.000       0.666       2.795     106.491
       1.600       0.000       0.682       2.523     109.267
       1.620       0.000       0.698       2.250     110.504
       1.640       0.000       0.713       2.003     109.626
       1.660       0.000       0.728       1.765     107.185
       1.680       0.000       0.743       1.546     104.197
       1.700       0.000       0.756       1.343     101.030
       1.720       0.000       0.769       1.156      98.282
       1.740       0.000       0.782       0.990      95.933
       1.760       0.000       0.794       0.832      93.570
       1.780       0.000       0.805       0.696      91.415
       1.800       0.000       0.817       0.580      89.351
       1.820       0.000       0.828       0.487      87.456
       1.840       0.000       0.839       0.443      86.234
       1.860       0.000       0.851       0.392      84.810
       1.880       0.000       0.863       0.360      83.969
       1.900       0.000       0.875       0.343      83.290
       1.920       0.000       0.887       0.330      83.274
       1.940       0.000       0.900       0.343      83.698
       1.960       0.000       0.912       0.355      84.847
       1.980       0.000       0.925       0.369      86.123
       2.000       0.000       0.938       0.368      87.192
       2.020       0.000       0.952       0.330      88.186
       2.040       0.000       0.966       0.269      90.859
       2.060       0.000       0.980       0.198      96.319
       2.080       0.000       0.994       0.131     103.242
       2.100       0.000       1.006       0.068     109.107
       2.120       0.000       1.018       0.009     111.888
       2.140       0.000       1.030      -0.049     110.523
       2.160       0.000       1.041      -0.105     105.524
       2.180       0.000       1.053      -0.163      98.398
       2.200       0.000       1.077      -0.247      96.847
       2.220       0.000       1.091      -0.351      97.224
       2.240       0.000       1.104      -0.455      96.536
       2.260       0.000       1.117      -0.561      94.789
       2.280       0.000       1.130      -0.668      92.256
       2.300       0.000       1.142      -0.776      89.646
       2.320       0.000       1.180      -0.855      64.750
       2.340       0.000       1.200      -0.968      60.551
       2.360       0.000       1.215      -1.080      58.045
       2.380       0.000       1.228      -1.187      56.158
       2.400       0.000       1.240      -1.289      54.644
       2.420       0.000       1.252      -1.383      53.427
       2.440       0.000       1.263      -1.472      52.415
       2.460       0.000       1.274      -1.556      51.560
       2.480       0.000       1.285      -1.637      50.895
       2.500       0.000       1.297      -1.721      50.665
       2.520       0.000       1.309      -1.812      50.891
       2.540       0.000       1.321      -1.909      51.480
       2.560       0.000       1.334      -2.011      52.278
       2.580       0.000       1.346      -2.116      53.198
       2.600       0.000       1.358      -2.221      54.331
