#--------------------------------------------------------------------
# Z = 95  A = 239 Am  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000       0.000       9.195     137.620
       0.020       0.000       0.000       9.063     137.954
       0.040       0.000       0.092       8.341     160.994
       0.060       0.000       0.103       7.799     161.216
       0.080       0.000       0.112       7.251     166.196
       0.100       0.000       0.120       6.768     174.738
       0.120       0.000       0.130       6.327     187.301
       0.140       0.000       0.138       5.571     209.369
       0.160       0.000       0.144       4.862     205.855
       0.180       0.000       0.142       4.180     192.544
       0.200       0.000       0.125       3.274     238.349
       0.220       0.000       0.121       2.350     269.408
       0.240       0.000       0.000       1.334     203.962
       0.260       0.000      -0.000       0.479     264.182
       0.280       0.000       0.000       0.000     390.980
       0.300       0.000      -0.000       0.019     390.300
       0.320       0.000       0.000       0.538     255.838
       0.340       0.000      -0.000       1.501     189.967
       0.360       0.000       0.000       2.727     190.756
       0.380       0.000      -0.000       3.765     174.441
       0.400       0.000      -0.000       4.800     182.553
       0.420       0.000      -0.000       5.709     177.986
       0.440       0.000       0.000       6.538     155.935
       0.460       0.000      -0.000       7.055     155.324
       0.480       0.000       0.000       7.454     150.229
       0.500       0.000      -0.000       7.664     146.941
       0.520       0.000      -0.000       7.767     143.268
       0.540       0.000      -0.000       7.781     121.282
       0.560       0.000      -0.000       7.662     128.505
       0.580       0.000       0.000       7.478     132.618
       0.600       0.000       0.000       7.211     142.424
       0.620       0.000       0.000       6.812     149.137
       0.640       0.000       0.000       6.356     156.728
       0.660       0.000      -0.000       5.883     162.199
       0.680       0.000      -0.000       5.431     167.671
       0.700       0.000      -0.000       5.039     167.146
       0.720       0.000       0.000       4.728     161.234
       0.740       0.000       0.000       4.442     156.604
       0.760       0.000       0.000       4.190     154.880
       0.780       0.000       0.000       3.717     131.639
       0.800       0.000      -0.000       3.135     118.875
       0.820       0.000      -0.000       2.628     113.581
       0.840       0.000       0.000       2.221     115.229
       0.860       0.000      -0.000       1.928     122.487
       0.880       0.000      -0.000       1.685     133.122
       0.900       0.000      -0.000       1.543     147.570
       0.920       0.000       0.000       1.495     167.785
       0.940       0.000       0.000       1.475     174.929
       0.960       0.000      -0.000       1.571     165.248
       0.980       0.000       0.000       1.781     148.979
       1.000       0.000      -0.000       1.988     120.442
       1.020       0.000      -0.000       2.243     100.098
       1.040       0.000       0.000       2.558      89.935
       1.060       0.000      -0.000       2.922      86.309
       1.080       0.000       0.000       3.323      87.597
       1.100       0.000       0.000       3.729      89.085
       1.120       0.000       0.000       4.119      90.856
       1.140       0.000      -0.000       4.459      82.765
       1.160       0.000       0.263       4.780      68.636
       1.180       0.000       0.307       4.895      69.104
       1.200       0.000       0.337       4.996      74.580
       1.220       0.000       0.365       5.077      82.206
       1.240       0.000       0.387       5.145      84.495
       1.260       0.000       0.405       5.193      80.833
       1.280       0.000       0.423       5.223      73.762
       1.300       0.000       0.451       5.227      65.511
       1.320       0.000       0.465       5.155      62.442
       1.340       0.000       0.479       5.036      62.447
       1.360       0.000       0.491       4.916      64.436
       1.380       0.000       0.503       4.745      67.505
       1.400       0.000       0.516       4.548      70.076
       1.420       0.000       0.534       4.355      72.620
       1.440       0.000       0.551       4.153      73.813
       1.460       0.000       0.568       3.954      74.264
       1.480       0.000       0.587       3.753      74.130
       1.500       0.000       0.606       3.556      73.663
       1.520       0.000       0.625       3.335      72.966
       1.540       0.000       0.644       3.108      72.150
       1.560       0.000       0.662       2.885      71.211
       1.580       0.000       0.679       2.650      70.036
       1.600       0.000       0.694       2.417      69.482
       1.620       0.000       0.709       2.130      68.902
       1.640       0.000       0.724       1.857      67.773
       1.660       0.000       0.737       1.584      66.170
       1.680       0.000       0.751       1.328      64.694
       1.700       0.000       0.764       1.088      62.929
       1.720       0.000       0.776       0.869      61.147
       1.740       0.000       0.789       0.674      59.286
       1.760       0.000       0.802       0.488      57.440
       1.780       0.000       0.814       0.324      55.519
       1.800       0.000       0.827       0.181      53.738
       1.820       0.000       0.839       0.057      52.120
       1.840       0.000       0.853      -0.016      50.843
       1.860       0.000       0.866      -0.110      49.508
       1.880       0.000       0.880      -0.194      48.268
       1.900       0.000       0.894      -0.267      47.311
       1.920       0.000       0.908      -0.344      46.737
       1.940       0.000       0.922      -0.391      46.552
       1.960       0.000       0.936      -0.447      46.567
       1.980       0.000       0.928      -0.510      53.383
       2.000       0.000       0.940      -0.649      54.023
       2.020       0.000       0.953      -0.807      54.540
       2.040       0.000       0.966      -0.967      55.413
       2.060       0.000       0.978      -1.128      56.622
       2.080       0.000       0.990      -1.289      58.103
       2.100       0.000       1.002      -1.455      59.635
       2.120       0.000       1.014      -1.622      61.300
       2.140       0.000       1.026      -1.789      63.008
       2.160       0.000       1.037      -1.956      64.595
       2.180       0.000       1.049      -2.124      65.858
       2.200       0.000       1.062      -2.291      66.655
       2.220       0.000       1.074      -2.456      66.896
       2.240       0.000       1.086      -2.619      66.518
       2.260       0.000       1.098      -2.777      65.508
       2.280       0.000       1.111      -2.930      63.855
       2.300       0.000       1.124      -3.076      61.590
       2.320       0.000       1.137      -3.215      58.833
       2.340       0.000       1.149      -3.346      55.719
       2.360       0.000       1.162      -3.468      52.505
       2.380       0.000       1.174      -3.580      49.358
       2.400       0.000       1.187      -3.683      46.454
       2.420       0.000       1.198      -3.777      43.961
       2.440       0.000       1.210      -3.862      41.889
       2.460       0.000       1.262      -3.947      37.796
       2.480       0.000       1.273      -4.059      40.537
       2.500       0.000       1.284      -4.164      44.028
       2.520       0.000       1.293      -4.264      48.194
       2.540       0.000       1.302      -4.360      52.900
       2.560       0.000       1.309      -4.455      57.902
       2.580       0.000       1.316      -4.552      63.083
       2.600       0.000       1.323      -4.651      68.114
