#--------------------------------------------------------------------
# Z = 94  A = 237 Pu  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000       0.000       7.890     139.049
       0.020       0.000       0.000       7.869     142.099
       0.040       0.000       0.072       7.800     154.159
       0.060       0.000       0.090       7.447     151.474
       0.080       0.000       0.104       6.982     156.955
       0.100       0.000       0.114       6.463     178.298
       0.120       0.000       0.128       5.821     227.907
       0.140       0.000       0.135       5.051     271.281
       0.160       0.000       0.140       4.315     258.476
       0.180       0.000       0.149       3.577     210.620
       0.200       0.000       0.124       2.799     235.709
       0.220       0.000       0.121       1.869     293.436
       0.240       0.000       0.000       1.049     240.172
       0.260       0.000      -0.000       0.375     314.387
       0.280       0.000       0.000       0.000     439.251
       0.300       0.000      -0.000       0.079     623.857
       0.320       0.000       0.000       0.644     551.159
       0.340       0.000      -0.000       1.629     295.066
       0.360       0.000       0.000       2.818     228.686
       0.380       0.000      -0.000       3.865     190.398
       0.400       0.000       0.000       4.884     203.547
       0.420       0.000      -0.000       5.678     253.018
       0.440       0.000      -0.000       6.278     262.019
       0.460       0.000      -0.000       6.700     274.987
       0.480       0.000       0.000       7.014     262.611
       0.500       0.000       0.000       7.225     236.780
       0.520       0.000       0.000       7.277     138.748
       0.540       0.000       0.000       7.234     128.319
       0.560       0.000      -0.000       7.154     135.420
       0.580       0.000      -0.000       6.978     145.482
       0.600       0.000       0.000       6.695     176.489
       0.620       0.000       0.000       6.356     186.832
       0.640       0.000      -0.000       5.947     172.171
       0.660       0.000      -0.000       5.460     214.565
       0.680       0.000      -0.000       5.052     223.839
       0.700       0.000       0.000       4.728     210.779
       0.720       0.000      -0.000       4.494     170.846
       0.740       0.000      -0.000       4.280     196.081
       0.760       0.000       0.000       4.031     195.272
       0.780       0.000       0.000       3.498     187.203
       0.800       0.000      -0.000       2.733     106.162
       0.820       0.000      -0.000       2.070      84.255
       0.840       0.000      -0.000       1.627      73.667
       0.860       0.000       0.000       1.438      72.803
       0.880       0.000      -0.000       1.117     214.244
       0.900       0.000       0.000       0.959     406.724
       0.920       0.000       0.000       1.041     478.873
       0.940       0.000       0.000       1.303     342.908
       0.960       0.000       0.000       1.609     282.205
       0.980       0.000       0.000       1.934     274.658
       1.000       0.000      -0.000       2.279     203.312
       1.020       0.000      -0.000       2.573     110.901
       1.040       0.000       0.000       2.880      86.565
       1.060       0.000      -0.000       3.228      73.563
       1.080       0.000       0.000       3.600      70.354
       1.100       0.000       0.000       4.000      76.275
       1.120       0.000       0.000       4.392     131.513
       1.140       0.000       0.000       4.740     120.091
       1.160       0.000       0.327       5.079     200.165
       1.180       0.000       0.365       5.339     148.712
       1.200       0.000       0.342       5.506      63.275
       1.220       0.000       0.370       5.530      76.874
       1.240       0.000       0.383       5.456     102.782
       1.260       0.000       0.409       5.386     129.493
       1.280       0.000       0.432       5.352     113.470
       1.300       0.000       0.443       5.255      84.287
       1.320       0.000       0.458       5.115      73.767
       1.340       0.000       0.475       4.981      65.454
       1.360       0.000       0.492       4.898      61.004
       1.380       0.000       0.500       4.685      70.255
       1.400       0.000       0.515       4.425      78.014
       1.420       0.000       0.531       4.213      89.035
       1.440       0.000       0.550       4.037      96.469
       1.460       0.000       0.571       3.885      99.391
       1.480       0.000       0.593       3.735      98.665
       1.500       0.000       0.616       3.587      95.844
       1.520       0.000       0.638       3.417      92.966
       1.540       0.000       0.657       3.233      91.164
       1.560       0.000       0.676       3.046      90.191
       1.580       0.000       0.695       2.825      92.713
       1.600       0.000       0.710       2.635      93.618
       1.620       0.000       0.724       2.439      93.336
       1.640       0.000       0.738       2.261      91.958
       1.660       0.000       0.750       2.084      89.380
       1.680       0.000       0.763       1.912      86.045
