#--------------------------------------------------------------------
# Z = 92  A = 231 U  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000       0.000       4.528     126.984
       0.020       0.000       0.000       4.492     133.990
       0.040       0.000       0.000       4.578     160.347
       0.060       0.000       0.000       4.695     181.237
       0.080       0.000       0.000       4.708     191.553
       0.100       0.000       0.000       4.605     182.362
       0.120       0.000       0.107       3.582     156.421
       0.140       0.000       0.120       2.716     180.825
       0.160       0.000       0.133       1.883     255.098
       0.180       0.000       0.144       1.108     463.670
       0.200       0.000       0.158       0.571     397.154
       0.220       0.000       0.163       0.169     396.374
       0.240       0.000       0.170       0.000     404.625
       0.260       0.000       0.179       0.138     475.338
       0.280       0.000      -0.000       1.080     322.202
       0.300       0.000      -0.000       1.742     271.818
       0.320       0.000       0.000       2.577     225.413
       0.340       0.000       0.000       3.516     171.531
       0.360       0.000       0.000       4.326     161.050
       0.380       0.000      -0.000       4.938     164.654
       0.400       0.000      -0.000       5.438     161.586
       0.420       0.000      -0.000       5.671     156.407
       0.440       0.000      -0.000       5.849     149.082
       0.460       0.000      -0.000       5.995     124.697
       0.480       0.000       0.000       5.979     131.759
       0.500       0.000      -0.000       5.949     291.240
       0.520       0.000      -0.000       5.856     346.100
       0.540       0.000       0.000       5.769     313.043
       0.560       0.000      -0.000       5.647     174.302
       0.580       0.000      -0.000       5.323     140.889
       0.600       0.000      -0.000       4.940     136.502
       0.620       0.000       0.000       4.570     155.748
       0.640       0.000       0.000       4.192     214.035
       0.660       0.000      -0.000       3.877     235.396
       0.680       0.000      -0.000       3.690     227.992
       0.700       0.000       0.000       3.557     230.222
       0.720       0.000      -0.000       3.420     233.582
       0.740       0.000      -0.000       3.374     225.492
       0.760       0.000      -0.000       3.421     177.690
       0.780       0.000       0.000       3.450     228.223
       0.800       0.000       0.000       3.271     216.123
       0.820       0.000      -0.000       3.043     218.931
       0.840       0.000       0.000       2.916     194.297
       0.860       0.000      -0.000       2.842     159.831
       0.880       0.000      -0.000       2.800     124.490
       0.900       0.000       0.000       2.814      96.315
       0.920       0.000      -0.000       2.922      80.002
       0.940       0.000       0.000       3.127      71.622
       0.960       0.000       0.000       3.419      71.495
       0.980       0.000       0.000       3.796      79.214
       1.000       0.000      -0.000       4.188      90.278
       1.020       0.000      -0.000       4.496     132.122
       1.040       0.000       0.000       4.838     140.199
       1.060       0.000      -0.000       5.207     115.600
       1.080       0.000       0.000       5.520     104.433
       1.100       0.000       0.000       5.863      90.282
       1.120       0.000       0.297       6.002      78.824
       1.140       0.000       0.321       6.005      71.401
       1.160       0.000       0.342       5.978      65.981
       1.180       0.000       0.359       5.916      62.147
       1.200       0.000       0.376       5.868      59.899
       1.220       0.000       0.393       5.840      60.897
       1.240       0.000       0.407       5.588     218.488
       1.260       0.000       0.423       5.376     325.820
       1.280       0.000       0.440       5.232     372.667
       1.300       0.000       0.457       5.121     347.548
       1.320       0.000       0.474       5.050     286.704
       1.340       0.000       0.493       5.003     217.622
       1.360       0.000       0.539       4.871     120.055
       1.380       0.000       0.558       4.622     141.464
       1.400       0.000       0.578       4.411     143.998
       1.420       0.000       0.598       4.232     129.129
       1.440       0.000       0.618       4.086     109.045
       1.460       0.000       0.636       3.966      94.161
       1.480       0.000       0.647       3.833      84.187
       1.500       0.000       0.663       3.737      83.614
       1.520       0.000       0.677       3.660      82.076
       1.540       0.000       0.691       3.605      79.509
       1.560       0.000       0.704       3.576      76.485
       1.580       0.000       0.716       3.551      73.207
       1.600       0.000       0.728       3.562      70.178
       1.620       0.000       0.755       3.547      68.733
       1.640       0.000       0.766       3.528      67.461
       1.660       0.000       0.778       3.503      66.575
       1.680       0.000       0.789       3.475      66.248
       1.700       0.000       0.799       3.453      66.125
       1.720       0.000       0.793       3.422      63.957
       1.740       0.000       0.805       3.379      65.596
       1.760       0.000       0.818       3.328      67.659
       1.780       0.000       0.831       3.274      69.856
       1.800       0.000       0.846       3.222      72.007
       1.820       0.000       0.861       3.169      73.783
       1.840       0.000       0.877       3.140      75.421
       1.860       0.000       0.892       3.085      75.641
       1.880       0.000       0.908       3.029      74.942
       1.900       0.000       0.924       2.964      72.227
       1.920       0.000       0.938       2.862      73.087
       1.940       0.000       0.951       2.776      73.664
       1.960       0.000       0.964       2.685      73.891
       1.980       0.000       0.977       2.602      73.400
       2.000       0.000       0.989       2.525      72.013
       2.020       0.000       1.001       2.423      70.010
       2.040       0.000       1.013       2.332      67.771
       2.060       0.000       1.025       2.252      65.569
       2.080       0.000       0.989       2.143      51.139
       2.100       0.000       0.998       2.031      50.512
       2.120       0.000       1.008       1.926      50.174
       2.140       0.000       1.018       1.829      50.104
       2.160       0.000       1.028       1.738      50.264
       2.180       0.000       1.038       1.656      50.632
       2.200       0.000       1.049       1.582      51.165
       2.220       0.000       1.060       1.516      51.735
       2.240       0.000       1.071       1.457      52.306
       2.260       0.000       1.082       1.406      52.819
       2.280       0.000       1.093       1.362      53.206
       2.300       0.000       1.104       1.324      53.464
       2.320       0.000       1.115       1.293      53.648
       2.340       0.000       1.125       1.271      53.656
       2.360       0.000       1.136       1.251      53.420
       2.380       0.000       1.147       1.238      53.044
       2.400       0.000       1.157       1.228      52.539
       2.420       0.000       1.167       1.223      51.988
       2.440       0.000       1.176       1.220      51.404
       2.460       0.000       1.186       1.220      50.863
       2.480       0.000       1.194       1.219      50.412
       2.500       0.000       1.203       1.219      50.062
       2.520       0.000       1.211       1.216      49.760
       2.540       0.000       1.219       1.213      49.512
       2.560       0.000       1.227       1.209      49.237
       2.580       0.000       1.235       1.203      48.873
       2.600       0.000       1.243       1.195      48.219
