#--------------------------------------------------------------------
# Z = 93  A = 236 Np  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
       1.340       0.000       0.489       5.406      79.250
       1.360       0.000       0.505       5.300      74.218
       1.380       0.000       0.514       5.109      80.846
       1.400       0.000       0.527       4.826      88.223
       1.420       0.000       0.542       4.584      99.125
       1.440       0.000       0.558       4.374     107.840
       1.460       0.000       0.576       4.189     112.258
       1.480       0.000       0.596       4.011     111.533
       1.500       0.000       0.616       3.845     108.712
       1.520       0.000       0.636       3.663     105.534
       1.540       0.000       0.657       3.476     103.940
       1.560       0.000       0.674       3.280     103.350
       1.580       0.000       0.692       3.061     105.966
       1.600       0.000       0.706       2.870     107.358
       1.620       0.000       0.720       2.676     107.922
       1.640       0.000       0.733       2.506     107.186
       1.660       0.000       0.745       2.341     105.280
       1.680       0.000       0.758       2.185     102.603
       1.700       0.000       0.769       2.045      99.373
       1.720       0.000       0.781       1.918      95.872
       1.740       0.000       0.793       1.803      91.986
       1.760       0.000       0.805       1.690      88.428
       1.780       0.000       0.817       1.583      85.345
       1.800       0.000       0.830       1.484      83.245
       1.820       0.000       0.843       1.388      82.193
       1.840       0.000       0.857       1.323      82.901
       1.860       0.000       0.871       1.229      84.646
       1.880       0.000       0.886       1.133      88.068
       1.900       0.000       0.901       1.033      92.683
       1.920       0.000       0.916       0.920      98.053
       1.940       0.000       0.930       0.823     105.251
       1.960       0.000       0.943       0.719     111.812
       1.980       0.000       0.957       0.618     118.104
       2.000       0.000       0.969       0.521     122.958
       2.020       0.000       0.982       0.391     126.199
       2.040       0.000       0.994       0.271     126.987
       2.060       0.000       1.007       0.160     123.603
       2.080       0.000       1.019       0.063     115.135
       2.100       0.000       1.030      -0.021     103.226
       2.120       0.000       1.041      -0.093      91.339
       2.140       0.000       1.072      -0.262     117.930
       2.160       0.000       1.085      -0.434     137.224
       2.180       0.000       1.097      -0.596     161.244
       2.200       0.000       1.109      -0.749     187.204
       2.220       0.000       1.122      -0.893     208.307
       2.240       0.000       1.134      -1.027     216.283
       2.260       0.000       1.146      -1.152     207.539
       2.280       0.000       1.159      -1.267     187.473
       2.300       0.000       1.171      -1.372     164.726
       2.320       0.000       1.183      -1.469     157.351
       2.340       0.000       1.196      -1.554     175.026
       2.360       0.000       1.208      -1.629     190.693
       2.380       0.000       1.220      -1.694     196.676
       2.400       0.000       1.232      -1.749     187.736
       2.420       0.000       1.244      -1.794     166.785
       2.440       0.000       1.256      -1.829     141.841
       2.460       0.000       1.268      -1.857     119.238
       2.480       0.000       1.280      -1.877     101.282
       2.500       0.000       1.293      -1.892      87.822
       2.520       0.000       1.305      -1.903      78.082
       2.540       0.000       1.317      -1.912      71.176
       2.560       0.000       1.330      -1.921      66.449
       2.580       0.000       1.356      -1.977      70.276
       2.600       0.000       1.368      -2.081      77.359
