#--------------------------------------------------------------------
# Z = 94  A = 242 Pu  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000      -0.000       8.535     128.707
       0.020       0.000       0.000       8.552     127.973
       0.040       0.000       0.079       8.495     135.460
       0.060       0.000       0.092       8.193     142.278
       0.080       0.000       0.102       7.795     150.533
       0.100       0.000       0.111       7.330     156.132
       0.120       0.000       0.116       6.806     157.583
       0.140       0.000       0.116       6.200     157.744
       0.160       0.000       0.108       5.492     157.854
       0.180       0.000       0.087       4.596     154.145
       0.200       0.000       0.015       3.435     144.229
       0.220       0.000       0.000       2.338     141.106
       0.240       0.000       0.000       1.356     139.104
       0.260       0.000      -0.000       0.574     138.278
       0.280       0.000       0.000       0.096     136.695
       0.300       0.000      -0.000       0.000     131.280
       0.320       0.000      -0.000       0.262     129.147
       0.340       0.000       0.000       0.853     163.544
       0.360       0.000       0.000       1.648     214.965
       0.380       0.000      -0.000       2.519     188.105
       0.400       0.000      -0.000       3.434     131.138
       0.420       0.000      -0.000       4.402     107.596
       0.440       0.000      -0.000       5.362     104.483
       0.460       0.000       0.000       6.200     108.688
       0.480       0.000       0.000       6.859     112.820
       0.500       0.000      -0.000       7.296     117.377
       0.520       0.000       0.000       7.549     121.063
       0.540       0.000       0.000       7.660     123.507
       0.560       0.000      -0.000       7.654     122.812
       0.580       0.000      -0.000       7.567     120.569
       0.600       0.000       0.000       7.389     118.208
       0.620       0.000       0.000       7.171     116.455
       0.640       0.000      -0.000       6.881     116.187
       0.660       0.000      -0.000       6.507     117.784
       0.680       0.000      -0.000       6.075     121.499
       0.700       0.000       0.000       5.577     126.060
       0.720       0.000      -0.000       5.070     128.373
       0.740       0.000      -0.000       4.551     124.808
       0.760       0.000       0.000       4.062     116.793
       0.780       0.000      -0.000       3.565     104.787
       0.800       0.000       0.000       3.115      96.377
       0.820       0.000       0.000       2.742      93.142
       0.840       0.000      -0.000       2.471      92.725
       0.860       0.000      -0.000       2.338      98.441
       0.880       0.000      -0.000       2.225     112.898
       0.900       0.000      -0.000       2.123     123.213
       0.920       0.000      -0.000       1.993     108.300
       0.940       0.000       0.000       1.864      82.448
       0.960       0.000      -0.000       1.786      69.639
       0.980       0.000       0.000       1.829      70.297
       1.000       0.000      -0.000       1.937      81.079
       1.020       0.000      -0.000       2.113     102.372
       1.040       0.000      -0.000       2.288     116.543
       1.060       0.000       0.000       2.452      90.394
       1.080       0.000       0.000       2.693      66.690
       1.100       0.000       0.000       3.056      64.299
       1.120       0.000       0.000       3.501      70.135
       1.140       0.000       0.000       3.945      75.808
       1.160       0.000       0.250       4.154     103.013
       1.180       0.000       0.283       4.416      87.253
       1.200       0.000       0.317       4.668      67.982
       1.220       0.000       0.351       4.933      57.250
       1.240       0.000       0.386       5.204      51.810
