#--------------------------------------------------------------------
# Z = 95  A = 243 Am  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
       0.000       0.000      -0.000      10.131     140.794
       0.020       0.000       0.000       9.970     140.261
       0.040       0.000       0.100       9.135     159.950
       0.060       0.000       0.107       8.680     166.659
       0.080       0.000       0.114       8.194     173.958
       0.100       0.000       0.119       7.734     175.238
       0.120       0.000       0.122       7.301     172.829
       0.140       0.000       0.130       6.638     183.193
       0.160       0.000       0.127       5.965     187.355
       0.180       0.000       0.078       5.134     194.102
       0.200       0.000       0.074       4.042     200.580
       0.220       0.000      -0.000       2.785     162.193
       0.240       0.000       0.000       1.681     171.167
       0.260       0.000      -0.000       0.739     185.361
       0.280       0.000       0.000       0.134     206.764
       0.300       0.000      -0.000       0.000     197.984
       0.320       0.000      -0.000       0.343     172.402
       0.340       0.000      -0.000       1.094     211.756
       0.360       0.000      -0.000       1.945     224.532
       0.380       0.000      -0.000       2.844     203.641
       0.400       0.000       0.000       3.775     148.809
       0.420       0.000      -0.000       4.711     148.823
       0.440       0.000      -0.000       5.764     140.808
       0.460       0.000       0.000       6.764     132.696
       0.480       0.000       0.000       7.525     135.216
       0.500       0.000      -0.000       7.966     130.169
       0.520       0.000      -0.000       8.219     131.459
       0.540       0.000       0.000       8.329     130.961
       0.560       0.000      -0.000       8.264     132.703
       0.580       0.000      -0.000       8.113     129.885
       0.600       0.000      -0.000       7.935     133.284
       0.620       0.000      -0.000       7.637     133.995
       0.640       0.000       0.000       7.274     136.877
       0.660       0.000       0.000       6.847     141.001
       0.680       0.000       0.000       6.356     148.501
       0.700       0.000      -0.000       5.818     155.827
       0.720       0.000      -0.000       5.285     158.088
       0.740       0.000      -0.000       4.765     153.071
       0.760       0.000       0.000       4.263     142.702
       0.780       0.000      -0.000       3.726     128.374
       0.800       0.000       0.000       3.222     119.081
       0.820       0.000      -0.000       2.810     116.211
       0.840       0.000      -0.000       2.501     113.277
       0.860       0.000      -0.000       2.368     114.781
       0.880       0.000      -0.000       2.287     126.239
       0.900       0.000      -0.000       2.153     138.045
       0.920       0.000      -0.000       2.037     126.677
       0.940       0.000      -0.000       1.932     100.646
       0.960       0.000      -0.000       1.825      85.690
       0.980       0.000       0.000       1.875      82.499
       1.000       0.000      -0.000       2.015      94.381
       1.020       0.000      -0.000       2.215     106.193
       1.040       0.000      -0.000       2.452     122.487
       1.060       0.000       0.000       2.659     116.195
