#--------------------------------------------------------------------
# Z = 96  A = 244 Cm  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000       0.089      10.085     145.794
       0.020       0.000       0.102       9.826     140.634
       0.040       0.000       0.111       9.433     138.605
       0.060       0.000       0.119       8.944     144.410
       0.080       0.000       0.125       8.408     155.923
       0.100       0.000       0.132       7.846     162.459
       0.120       0.000       0.136       7.284     161.239
       0.140       0.000       0.136       6.714     162.063
       0.160       0.000       0.125       6.075     168.568
       0.180       0.000      -0.000       5.119     147.230
       0.200       0.000      -0.000       3.914     144.523
       0.220       0.000       0.000       2.735     143.003
       0.240       0.000      -0.000       1.646     141.654
       0.260       0.000       0.000       0.752     140.568
       0.280       0.000       0.000       0.170     137.267
       0.300       0.000      -0.000       0.000     127.562
       0.320       0.000       0.000       0.250     121.531
       0.340       0.000       0.000       0.899     159.556
       0.360       0.000       0.000       1.787     222.177
       0.380       0.000      -0.000       2.708     188.659
       0.400       0.000       0.000       3.632     132.454
       0.420       0.000      -0.000       4.628     110.367
       0.440       0.000      -0.000       5.670     105.318
       0.460       0.000       0.000       6.648     107.688
       0.480       0.000      -0.000       7.449     112.180
       0.500       0.000       0.000       7.944     116.929
       0.520       0.000       0.000       8.204     121.018
       0.540       0.000      -0.000       8.282     122.876
       0.560       0.000      -0.000       8.253     122.888
       0.580       0.000      -0.000       8.144     122.265
       0.600       0.000      -0.000       7.943     121.399
       0.620       0.000       0.000       7.685     120.882
       0.640       0.000      -0.000       7.337     121.456
       0.660       0.000      -0.000       6.896     123.396
       0.680       0.000      -0.000       6.406     127.384
       0.700       0.000       0.000       5.857     131.949
       0.720       0.000      -0.000       5.306     133.448
       0.740       0.000       0.000       4.741     128.059
       0.760       0.000       0.000       4.172     116.704
       0.780       0.000      -0.000       3.575     103.207
       0.800       0.000      -0.000       3.026      96.285
       0.820       0.000       0.000       2.550      94.014
       0.840       0.000      -0.000       2.181      93.839
       0.860       0.000      -0.000       1.963      96.996
       0.880       0.000      -0.000       1.799     107.351
       0.900       0.000      -0.000       1.700     123.220
       0.920       0.000       0.000       1.613     122.670
       0.940       0.000       0.000       1.522      98.481
