#--------------------------------------------------------------------
# Z = 96  A = 249 Cm  nbeta= 131  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
      -0.000       0.000       0.093      10.039     160.494
       0.020       0.000       0.099       9.963     160.996
       0.040       0.000       0.109       9.742     176.812
       0.060       0.000       0.111       9.258     190.478
       0.080       0.000       0.110       8.751     194.337
       0.100       0.000       0.108       8.181     171.066
       0.120       0.000       0.105       7.530     167.564
       0.140       0.000       0.000       6.677     154.807
       0.160       0.000       0.000       5.715     155.817
       0.180       0.000       0.000       4.616     160.319
       0.200       0.000      -0.000       3.475     146.549
       0.220       0.000       0.000       2.301     136.680
       0.240       0.000       0.000       1.280     133.208
       0.260       0.000      -0.000       0.520     138.282
       0.280       0.000       0.000       0.077     147.829
       0.300       0.000       0.000       0.000     160.648
       0.320       0.000       0.000       0.242     223.265
       0.340       0.000       0.000       0.643     557.764
       0.360       0.000       0.000       1.187     271.771
       0.380       0.000      -0.000       1.838     172.417
       0.400       0.000       0.000       2.677     166.889
       0.420       0.000      -0.000       3.550     208.306
       0.440       0.000       0.000       4.434     199.711
       0.460       0.000      -0.000       5.337     186.143
       0.480       0.000       0.000       6.189     208.494
       0.500       0.000       0.000       6.974     173.729
       0.520       0.000      -0.000       7.660     151.828
       0.540       0.000      -0.000       7.950     151.934
       0.560       0.000       0.000       8.076     147.313
       0.580       0.000       0.000       8.049     144.780
       0.600       0.000      -0.000       7.903     144.840
       0.620       0.000       0.000       7.735     143.886
       0.640       0.000       0.000       7.452     133.229
       0.660       0.000       0.000       7.107     127.420
       0.680       0.000      -0.000       6.716     113.446
       0.700       0.000      -0.000       6.219     107.502
       0.720       0.000      -0.000       5.720     105.205
       0.740       0.000      -0.000       5.168     120.441
       0.760       0.000       0.000       4.488     129.756
       0.780       0.000      -0.000       3.805     141.094
       0.800       0.000       0.000       3.193     151.379
       0.820       0.000      -0.000       2.668     158.438
       0.840       0.000       0.000       2.240     161.227
       0.860       0.000       0.000       1.951     168.820
