#--------------------------------------------------------------------
# Z = 94  A = 243 Pu  nbeta= 129  Egs= 0.000 MeV  E(0+)= 0.0000 MeV
#     beta20      beta22      beta30       E-EGS          Mu
#--------------------------------------------------------------------
       0.000       0.000      -0.000       9.500     146.077
       0.020       0.000       0.000       9.472     144.530
       0.040       0.000       0.085       9.301     154.666
       0.060       0.000       0.098       8.984     165.065
       0.080       0.000       0.109       8.573     198.246
       0.100       0.000       0.113       8.071     204.303
       0.120       0.000       0.114       7.586     176.407
       0.140       0.000       0.111       6.964     177.653
       0.160       0.000       0.097       6.201     178.279
       0.180       0.000       0.042       5.148     167.178
       0.200       0.000       0.002       3.953     163.886
       0.220       0.000       0.000       2.796     155.935
       0.240       0.000       0.000       1.722     153.537
       0.260       0.000      -0.000       0.829     152.073
       0.280       0.000      -0.000       0.223     152.382
       0.300       0.000      -0.000       0.000     163.206
       0.320       0.000      -0.000       0.218     182.784
       0.340       0.000       0.000       0.854     258.700
       0.360       0.000      -0.000       1.654     650.065
       0.380       0.000       0.000       2.544     222.036
       0.400       0.000       0.000       3.399     132.534
       0.420       0.000      -0.000       4.445     119.591
       0.440       0.000      -0.000       5.551     128.027
       0.460       0.000       0.000       6.541     128.827
       0.480       0.000      -0.000       7.287     135.991
       0.500       0.000      -0.000       7.781     153.189
       0.520       0.000      -0.000       8.074     158.928
       0.540       0.000       0.000       8.215     161.259
       0.560       0.000      -0.000       8.182     166.000
       0.580       0.000      -0.000       8.082     164.413
       0.600       0.000      -0.000       7.937     156.996
       0.620       0.000      -0.000       7.793     147.958
       0.640       0.000       0.000       7.487     133.632
       0.660       0.000       0.000       7.104     153.374
       0.680       0.000      -0.000       6.677     160.085
       0.700       0.000      -0.000       6.145     162.625
       0.720       0.000       0.000       5.551     169.082
       0.740       0.000      -0.000       4.957     168.503
       0.760       0.000      -0.000       4.455     155.209
       0.780       0.000       0.000       4.036     106.455
       0.800       0.000       0.000       3.586     105.052
       0.820       0.000      -0.000       3.180     106.867
       0.840       0.000      -0.000       2.891     113.132
       0.860       0.000       0.000       2.761     131.313
       0.880       0.000      -0.000       2.607     212.570
       0.900       0.000       0.000       2.471     221.666
       0.920       0.000       0.000       2.476     161.245
       0.940       0.000      -0.000       2.328      89.680
       0.960       0.000       0.000       2.290      82.820
       0.980       0.000       0.000       2.416      86.853
       1.000       0.000       0.000       2.487     193.125
       1.020       0.000      -0.000       2.555     227.334
       1.040       0.000      -0.000       2.765     188.092
       1.080       0.000      -0.000       2.953     148.130
       1.100       0.000       0.000       3.089     372.528
       1.120       0.000       0.000       3.410     375.775
       1.140       0.000       0.000       3.882     343.567
       1.160       0.000       0.269       4.024     186.448
       1.180       0.000       0.276       4.432      54.795
       1.200       0.000       0.314       4.725      57.575
       1.220       0.000       0.351       5.070      59.859
       1.240       0.000       0.388       5.419      61.821
       1.260       0.000       0.425       5.741      63.434
       1.280       0.000       0.457       6.017      64.836
       1.300       0.000       0.485       6.251      66.478
